"ple0017","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","Urban Area","560","0.935540699245141","0.915842112772891","0.955239285717391","2"
"No","2009","no migration background","Urban Area","9403","0.95066111831076","0.946398822809041","0.954923413812478","2"
"No","2009","no migration background","Rural Area","5550","0.95302896528126","0.947595608299058","0.958462322263463","2"
"No","2009","indirect migration background","Rural Area","111","0.946143964104061","0.905415044415954","0.986872883792167","2"
"No","2009","direct migration background","Urban Area","1273","0.932831019689412","0.919483324395389","0.946178714983435","2"
"No","2009","direct migration background","Rural Area","300","0.952090906812481","0.928580148125738","0.975601665499225","2"
"Yes","2009","no migration background","Urban Area","515","0.0493388816892401","0.0450765861875215","0.0536011771909588","1"
"Yes","2009","no migration background","Rural Area","275","0.0469710347187398","0.0415376777365372","0.0524043917009424","1"
"Yes","2009","direct migration background","Urban Area","78","0.0671689803105883","0.0538212850165652","0.0805166756046115","1"
"Yes","2009","direct migration background","Rural Area","17","","","","1"
"Yes","2009","indirect migration background","Urban Area","37","0.0644593007548593","0.0447607142826093","0.0841578872271092","1"
"Yes","2009","indirect migration background","Rural Area","7","","","","1"
"No","2010","indirect migration background","Urban Area","","","","","2"
"No","2010","no migration background","Urban Area","","","","","2"
"No","2010","indirect migration background","Rural Area","","","","","2"
"No","2010","no migration background","Rural Area","","","","","2"
"No","2010","direct migration background","Urban Area","","","","","2"
"No","2010","direct migration background","Rural Area","","","","","2"
"Yes","2010","no migration background","Urban Area","","","","","1"
"Yes","2010","no migration background","Rural Area","","","","","1"
"Yes","2010","direct migration background","Urban Area","","","","","1"
"Yes","2010","direct migration background","Rural Area","","","","","1"
"Yes","2010","indirect migration background","Urban Area","","","","","1"
"Yes","2010","indirect migration background","Rural Area","","","","","1"
"No","2011","no migration background","Urban Area","10727","0.944652068843187","0.940451332381079","0.948852805305294","2"
"No","2011","indirect migration background","Urban Area","621","0.939026237934817","0.920784856664574","0.957267619205061","2"
"No","2011","indirect migration background","Rural Area","130","0.939910247964924","0.900259448693071","0.979561047236777","2"
"No","2011","no migration background","Rural Area","6315","0.949060433278168","0.943779409282391","0.954341457273945","2"
"No","2011","direct migration background","Urban Area","1463","0.939261806238619","0.927382621648784","0.951140990828454","2"
"No","2011","direct migration background","Rural Area","444","0.964109309614256","0.947238198132066","0.980980421096445","2"
"Yes","2011","no migration background","Urban Area","655","0.0553479311568134","0.0511471946947058","0.0595486676189209","1"
"Yes","2011","no migration background","Rural Area","344","0.0509395667218317","0.0456585427260544","0.0562205907176091","1"
"Yes","2011","direct migration background","Urban Area","90","0.0607381937613808","0.0488590091715456","0.072617378351216","1"
"Yes","2011","direct migration background","Rural Area","23","","","","1"
"Yes","2011","indirect migration background","Urban Area","40","0.0609737620651826","0.0427323807949395","0.0792151433354257","1"
"Yes","2011","indirect migration background","Rural Area","8","","","","1"
"No","2012","no migration background","Urban Area","","","","","2"
"No","2012","no migration background","Rural Area","","","","","2"
"No","2012","indirect migration background","Urban Area","","","","","2"
"No","2012","indirect migration background","Rural Area","","","","","2"
"No","2012","direct migration background","Urban Area","","","","","2"
"No","2012","direct migration background","Rural Area","","","","","2"
"Yes","2012","no migration background","Urban Area","","","","","1"
"Yes","2012","no migration background","Rural Area","","","","","1"
"Yes","2012","direct migration background","Urban Area","","","","","1"
"Yes","2012","direct migration background","Rural Area","","","","","1"
"Yes","2012","indirect migration background","Urban Area","","","","","1"
"Yes","2012","indirect migration background","Rural Area","","","","","1"
"No","2013","no migration background","Urban Area","9703","0.932964128793184","0.928158910179418","0.93776934740695","2"
"No","2013","no migration background","Rural Area","5800","0.941431241795151","0.935564504299893","0.947297979290409","2"
"No","2013","direct migration background","Urban Area","1216","0.94348701797656","0.93093485725511","0.95603917869801","2"
"No","2013","direct migration background","Rural Area","372","0.917515211109465","0.890419904605012","0.944610517613917","2"
"No","2013","indirect migration background","Urban Area","532","0.94625196719841","0.927898472162014","0.964605462234807","2"
"No","2013","indirect migration background","Rural Area","129","0.960119283396969","0.92723240066644","0.993006166127498","2"
"Yes","2013","no migration background","Urban Area","702","0.0670358712068158","0.0622306525930496","0.071841089820582","1"
"Yes","2013","no migration background","Rural Area","354","0.0585687582048488","0.0527020207095906","0.064435495700107","1"
"Yes","2013","direct migration background","Urban Area","84","0.0565129820234402","0.0439608213019902","0.0690651427448902","1"
"Yes","2013","direct migration background","Rural Area","24","","","","1"
"Yes","2013","indirect migration background","Urban Area","48","0.0537480328015896","0.0353945377651929","0.0721015278379863","1"
"Yes","2013","indirect migration background","Rural Area","7","","","","1"
"No","2014","no migration background","Urban Area","","","","","2"
"No","2014","no migration background","Rural Area","","","","","2"
"No","2014","direct migration background","Urban Area","","","","","2"
"No","2014","direct migration background","Rural Area","","","","","2"
"No","2014","indirect migration background","Urban Area","","","","","2"
"No","2014","indirect migration background","Rural Area","","","","","2"
"Yes","2014","no migration background","Urban Area","","","","","1"
"Yes","2014","no migration background","Rural Area","","","","","1"
"Yes","2014","direct migration background","Urban Area","","","","","1"
"Yes","2014","direct migration background","Rural Area","","","","","1"
"Yes","2014","indirect migration background","Urban Area","","","","","1"
"Yes","2014","indirect migration background","Rural Area","","","","","1"
"No","2015","no migration background","Urban Area","11006","0.933059140821401","0.928562796624852","0.93755548501795","2"
"No","2015","no migration background","Rural Area","6897","0.943387625201205","0.938103607164543","0.948671643237867","2"
"No","2015","direct migration background","Urban Area","3020","0.927651944448637","0.918719186350481","0.936584702546794","2"
"No","2015","direct migration background","Rural Area","1023","0.937949312943141","0.923627505703939","0.952271120182344","2"
"No","2015","indirect migration background","Urban Area","1231","0.924921735213358","0.910770133911043","0.939073336515673","2"
"No","2015","indirect migration background","Rural Area","274","0.905342854434115","0.872271796788941","0.938413912079289","2"
"Yes","2015","no migration background","Urban Area","862","0.066940859178599","0.0624445149820503","0.0714372033751476","1"
"Yes","2015","no migration background","Rural Area","451","0.0566123747987948","0.0513283567621327","0.0618963928354569","1"
"Yes","2015","direct migration background","Urban Area","211","0.0723480555513629","0.0634152974532062","0.0812808136495195","1"
"Yes","2015","direct migration background","Rural Area","67","0.0620506870568589","0.0477288798176563","0.0763724942960615","1"
"Yes","2015","indirect migration background","Urban Area","101","0.0750782647866421","0.0609266634843271","0.0892298660889571","1"
"Yes","2015","indirect migration background","Rural Area","27","","","","1"
"No","2016","no migration background","Urban Area","","","","","2"
"No","2016","no migration background","Rural Area","","","","","2"
"No","2016","direct migration background","Urban Area","","","","","2"
"No","2016","direct migration background","Rural Area","","","","","2"
"No","2016","indirect migration background","Urban Area","","","","","2"
"No","2016","indirect migration background","Rural Area","","","","","2"
"Yes","2016","direct migration background","Urban Area","","","","","1"
"Yes","2016","direct migration background","Rural Area","","","","","1"
"Yes","2016","no migration background","Urban Area","","","","","1"
"Yes","2016","no migration background","Rural Area","","","","","1"
"Yes","2016","indirect migration background","Urban Area","","","","","1"
"Yes","2016","indirect migration background","Rural Area","","","","","1"
"No","2017","no migration background","Urban Area","11474","0.926764735479703","0.92218131627124","0.931348154688166","2"
"No","2017","no migration background","Rural Area","7419","0.940108997633408","0.934886132907622","0.945331862359195","2"
"No","2017","direct migration background","Urban Area","3219","0.935026842653526","0.926802189944151","0.943251495362901","2"
"No","2017","direct migration background","Rural Area","1129","0.919959539739655","0.904720289548249","0.935198789931061","2"
"No","2017","indirect migration background","Urban Area","1291","0.915358198292156","0.900829506122502","0.929886890461809","2"
"No","2017","indirect migration background","Rural Area","278","0.895750948216706","0.861456180445216","0.930045715988196","2"
"Yes","2017","direct migration background","Urban Area","231","0.0649731573464736","0.0567485046370987","0.0731978100558486","1"
"Yes","2017","direct migration background","Rural Area","89","0.080040460260345","0.0648012100689392","0.0952797104517508","1"
"Yes","2017","indirect migration background","Urban Area","119","0.0846418017078444","0.0701131095381911","0.0991704938774978","1"
"Yes","2017","no migration background","Urban Area","937","0.0732352645202971","0.0686518453118342","0.07781868372876","1"
"Yes","2017","no migration background","Rural Area","510","0.0598910023665917","0.0546681376408053","0.0651138670923782","1"
