"ple0017","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Not Employed","12","","",""
"Yes","2009","Schleswig-Holstein","Employed","20","","",""
"Yes","2009","Hamburg","Not Employed","1","","",""
"Yes","2009","Hamburg","Employed","14","","",""
"Yes","2009","Lower Saxony","Not Employed","31","0.0519796684164239","0.0347814412093747","0.0691778956234731"
"Yes","2009","Lower Saxony","Employed","53","0.050777548174827","0.0372177501667291","0.0643373461829249"
"Yes","2009","Bremen","Not Employed","3","","",""
"Yes","2009","Bremen","Employed","1","","",""
"Yes","2009","North Rhine-Westphalia","Not Employed","58","0.037184817718626","0.0272733409681212","0.0470962944691307"
"Yes","2009","North Rhine-Westphalia","Employed","119","0.052446020787861","0.043224593001643","0.0616674485740789"
"Yes","2009","Hesse","Not Employed","18","","",""
"Yes","2009","Hesse","Employed","45","0.0534467658195585","0.0379188271487002","0.0689747044904168"
"Yes","2009","Rhineland-Palatinate,Saarland","Not Employed","15","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Employed","39","0.0564405642381335","0.0384061071543773","0.0744750213218897"
"Yes","2009","Baden-Württemberg","Not Employed","44","0.0544600229441259","0.0380881348384939","0.0708319110497579"
"Yes","2009","Baden-Württemberg","Employed","70","0.0561151687280944","0.0439726666136402","0.0682576708425486"
"Yes","2009","Bavaria","Not Employed","44","0.0533691758001146","0.0388213198516788","0.0679170317485504"
"Yes","2009","Bavaria","Employed","93","0.0568875216798822","0.0459122990445738","0.0678627443151906"
"Yes","2009","Berlin","Not Employed","14","","",""
"Yes","2009","Berlin","Employed","33","0.076022937481225","0.0512305272623814","0.100815347700069"
"Yes","2009","Brandenburg","Not Employed","16","","",""
"Yes","2009","Brandenburg","Employed","23","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Not Employed","7","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Employed","13","","",""
"Yes","2009","Saxony","Not Employed","27","","",""
"Yes","2009","Saxony","Employed","37","0.0550121109318726","0.0396389910848497","0.0703852307788954"
"Yes","2009","Saxony-Anhalt","Not Employed","13","","",""
"Yes","2009","Saxony-Anhalt","Employed","23","","",""
"Yes","2009","Thuringia","Not Employed","16","","",""
"Yes","2009","Thuringia","Employed","27","","",""
"No","2009","Schleswig-Holstein","Not Employed","206","0.937540146971922","0.905417208919259","0.969663085024585"
"No","2009","Schleswig-Holstein","Employed","278","0.931188043544259","0.902447789187478","0.959928297901041"
"No","2009","Hamburg","Not Employed","106","0.991827577085443","0.974768728740558","1.00888642543033"
"No","2009","Hamburg","Employed","150","0.941168029734852","0.905154437191037","0.977181622278666"
"No","2009","Lower Saxony","Not Employed","609","0.948020331583576","0.930822104376527","0.965218558790625"
"No","2009","Lower Saxony","Employed","954","0.949222451825173","0.935662653817075","0.962782249833271"
"No","2009","Bremen","Not Employed","50","0.97966173941","0.941659854921704","1.0176636238983"
"No","2009","Bremen","Employed","66","0.995240389796659","0.978760269426925","1.01172051016639"
"No","2009","North Rhine-Westphalia","Not Employed","1342","0.962815182281374","0.952903705530869","0.972726659031879"
"No","2009","North Rhine-Westphalia","Employed","2126","0.947553979212139","0.938332551425921","0.956775406998357"
"No","2009","Hesse","Not Employed","402","0.967428714835571","0.950452127963977","0.984405301707164"
"No","2009","Hesse","Employed","761","0.946553234180441","0.931025295509583","0.9620811728513"
"No","2009","Rhineland-Palatinate,Saarland","Not Employed","383","0.945498809744277","0.923197003330079","0.967800616158475"
"No","2009","Rhineland-Palatinate,Saarland","Employed","590","0.943559435761866","0.92552497867811","0.961593892845623"
"No","2009","Baden-Württemberg","Not Employed","694","0.945539977055874","0.929168088950242","0.961911865161506"
"No","2009","Baden-Württemberg","Employed","1310","0.943884831271906","0.931742329157451","0.95602733338636"
"No","2009","Bavaria","Not Employed","873","0.946630824199885","0.93208296825145","0.961178680148321"
"No","2009","Bavaria","Employed","1618","0.943112478320118","0.932137255684809","0.954087700955426"
"No","2009","Berlin","Not Employed","233","0.96689594678026","0.944584379934966","0.989207513625554"
"No","2009","Berlin","Employed","406","0.923977062518775","0.899184652299931","0.948769472737619"
"No","2009","Brandenburg","Not Employed","338","0.954028279199173","0.932212412849285","0.975844145549061"
"No","2009","Brandenburg","Employed","418","0.95283744449709","0.933052407406222","0.972622481587957"
"No","2009","Mecklenburg-Western Pomerania","Not Employed","188","0.964015186213736","0.937873574911093","0.990156797516378"
"No","2009","Mecklenburg-Western Pomerania","Employed","268","0.947206422937244","0.921060270271375","0.973352575603113"
"No","2009","Saxony","Not Employed","502","0.9610124218459","0.944517590293389","0.977507253398412"
"No","2009","Saxony","Employed","808","0.944987889068127","0.929614769221105","0.96036100891515"
