"ple0017","year","n","percent","lower_confidence","upper_confidence","value"
"No","2009","17197","0.948976793985602","0.945773411687749","0.952180176283456","2"
"Yes","2009","929","0.0510232060143977","0.0478198237165445","0.054226588312251","1"
"No","2010","","","","","2"
"Yes","2010","","","","","1"
"No","2011","19700","0.945726177426785","0.942651717410056","0.948800637443514","2"
"Yes","2011","1160","0.0542738225732149","0.0511993625564861","0.0573482825899436","1"
"No","2012","","","","","2"
"Yes","2012","","","","","1"
"No","2013","17752","0.936428590894528","0.932956658735766","0.93990052305329","2"
"Yes","2013","1219","0.063571409105472","0.0600994769467103","0.0670433412642337","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","23451","0.934960730870532","0.9319143023354","0.938007159405663","2"
"Yes","2015","1719","0.0650392691294685","0.0619928405943366","0.0680856976646004","1"
"No","2016","","","","","2"
"Yes","2016","","","","","1"
"No","2017","24810","0.930402941710398","0.927351982058274","0.933453901362523","2"
"Yes","2017","1913","0.0695970582896018","0.0665460986374772","0.0726480179417264","1"
"No","2018","","","","","2"
"Yes","2018","","","","","1"
"No","2019","23959","0.92827443734511","0.925130737074526","0.931418137615694","2"
"Yes","2019","1921","0.0717255626548897","0.0685818623843056","0.0748692629254739","1"
