"ple0017","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","Rural Area","1147","0.960947675000167","0.949978019227954","0.97191733077238","2"
"No","2009","(Married) couple without C. ","Urban Area","4162","0.947626359595989","0.941042274642216","0.954210444549763","2"
"No","2009","(Married) couple without C. ","Rural Area","2185","0.951814074851472","0.943029286606474","0.96059886309647","2"
"No","2009","1-pers.-HH","Rural Area","859","0.959046481105808","0.946105978765072","0.971986983446543","2"
"No","2009","Couple + C. GT 16 ","Urban Area","1897","0.9672003267518","0.959329164097885","0.975071489405715","2"
"No","2009","Couple + C. LE and GT 16","Urban Area","743","0.938615509852806","0.921791949745971","0.955439069959641","2"
"No","2009","Couple + C. LE and GT 16","Rural Area","378","0.96158836663361","0.942730714028294","0.980446019238927","2"
"No","2009","1-pers.-HH","Urban Area","1916","0.957382730355989","0.94855002530305","0.966215435408928","2"
"No","2009","Single parent ","Urban Area","575","0.914293664490576","0.892365097953237","0.936222231027916","2"
"No","2009","Single parent ","Rural Area","352","0.95751624300844","0.936965299664856","0.978067186352024","2"
"No","2009","Couple + C. LE 16 ","Urban Area","1760","0.928864274304087","0.917275508086169","0.940453040522005","2"
"No","2009","Couple + C. LE 16 ","Rural Area","906","0.930107443496053","0.914062276298595","0.946152610693511","2"
"Yes","2009","1-pers.-HH","Urban Area","93","0.0426172696440111","0.033784564591072","0.0514499746969502","1"
"Yes","2009","1-pers.-HH","Rural Area","42","0.0409535188941924","0.0280130165534572","0.0538940212349275","1"
"Yes","2009","(Married) couple without C. ","Urban Area","236","0.0523736404040106","0.0457895554502368","0.0589577253577845","1"
"Yes","2009","(Married) couple without C. ","Rural Area","98","0.0481859251485279","0.0394011369035295","0.0569707133935263","1"
"Yes","2009","Single parent ","Urban Area","51","0.0857063355094237","0.0637777689720842","0.107634902046763","1"
"Yes","2009","Single parent ","Rural Area","18","","","","1"
"Yes","2009","Couple + C. LE 16 ","Urban Area","130","0.0711357256959129","0.0595469594779946","0.0827244919138312","1"
"Yes","2009","Couple + C. LE 16 ","Rural Area","64","0.0698925565039471","0.0538473893064896","0.0859377237014046","1"
"Yes","2009","Couple + C. GT 16 ","Urban Area","70","0.0327996732482002","0.024928510594285","0.0406708359021153","1"
"Yes","2009","Couple + C. GT 16 ","Rural Area","51","0.0390523249998331","0.0280826692276204","0.0500219807720459","1"
