"ple0017","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","Male","1967","0.985442100237203","0.980186267211107","0.990697933263299","2"
"No","2009","16-34 y.","Male","1879","0.972543921555612","0.965246090335552","0.979841752775672","2"
"No","2009","16-34 y.","Female","1910","0.92368509561587","0.912275163153548","0.935095028078192","2"
"No","2009","66 and older","Female","2117","0.956782746782793","0.948331594107529","0.965233899458058","2"
"No","2009","35-65 y.","Male","4612","0.973745610655185","0.969185631730481","0.978305589579889","2"
"No","2009","35-65 y.","Female","4712","0.905746357377622","0.897788073297599","0.913704641457645","2"
"Yes","2009","16-34 y.","Male","47","0.0274560784443882","0.0201582472243283","0.0347539096644481","1"
"Yes","2009","16-34 y.","Female","170","0.07631490438413","0.0649049719218082","0.0877248368464518","1"
"Yes","2009","35-65 y.","Male","111","0.0262543893448151","0.0216944104201113","0.0308143682695189","1"
"Yes","2009","35-65 y.","Female","466","0.094253642622378","0.0862953585423549","0.102211926702401","1"
"Yes","2009","66 and older","Male","28","","","","1"
"Yes","2009","66 and older","Female","107","0.0432172532172067","0.0347661005419424","0.051668405892471","1"
"No","2010","66 and older","Male","","","","","2"
"No","2010","16-34 y.","Male","","","","","2"
"No","2010","66 and older","Female","","","","","2"
"No","2010","16-34 y.","Female","","","","","2"
"No","2010","35-65 y.","Male","","","","","2"
"No","2010","35-65 y.","Female","","","","","2"
"Yes","2010","16-34 y.","Male","","","","","1"
"Yes","2010","16-34 y.","Female","","","","","1"
"Yes","2010","35-65 y.","Male","","","","","1"
"Yes","2010","35-65 y.","Female","","","","","1"
"Yes","2010","66 and older","Male","","","","","1"
"Yes","2010","66 and older","Female","","","","","1"
"No","2011","16-34 y.","Male","1979","0.975103481352783","0.968343877365048","0.981863085340519","2"
"No","2011","66 and older","Male","2456","0.9876149144667","0.98326477624723","0.99196505268617","2"
"No","2011","66 and older","Female","2554","0.945223398462843","0.936651663443227","0.953795133482458","2"
"No","2011","16-34 y.","Female","2053","0.906184414466689","0.894179365682285","0.918189463251092","2"
"No","2011","35-65 y.","Male","5175","0.970882913423595","0.96636275304172","0.97540307380547","2"
"No","2011","35-65 y.","Female","5483","0.904522376113548","0.897116052941246","0.911928699285849","2"
"Yes","2011","16-34 y.","Male","62","0.0248965186472165","0.0181369146594813","0.0316561226349517","1"
"Yes","2011","16-34 y.","Female","213","0.0938155855333113","0.0818105367489077","0.105820634317715","1"
"Yes","2011","35-65 y.","Male","140","0.0291170865764047","0.02459692619453","0.0336372469582795","1"
"Yes","2011","35-65 y.","Female","565","0.0954776238864522","0.0880713007141506","0.102883947058754","1"
"Yes","2011","66 and older","Male","27","","","","1"
"Yes","2011","66 and older","Female","153","0.0547766015371572","0.0462048665175418","0.0633483365567727","1"
"No","2012","16-34 y.","Male","","","","","2"
"No","2012","16-34 y.","Female","","","","","2"
"No","2012","66 and older","Male","","","","","2"
"No","2012","66 and older","Female","","","","","2"
"No","2012","35-65 y.","Male","","","","","2"
"No","2012","35-65 y.","Female","","","","","2"
"Yes","2012","16-34 y.","Male","","","","","1"
"Yes","2012","16-34 y.","Female","","","","","1"
"Yes","2012","35-65 y.","Male","","","","","1"
"Yes","2012","35-65 y.","Female","","","","","1"
"Yes","2012","66 and older","Male","","","","","1"
"Yes","2012","66 and older","Female","","","","","1"
"No","2013","16-34 y.","Male","1681","0.974579817315457","0.967186374030267","0.981973260600647","2"
"No","2013","16-34 y.","Female","1756","0.886012675240481","0.871972135859607","0.900053214621354","2"
"No","2013","35-65 y.","Male","4573","0.964910973598937","0.959663836298522","0.970158110899351","2"
"No","2013","35-65 y.","Female","4929","0.885185764901545","0.876787972598334","0.893583557204755","2"
"No","2013","66 and older","Male","2376","0.985660148130906","0.980912641036478","0.990407655225334","2"
"No","2013","66 and older","Female","2437","0.939465767858307","0.930286927182121","0.948644608534492","2"
"Yes","2013","16-34 y.","Male","60","0.0254201826845428","0.0180267393993528","0.0328136259697329","1"
"Yes","2013","16-34 y.","Female","212","0.113987324759519","0.0999467853786457","0.128027864140393","1"
"Yes","2013","35-65 y.","Male","151","0.0350890264010631","0.0298418891006485","0.0403361637014778","1"
"Yes","2013","35-65 y.","Female","607","0.114814235098455","0.106416442795245","0.123212027401666","1"
"Yes","2013","66 and older","Male","33","0.014339851869094","0.00959234477466573","0.0190873589635223","1"
"Yes","2013","66 and older","Female","156","0.0605342321416931","0.0513553914655078","0.0697130728178784","1"
"No","2014","16-34 y.","Male","","","","","2"
"No","2014","16-34 y.","Female","","","","","2"
