"ple0017","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Saxony","Urban Area","661","0.934726278252065","0.916388652037352","0.953063904466778","2"
"No","2009","Lower Saxony","Urban Area","790","0.950801402629253","0.936096273357969","0.965506531900536","2"
"No","2009","Mecklenburg-Western Pomerania","Rural Area","399","0.953731502998252","0.933593532039417","0.973869473957086","2"
"No","2009","Brandenburg","Rural Area","695","0.956788293355822","0.942038182069943","0.9715384046417","2"
"No","2009","Lower Saxony","Rural Area","773","0.946472540886306","0.931029055011456","0.961916026761156","2"
"No","2009","Schleswig-Holstein","Rural Area","300","0.936036535485599","0.909227234438212","0.962845836532986","2"
"No","2009","Hamburg","Rural Area","","","","","2"
"No","2009","Hamburg","Urban Area","256","0.96127978634691","0.938309985850532","0.984249586843289","2"
"No","2009","Brandenburg","Urban Area","61","0.915356100824725","0.847687953911951","0.983024247737499","2"
"No","2009","Bremen","Rural Area","","","","","2"
"No","2009","Mecklenburg-Western Pomerania","Urban Area","57","0.956541271784763","0.90406965365062","1.00901288991891","2"
"No","2009","North Rhine-Westphalia","Rural Area","103","0.957543185259675","0.919159378194882","0.995926992324467","2"
"No","2009","Saxony","Rural Area","649","0.965940733350525","0.952277715263366","0.979603751437683","2"
"No","2009","Schleswig-Holstein","Urban Area","184","0.92943489205039","0.893581970846286","0.965287813254493","2"
"No","2009","Bremen","Urban Area","116","0.986659153802098","0.966131811170162","1.00718649643403","2"
"No","2009","North Rhine-Westphalia","Urban Area","3365","0.953414172002051","0.946470718672501","0.960357625331601","2"
"No","2009","Saxony-Anhalt","Urban Area","196","0.935793255408161","0.902320245840019","0.969266264976303","2"
"No","2009","Hesse","Urban Area","948","0.947672014547266","0.933904324005755","0.961439705088778","2"
"No","2009","Hesse","Rural Area","215","0.977945030612318","0.958582487136017","0.997307574088618","2"
"No","2009","Rhineland-Palatinate,Saarland","Urban Area","734","0.941989065110753","0.925562901075304","0.958415229146203","2"
"No","2009","Rhineland-Palatinate,Saarland","Rural Area","239","0.951208973449098","0.92445080615677","0.977967140741425","2"
"No","2009","Saxony-Anhalt","Rural Area","540","0.954400145256178","0.937213668563672","0.971586621948683","2"
"No","2009","Baden-Württemberg","Urban Area","1821","0.941543507048418","0.931066034675516","0.95202097942132","2"
"No","2009","Baden-Württemberg","Rural Area","183","0.967713208532182","0.942710718922935","0.992715698141429","2"
"No","2009","Bavaria","Urban Area","1175","0.944504312910915","0.931766531572889","0.957242094248942","2"
"No","2009","Bavaria","Rural Area","1316","0.944137709107775","0.932051589067354","0.956223829148196","2"
"No","2009","Berlin","Urban Area","639","0.939517264250293","0.9216789369115","0.957355591589086","2"
"No","2009","Berlin","Rural Area","","","","","2"
"No","2009","Thuringia","Urban Area","233","0.939158745051045","0.909348317865205","0.968969172236886","2"
"No","2009","Thuringia","Rural Area","549","0.961667642316241","0.946015296318961","0.977319988313522","2"
"Yes","2009","Schleswig-Holstein","Urban Area","12","","","","1"
"Yes","2009","Schleswig-Holstein","Rural Area","20","","","","1"
"Yes","2009","Hamburg","Urban Area","15","","","","1"
"Yes","2009","Hamburg","Rural Area","","","","","1"
"Yes","2009","Lower Saxony","Urban Area","41","0.0491985973707475","0.0344934680994635","0.0639037266420314","1"
"Yes","2009","Lower Saxony","Rural Area","43","0.0535274591136941","0.0380839732388446","0.0689709449885437","1"
"Yes","2009","Bremen","Urban Area","4","","","","1"
"Yes","2009","Bremen","Rural Area","","","","","1"
"Yes","2009","North Rhine-Westphalia","Urban Area","174","0.0465858279979487","0.0396423746683988","0.0535292813274986","1"
"Yes","2009","North Rhine-Westphalia","Rural Area","3","","","","1"
"Yes","2009","Hesse","Urban Area","57","0.0523279854527335","0.0385602949112218","0.0660956759942452","1"
"Yes","2009","Hesse","Rural Area","6","","","","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Urban Area","44","0.0580109348892465","0.0415847708537973","0.0744370989246958","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Rural Area","10","","","","1"
"Yes","2009","Baden-Württemberg","Urban Area","105","0.0584564929515816","0.0479790205786796","0.0689339653244836","1"
"Yes","2009","Baden-Württemberg","Rural Area","9","","","","1"
"Yes","2009","Bavaria","Urban Area","66","0.0554956870890846","0.0427579057510582","0.0682334684271111","1"
"Yes","2009","Bavaria","Rural Area","71","0.0558622908922251","0.0437761708518039","0.0679484109326462","1"
"Yes","2009","Berlin","Urban Area","47","0.060482735749707","0.0426444084109139","0.0783210630885001","1"
"Yes","2009","Berlin","Rural Area","","","","","1"
"Yes","2009","Brandenburg","Urban Area","4","","","","1"
"Yes","2009","Brandenburg","Rural Area","35","0.0432117066441783","0.0284615953583","0.0579618179300566","1"
"Yes","2009","Mecklenburg-Western Pomerania","Urban Area","1","","","","1"
"Yes","2009","Mecklenburg-Western Pomerania","Rural Area","19","","","","1"
"Yes","2009","Saxony","Urban Area","36","0.065273721747935","0.0469360955332217","0.0836113479626484","1"
"Yes","2009","Saxony","Rural Area","28","","","","1"
"Yes","2009","Saxony-Anhalt","Urban Area","10","","","","1"
"Yes","2009","Saxony-Anhalt","Rural Area","26","","","","1"
"Yes","2009","Thuringia","Urban Area","14","","","","1"
"Yes","2009","Thuringia","Rural Area","29","","","","1"
"No","2010","Hamburg","Rural Area","","","","","2"
"No","2010","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"No","2010","Saxony","Urban Area","","","","","2"
"No","2010","Hamburg","Urban Area","","","","","2"
"No","2010","Brandenburg","Urban Area","","","","","2"
"No","2010","Brandenburg","Rural Area","","","","","2"
"No","2010","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"No","2010","Saxony","Rural Area","","","","","2"
"No","2010","Schleswig-Holstein","Urban Area","","","","","2"
"No","2010","Schleswig-Holstein","Rural Area","","","","","2"
"No","2010","Lower Saxony","Urban Area","","","","","2"
"No","2010","Lower Saxony","Rural Area","","","","","2"
"No","2010","Bremen","Urban Area","","","","","2"
"No","2010","Bremen","Rural Area","","","","","2"
"No","2010","North Rhine-Westphalia","Urban Area","","","","","2"
"No","2010","North Rhine-Westphalia","Rural Area","","","","","2"
"No","2010","Saxony-Anhalt","Urban Area","","","","","2"
"No","2010","Hesse","Urban Area","","","","","2"
"No","2010","Hesse","Rural Area","","","","","2"
"No","2010","Rhineland-Palatinate,Saarland","Urban Area","","","","","2"
"No","2010","Rhineland-Palatinate,Saarland","Rural Area","","","","","2"
"No","2010","Saxony-Anhalt","Rural Area","","","","","2"
"No","2010","Baden-Württemberg","Urban Area","","","","","2"
"No","2010","Baden-Württemberg","Rural Area","","","","","2"
"No","2010","Bavaria","Urban Area","","","","","2"
"No","2010","Bavaria","Rural Area","","","","","2"
"No","2010","Berlin","Urban Area","","","","","2"
"No","2010","Berlin","Rural Area","","","","","2"
"No","2010","Thuringia","Urban Area","","","","","2"
"No","2010","Thuringia","Rural Area","","","","","2"
"Yes","2010","Hesse","Urban Area","","","","","1"
"Yes","2010","Hesse","Rural Area","","","","","1"
"Yes","2010","Rhineland-Palatinate,Saarland","Urban Area","","","","","1"
"Yes","2010","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Yes","2010","Baden-Württemberg","Urban Area","","","","","1"
"Yes","2010","Baden-Württemberg","Rural Area","","","","","1"
"Yes","2010","Bavaria","Urban Area","","","","","1"
"Yes","2010","Bavaria","Rural Area","","","","","1"
"Yes","2010","Berlin","Urban Area","","","","","1"
"Yes","2010","Berlin","Rural Area","","","","","1"
"Yes","2010","Brandenburg","Urban Area","","","","","1"
"Yes","2010","Brandenburg","Rural Area","","","","","1"
"Yes","2010","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Yes","2010","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Yes","2010","Saxony","Urban Area","","","","","1"
"Yes","2010","Saxony","Rural Area","","","","","1"
"Yes","2010","Saxony-Anhalt","Urban Area","","","","","1"
"Yes","2010","Saxony-Anhalt","Rural Area","","","","","1"
"Yes","2010","Thuringia","Urban Area","","","","","1"
"Yes","2010","Thuringia","Rural Area","","","","","1"
"Yes","2010","Schleswig-Holstein","Urban Area","","","","","1"
"Yes","2010","Schleswig-Holstein","Rural Area","","","","","1"
"Yes","2010","Hamburg","Urban Area","","","","","1"
"Yes","2010","Hamburg","Rural Area","","","","","1"
"Yes","2010","Lower Saxony","Urban Area","","","","","1"
"Yes","2010","Lower Saxony","Rural Area","","","","","1"
"Yes","2010","Bremen","Urban Area","","","","","1"
"Yes","2010","Bremen","Rural Area","","","","","1"
"Yes","2010","North Rhine-Westphalia","Urban Area","","","","","1"
"Yes","2010","North Rhine-Westphalia","Rural Area","","","","","1"
"No","2011","Hamburg","Urban Area","295","0.948391693767041","0.923960398755196","0.972822988778885","2"
"No","2011","Hamburg","Rural Area","","","","","2"
"No","2011","Mecklenburg-Western Pomerania","Urban Area","44","0.993785135583428","0.971074397291259","1.0164958738756","2"
"No","2011","Schleswig-Holstein","Rural Area","420","0.941001980801944","0.919159180578084","0.962844781025804","2"
"No","2011","Lower Saxony","Urban Area","895","0.961992312673939","0.949787987577584","0.974196637770295","2"
"No","2011","Lower Saxony","Rural Area","931","0.951357223856356","0.937868160459679","0.964846287253033","2"
"No","2011","Bremen","Urban Area","122","0.954621923269496","0.918423889983691","0.9908199565553","2"
"No","2011","Bremen","Rural Area","","","","","2"
"No","2011","Brandenburg","Rural Area","777","0.951345193005197","0.936619589389612","0.966070796620783","2"
"No","2011","North Rhine-Westphalia","Urban Area","3788","0.942302611085806","0.935092924232406","0.949512297939207","2"
"No","2011","Mecklenburg-Western Pomerania","Rural Area","443","0.937389470478366","0.915557082298746","0.959221858657986","2"
"No","2011","Saxony","Urban Area","702","0.967304787853731","0.954377582907035","0.980231992800427","2"
"No","2011","Saxony","Rural Area","657","0.963165218916865","0.949039284637578","0.977291153196152","2"
"No","2011","Schleswig-Holstein","Urban Area","196","0.934784494497111","0.901067747792524","0.968501241201698","2"
"No","2011","Brandenburg","Urban Area","65","0.896967803519701","0.825238196409719","0.968697410629683","2"
"No","2011","North Rhine-Westphalia","Rural Area","133","0.966850512886699","0.936872290283962","0.996828735489436","2"
"No","2011","Saxony-Anhalt","Urban Area","271","0.943759148051851","0.917151384060004","0.970366912043697","2"
"No","2011","Hesse","Urban Area","1092","0.936103044469177","0.922053135425328","0.950152953513026","2"
"No","2011","Hesse","Rural Area","237","0.93697254564385","0.907028109024533","0.966916982263167","2"
"No","2011","Saxony-Anhalt","Rural Area","556","0.951901780046319","0.93451788184226","0.969285678250377","2"
"No","2011","Rhineland-Palatinate,Saarland","Urban Area","825","0.933261379226164","0.916809624765575","0.949713133686752","2"
"No","2011","Rhineland-Palatinate,Saarland","Rural Area","315","0.945276602452525","0.920662888458938","0.969890316446113","2"
"No","2011","Baden-Württemberg","Urban Area","2120","0.945047702049637","0.935633573207336","0.954461830891937","2"
"No","2011","Baden-Württemberg","Rural Area","234","0.972911758393308","0.952707199009457","0.993116317777158","2"
"No","2011","Bavaria","Urban Area","1413","0.93569997443674","0.923311737966988","0.948088210906492","2"
"No","2011","Bavaria","Rural Area","1602","0.947636161519686","0.937031427276021","0.958240895763352","2"
"No","2011","Berlin","Urban Area","733","0.943869352939972","0.927747194798559","0.959991511081385","2"
"No","2011","Berlin","Rural Area","","","","","2"
"No","2011","Thuringia","Urban Area","250","0.940195851010983","0.911859314048142","0.968532387973824","2"
"No","2011","Thuringia","Rural Area","584","0.949454721956047","0.932224942627057","0.966684501285037","2"
"Yes","2011","Hesse","Urban Area","72","0.0638969555308229","0.0498470464869737","0.0779468645746721","1"
"Yes","2011","Hesse","Rural Area","16","","","","1"
"Yes","2011","Rhineland-Palatinate,Saarland","Urban Area","59","0.0667386207738364","0.0502868663132475","0.0831903752344253","1"
"Yes","2011","Rhineland-Palatinate,Saarland","Rural Area","13","","","","1"
"Yes","2011","Baden-Württemberg","Urban Area","131","0.0549522979503635","0.0455381691080631","0.0643664267926638","1"
"Yes","2011","Baden-Württemberg","Rural Area","14","","","","1"
"Yes","2011","Schleswig-Holstein","Urban Area","10","","","","1"
"Yes","2011","Schleswig-Holstein","Rural Area","27","","","","1"
"Yes","2011","Hamburg","Urban Area","20","","","","1"
"Yes","2011","Hamburg","Rural Area","","","","","1"
"Yes","2011","Lower Saxony","Urban Area","48","0.0380076873260606","0.0258033622297052","0.0502120124224161","1"
"Yes","2011","Lower Saxony","Rural Area","46","0.0486427761436443","0.0351537127469672","0.0621318395403213","1"
"Yes","2011","Bremen","Urban Area","5","","","","1"
