"ple0017","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Urban Area","11236","0.947208062482106","0.943184577239908","0.951231547724304","2"
"No","2009","Rural Area","5961","0.952752618680541","0.94749680608484","0.958008431276241","2"
"Yes","2009","Urban Area","630","0.0527919375178939","0.0487684522756956","0.0568154227600923","1"
"Yes","2009","Rural Area","299","0.0472473813194594","0.0419915687237592","0.0525031939151597","1"
"No","2010","Urban Area","","","","","2"
"No","2010","Rural Area","","","","","2"
"Yes","2010","Urban Area","","","","","1"
"Yes","2010","Rural Area","","","","","1"
"No","2011","Urban Area","12811","0.943650861014417","0.939774789105174","0.94752693292366","2"
"No","2011","Rural Area","6889","0.950194362585751","0.945191648886837","0.955197076284665","2"
"Yes","2011","Urban Area","785","0.0563491389855832","0.05247306707634","0.0602252108948265","1"
"Yes","2011","Rural Area","375","0.0498056374142488","0.0448029237153348","0.0548083511131629","1"
"No","2012","Urban Area","","","","","2"
"No","2012","Rural Area","","","","","2"
"Yes","2012","Urban Area","","","","","1"
"Yes","2012","Rural Area","","","","","1"
"No","2013","Urban Area","11451","0.934517317766492","0.930142928596972","0.938891706936013","2"
"No","2013","Rural Area","6301","0.940322755945627","0.934644594226982","0.946000917664272","2"
"Yes","2013","Urban Area","834","0.0654826822335074","0.061108293063987","0.0698570714030279","1"
"Yes","2013","Rural Area","385","0.0596772440543732","0.0539990823357279","0.0653554057730186","1"
"No","2014","Urban Area","","","","","2"
"No","2014","Rural Area","","","","","2"
"Yes","2014","Urban Area","","","","","1"
"Yes","2014","Rural Area","","","","","1"
"No","2015","Urban Area","15257","0.931739047113798","0.927882937110418","0.935595157117178","2"
"No","2015","Rural Area","8194","0.941926159789557","0.937022549775535","0.946829769803579","2"
"Yes","2015","Urban Area","1174","0.068260952886202","0.0644048428828223","0.0721170628895817","1"
"Yes","2015","Rural Area","545","0.0580738402104425","0.0531702301964206","0.0629774502244644","1"
"No","2016","Urban Area","","","","","2"
"No","2016","Rural Area","","","","","2"
"Yes","2016","Urban Area","","","","","1"
"Yes","2016","Rural Area","","","","","1"
"No","2017","Urban Area","15984","0.927417783719623","0.92354839669277","0.931287170746477","2"
"No","2017","Rural Area","8826","0.936925680585367","0.932024901878565","0.941826459292169","2"
"Yes","2017","Urban Area","1287","0.0725822162803766","0.0687128292535228","0.0764516033072303","1"
"Yes","2017","Rural Area","626","0.0630743194146332","0.0581735407078312","0.0679750981214353","1"
"No","2018","Urban Area","","","","","2"
"No","2018","Rural Area","","","","","2"
"Yes","2018","Urban Area","","","","","1"
"Yes","2018","Rural Area","","","","","1"
"No","2019","Urban Area","14308","0.926659912636082","0.922552676901406","0.930767148370759","2"
"No","2019","Rural Area","8280","0.93772246935431","0.932696497996247","0.942748440712374","2"
"Yes","2019","Urban Area","1168","0.0733400873639174","0.0692328516292407","0.0774473230985942","1"
"Yes","2019","Rural Area","601","0.0622775306456895","0.0572515592876263","0.0673035020037527","1"
