"ple0017","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","Urban Area","2673","0.968326418941729","0.961803438330438","0.974849399553021","2"
"No","2009","16-34 y.","Urban Area","2507","0.945969206517542","0.937364808261249","0.954573604773835","2"
"No","2009","16-34 y.","Rural Area","1282","0.953796881616893","0.942615322812424","0.964978440421361","2"
"No","2009","66 and older","Rural Area","1411","0.970898370214511","0.962246507257619","0.979550233171403","2"
"No","2009","35-65 y.","Urban Area","6056","0.93791921554544","0.93202809451845","0.943810336572431","2"
"No","2009","35-65 y.","Rural Area","3268","0.944143644104794","0.936487386095599","0.951799902113989","2"
"Yes","2009","16-34 y.","Urban Area","145","0.0540307934824579","0.0454263952261649","0.062635191738751","1"
"Yes","2009","16-34 y.","Rural Area","72","0.0462031183831074","0.0350215595786389","0.0573846771875758","1"
"Yes","2009","35-65 y.","Urban Area","389","0.0620807844545598","0.0561896634275696","0.0679719054815499","1"
"Yes","2009","35-65 y.","Rural Area","188","0.055856355895206","0.0482000978860107","0.0635126139044013","1"
"Yes","2009","66 and older","Urban Area","96","0.0316735810582706","0.0251506004469787","0.0381965616695624","1"
"Yes","2009","66 and older","Rural Area","39","0.0291016297854891","0.0204497668285973","0.0377534927423809","1"
"No","2010","66 and older","Urban Area","","","","","2"
"No","2010","16-34 y.","Urban Area","","","","","2"
"No","2010","66 and older","Rural Area","","","","","2"
"No","2010","16-34 y.","Rural Area","","","","","2"
"No","2010","35-65 y.","Urban Area","","","","","2"
"No","2010","35-65 y.","Rural Area","","","","","2"
"Yes","2010","16-34 y.","Urban Area","","","","","1"
"Yes","2010","16-34 y.","Rural Area","","","","","1"
"Yes","2010","35-65 y.","Urban Area","","","","","1"
"Yes","2010","35-65 y.","Rural Area","","","","","1"
"Yes","2010","66 and older","Urban Area","","","","","1"
"Yes","2010","66 and older","Rural Area","","","","","1"
"No","2011","16-34 y.","Urban Area","2730","0.94071676652346","0.932146876269363","0.949286656777557","2"
"No","2011","66 and older","Urban Area","3266","0.960518994078368","0.953970410104232","0.967067578052504","2"
"No","2011","66 and older","Rural Area","1744","0.970211715036959","0.962342816358548","0.978080613715369","2"
"No","2011","16-34 y.","Rural Area","1302","0.94678282158258","0.934982555564901","0.958583087600258","2"
"No","2011","35-65 y.","Urban Area","6815","0.935910498172965","0.930285357845687","0.941535638500244","2"
"No","2011","35-65 y.","Rural Area","3843","0.941695474756008","0.934506430336175","0.94888451917584","2"
"Yes","2011","16-34 y.","Urban Area","187","0.0592832334765398","0.0507133432224431","0.0678531237306366","1"
"Yes","2011","16-34 y.","Rural Area","88","0.0532171784174205","0.0414169123997422","0.0650174444350987","1"
