"pli0093_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","1-pers.-HH","12","","",""
"Daily","1990","16-34 y.","(Married) couple without C. ","20","","",""
"Daily","1990","16-34 y.","Single parent ","11","","",""
"Daily","1990","16-34 y.","Couple + C. LE 16 ","15","","",""
"Daily","1990","16-34 y.","Couple + C. GT 16 ","45","0.0605973021023295","0.0445199154815497","0.0766746887231092"
"Daily","1990","16-34 y.","Couple + C. LE and GT 16","22","","",""
"Daily","1990","35-65 y.","1-pers.-HH","8","","",""
"Daily","1990","35-65 y.","(Married) couple without C. ","24","","",""
"Daily","1990","35-65 y.","Single parent ","6","","",""
"Daily","1990","35-65 y.","Couple + C. LE 16 ","23","","",""
"Daily","1990","35-65 y.","Couple + C. GT 16 ","25","","",""
"Daily","1990","35-65 y.","Couple + C. LE and GT 16","6","","",""
"Daily","1990","66 and older","1-pers.-HH","7","","",""
"Daily","1990","66 and older","(Married) couple without C. ","13","","",""
"Daily","1990","66 and older","Single parent ","1","","",""
"Daily","1990","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1990","66 and older","Couple + C. GT 16 ","2","","",""
"Daily","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","16-34 y.","1-pers.-HH","38","0.125399482239689","0.0855265760652815","0.165272388414096"
"Min 1x per week","1990","16-34 y.","(Married) couple without C. ","74","0.127803196123786","0.10177358650702","0.153832805740551"
"Min 1x per week","1990","16-34 y.","Single parent ","34","0.149595669577781","0.102677199052967","0.196514140102595"
"Min 1x per week","1990","16-34 y.","Couple + C. LE 16 ","77","0.0899393026066467","0.0725599872570982","0.107318617956195"
"Min 1x per week","1990","16-34 y.","Couple + C. GT 16 ","132","0.164428088127063","0.139450941156549","0.189405235097578"
"Min 1x per week","1990","16-34 y.","Couple + C. LE and GT 16","51","0.154848990832772","0.117057144837713","0.192640836827832"
"Min 1x per week","1990","35-65 y.","1-pers.-HH","43","0.134357227545778","0.100725481602326","0.167988973489231"
"Min 1x per week","1990","35-65 y.","(Married) couple without C. ","86","0.0825028988184776","0.0667514234046406","0.0982543742323146"
"Min 1x per week","1990","35-65 y.","Single parent ","18","","",""
