"pli0093_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Male","4","","",""
"Daily","1990","Schleswig-Holstein","Female","2","","",""
"Daily","1990","Hamburg","Male","5","","",""
"Daily","1990","Hamburg","Female","4","","",""
"Daily","1990","Lower Saxony","Male","11","","",""
"Daily","1990","Lower Saxony","Female","9","","",""
"Daily","1990","Bremen","Male","","","",""
"Daily","1990","Bremen","Female","1","","",""
"Daily","1990","North Rhine-Westphalia","Male","38","0.0315213954444403","0.0218854540753312","0.0411573368135495"
"Daily","1990","North Rhine-Westphalia","Female","40","0.0335904665658874","0.0237812525253901","0.0433996806063847"
"Daily","1990","Hesse","Male","10","","",""
"Daily","1990","Hesse","Female","9","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Male","9","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Female","14","","",""
"Daily","1990","Baden-Württemberg","Male","21","","",""
"Daily","1990","Baden-Württemberg","Female","21","","",""
"Daily","1990","Bavaria","Male","21","","",""
"Daily","1990","Bavaria","Female","23","","",""
"Daily","1990","Berlin","Male","5","","",""
"Daily","1990","Berlin","Female","8","","",""
"Daily","1990","Brandenburg","Male","","","",""
"Daily","1990","Brandenburg","Female","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Daily","1990","Saxony","Male","","","",""
"Daily","1990","Saxony","Female","","","",""
"Daily","1990","Saxony-Anhalt","Male","","","",""
"Daily","1990","Saxony-Anhalt","Female","","","",""
"Daily","1990","Thuringia","Male","","","",""
"Daily","1990","Thuringia","Female","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Male","8","","",""
"Min 1x per week","1990","Schleswig-Holstein","Female","14","","",""
"Min 1x per week","1990","Hamburg","Male","6","","",""
"Min 1x per week","1990","Hamburg","Female","8","","",""
"Min 1x per week","1990","Lower Saxony","Male","54","0.128704593441657","0.0988401612896339","0.158569025593681"
"Min 1x per week","1990","Lower Saxony","Female","52","0.0964790573247982","0.0704169055952861","0.12254120905431"
"Min 1x per week","1990","Bremen","Male","4","","",""
"Min 1x per week","1990","Bremen","Female","5","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Male","113","0.0947256477448753","0.078575729960642","0.110875565529109"
"Min 1x per week","1990","North Rhine-Westphalia","Female","106","0.0859204770134172","0.070662887729355","0.101178066297479"
"Min 1x per week","1990","Hesse","Male","30","0.0654683429962064","0.0435674040585131","0.0873692819338997"
"Min 1x per week","1990","Hesse","Female","34","0.079011632716751","0.0551023662629169","0.102920899170585"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Male","28","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Female","30","0.101055013602445","0.0694336301026583","0.132676397102232"
"Min 1x per week","1990","Baden-Württemberg","Male","82","0.112836327003427","0.0922000874166456","0.133472566590209"
"Min 1x per week","1990","Baden-Württemberg","Female","81","0.105002071460629","0.0848392382954135","0.125164904625845"
"Min 1x per week","1990","Bavaria","Male","75","0.100951785689976","0.079850170251594","0.122053401128358"
"Min 1x per week","1990","Bavaria","Female","87","0.110397529510843","0.0888425435683353","0.13195251545335"
"Min 1x per week","1990","Berlin","Male","12","","",""
"Min 1x per week","1990","Berlin","Female","19","","",""
"Min 1x per week","1990","Brandenburg","Male","","","",""
"Min 1x per week","1990","Brandenburg","Female","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per week","1990","Saxony","Male","","","",""
"Min 1x per week","1990","Saxony","Female","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Male","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Female","","","",""
"Min 1x per week","1990","Thuringia","Male","","","",""
"Min 1x per week","1990","Thuringia","Female","","","",""
"Min 1x per month","1990","Schleswig-Holstein","Male","20","","",""
"Min 1x per month","1990","Schleswig-Holstein","Female","18","","",""
"Min 1x per month","1990","Hamburg","Male","10","","",""
"Min 1x per month","1990","Hamburg","Female","11","","",""
"Min 1x per month","1990","Lower Saxony","Male","59","0.120187617763012","0.0911875225273436","0.149187712998681"
"Min 1x per month","1990","Lower Saxony","Female","61","0.120844414144807","0.0920723651232524","0.149616463166361"
"Min 1x per month","1990","Bremen","Male","6","","",""
"Min 1x per month","1990","Bremen","Female","8","","",""
"Min 1x per month","1990","North Rhine-Westphalia","Male","115","0.10008022445278","0.0835292926645185","0.116631156241042"
"Min 1x per month","1990","North Rhine-Westphalia","Female","142","0.118846682227049","0.101228347297286","0.136465017156812"
"Min 1x per month","1990","Hesse","Male","46","0.123124302914733","0.0940311385760588","0.152217467253407"
"Min 1x per month","1990","Hesse","Female","52","0.107965099327548","0.0804591727757454","0.135471025879351"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Male","32","0.112277272326956","0.0776867039685107","0.146867840685401"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Female","22","","",""
"Min 1x per month","1990","Baden-Württemberg","Male","100","0.131607748170228","0.109558036495032","0.153657459845423"
"Min 1x per month","1990","Baden-Württemberg","Female","103","0.137055930084837","0.114436490118568","0.159675370051105"
"Min 1x per month","1990","Bavaria","Male","100","0.140955580220506","0.116582177895165","0.165328982545846"
"Min 1x per month","1990","Bavaria","Female","110","0.14199829105151","0.117990306018239","0.166006276084781"
"Min 1x per month","1990","Berlin","Male","18","","",""
"Min 1x per month","1990","Berlin","Female","21","","",""
"Min 1x per month","1990","Brandenburg","Male","","","",""
"Min 1x per month","1990","Brandenburg","Female","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per month","1990","Saxony","Male","","","",""
"Min 1x per month","1990","Saxony","Female","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Male","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Female","","","",""
"Min 1x per month","1990","Thuringia","Male","","","",""
"Min 1x per month","1990","Thuringia","Female","","","",""
"Rarely","1990","Schleswig-Holstein","Male","45","0.366641255468312","0.286241616414231","0.447040894522393"
"Rarely","1990","Schleswig-Holstein","Female","42","0.307895915225938","0.233017036405416","0.38277479404646"
"Rarely","1990","Hamburg","Male","18","","",""
"Rarely","1990","Hamburg","Female","28","","",""
"Rarely","1990","Lower Saxony","Male","146","0.301598558154805","0.260668560497921","0.342528555811689"
"Rarely","1990","Lower Saxony","Female","145","0.28875729488844","0.24875360736725","0.32876098240963"
"Rarely","1990","Bremen","Male","11","","",""
"Rarely","1990","Bremen","Female","12","","",""
"Rarely","1990","North Rhine-Westphalia","Male","347","0.304097099407997","0.278726724913366","0.329467473902628"
"Rarely","1990","North Rhine-Westphalia","Female","344","0.282041898367899","0.257542695432892","0.306541101302906"
"Rarely","1990","Hesse","Male","117","0.301394527903795","0.26076575328012","0.34202330252747"
"Rarely","1990","Hesse","Female","114","0.263195571960683","0.224164627149679","0.302226516771688"
"Rarely","1990","Rhineland-Palatinate,Saarland","Male","72","0.230580002901075","0.184430645653863","0.276729360148287"
"Rarely","1990","Rhineland-Palatinate,Saarland","Female","68","0.197914693684494","0.156113885651753","0.239715501717234"
"Rarely","1990","Baden-Württemberg","Male","272","0.331085388787216","0.30039095936658","0.361779818207853"
"Rarely","1990","Baden-Württemberg","Female","236","0.291269943034211","0.261386552583034","0.321153333485387"
"Rarely","1990","Bavaria","Male","237","0.308454694669559","0.276104773927642","0.340804615411476"
"Rarely","1990","Bavaria","Female","224","0.279756594274779","0.248882097487658","0.310631091061901"
"Rarely","1990","Berlin","Male","44","0.346360436028557","0.271211811620213","0.421509060436901"
"Rarely","1990","Berlin","Female","49","0.316339709811622","0.247438618585512","0.385240801037733"
"Rarely","1990","Brandenburg","Male","","","",""
"Rarely","1990","Brandenburg","Female","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Rarely","1990","Saxony","Male","","","",""
"Rarely","1990","Saxony","Female","","","",""
"Rarely","1990","Saxony-Anhalt","Male","","","",""
"Rarely","1990","Saxony-Anhalt","Female","","","",""
"Rarely","1990","Thuringia","Male","","","",""
"Rarely","1990","Thuringia","Female","","","",""
"Never","1990","Schleswig-Holstein","Male","61","0.376793763717827","0.295944457740356","0.457643069695298"
"Never","1990","Schleswig-Holstein","Female","70","0.449743240783699","0.369050089036586","0.530436392530812"
"Never","1990","Hamburg","Male","41","0.479607601163497","0.370133446976843","0.589081755350152"
"Never","1990","Hamburg","Female","35","0.398661270150343","0.295180303627488","0.502142236673199"
"Never","1990","Lower Saxony","Male","213","0.426405145006232","0.382300090071183","0.47051019994128"
"Never","1990","Lower Saxony","Female","226","0.475417561870579","0.43133476760317","0.519500356137988"
"Never","1990","Bremen","Male","26","","",""
"Never","1990","Bremen","Female","30","0.526620159541303","0.395850287991247","0.65739003109136"
"Never","1990","North Rhine-Westphalia","Male","650","0.469575632949906","0.44205167248017","0.497099593419643"
"Never","1990","North Rhine-Westphalia","Female","664","0.479600475825747","0.452401419380961","0.506799532270534"
"Never","1990","Hesse","Male","287","0.493356145122321","0.449088979880712","0.53762331036393"
"Never","1990","Hesse","Female","280","0.53248653734401","0.488263859386739","0.576709215301282"
"Never","1990","Rhineland-Palatinate,Saarland","Male","179","0.524001389851276","0.469281884399304","0.578720895303248"
"Never","1990","Rhineland-Palatinate,Saarland","Female","215","0.599979751903233","0.54858193629409","0.651377567512377"
"Never","1990","Baden-Württemberg","Male","428","0.390916588696001","0.359090398654831","0.422742778737171"
"Never","1990","Baden-Württemberg","Female","447","0.441301635449961","0.408642996868855","0.473960274031066"
"Never","1990","Bavaria","Male","350","0.421133814083092","0.386550520025755","0.455717108140428"
"Never","1990","Bavaria","Female","368","0.438792052054452","0.404660081748716","0.472924022360188"
"Never","1990","Berlin","Male","75","0.430630944285754","0.352425447741788","0.50883644082972"
"Never","1990","Berlin","Female","78","0.408405395115177","0.335579320068242","0.481231470162112"
"Never","1990","Brandenburg","Male","","","",""
"Never","1990","Brandenburg","Female","","","",""
"Never","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Never","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Never","1990","Saxony","Male","","","",""
"Never","1990","Saxony","Female","","","",""
"Never","1990","Saxony-Anhalt","Male","","","",""
"Never","1990","Saxony-Anhalt","Female","","","",""
"Never","1990","Thuringia","Male","","","",""
"Never","1990","Thuringia","Female","","","",""
"Daily","1991","Schleswig-Holstein","Male","","","",""
"Daily","1991","Schleswig-Holstein","Female","","","",""
"Daily","1991","Hamburg","Male","","","",""
"Daily","1991","Hamburg","Female","","","",""
"Daily","1991","Lower Saxony","Male","","","",""
"Daily","1991","Lower Saxony","Female","","","",""
"Daily","1991","Bremen","Male","","","",""
"Daily","1991","Bremen","Female","","","",""
"Daily","1991","North Rhine-Westphalia","Male","","","",""
"Daily","1991","North Rhine-Westphalia","Female","","","",""
"Daily","1991","Hesse","Male","","","",""
"Daily","1991","Hesse","Female","","","",""
"Daily","1991","Rhineland-Palatinate,Saarland","Male","","","",""
"Daily","1991","Rhineland-Palatinate,Saarland","Female","","","",""
"Daily","1991","Baden-Württemberg","Male","","","",""
"Daily","1991","Baden-Württemberg","Female","","","",""
"Daily","1991","Bavaria","Male","","","",""
"Daily","1991","Bavaria","Female","","","",""
"Daily","1991","Berlin","Male","","","",""
"Daily","1991","Berlin","Female","","","",""
"Daily","1991","Brandenburg","Male","","","",""
"Daily","1991","Brandenburg","Female","","","",""
"Daily","1991","Mecklenburg-Western Pomerania","Male","","","",""
"Daily","1991","Mecklenburg-Western Pomerania","Female","","","",""
"Daily","1991","Saxony","Male","","","",""
"Daily","1991","Saxony","Female","","","",""
"Daily","1991","Saxony-Anhalt","Male","","","",""
"Daily","1991","Saxony-Anhalt","Female","","","",""
"Daily","1991","Thuringia","Male","","","",""
"Daily","1991","Thuringia","Female","","","",""
"Min 1x per week","1991","Schleswig-Holstein","Male","","","",""
"Min 1x per week","1991","Schleswig-Holstein","Female","","","",""
"Min 1x per week","1991","Hamburg","Male","","","",""
"Min 1x per week","1991","Hamburg","Female","","","",""
"Min 1x per week","1991","Lower Saxony","Male","","","",""
"Min 1x per week","1991","Lower Saxony","Female","","","",""
"Min 1x per week","1991","Bremen","Male","","","",""
"Min 1x per week","1991","Bremen","Female","","","",""
"Min 1x per week","1991","North Rhine-Westphalia","Male","","","",""
"Min 1x per week","1991","North Rhine-Westphalia","Female","","","",""
"Min 1x per week","1991","Hesse","Male","","","",""
"Min 1x per week","1991","Hesse","Female","","","",""
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","Male","","","",""
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","Female","","","",""
"Min 1x per week","1991","Baden-Württemberg","Male","","","",""
"Min 1x per week","1991","Baden-Württemberg","Female","","","",""
"Min 1x per week","1991","Bavaria","Male","","","",""
"Min 1x per week","1991","Bavaria","Female","","","",""
"Min 1x per week","1991","Berlin","Male","","","",""
"Min 1x per week","1991","Berlin","Female","","","",""
"Min 1x per week","1991","Brandenburg","Male","","","",""
"Min 1x per week","1991","Brandenburg","Female","","","",""
