"pli0093_h","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","(0) in school","","","",""
"Daily","1990","Full Time","(1a) inadequately completed","2","","",""
"Daily","1990","Full Time","(1b) general elementary school","17","","",""
"Daily","1990","Full Time","(1c) basic vocational qualification","25","","",""
"Daily","1990","Full Time","(2b) intermediate general qualification","9","","",""
"Daily","1990","Full Time","(2a) intermediate vocational","13","","",""
"Daily","1990","Full Time","(2c_gen) general maturity certificate","2","","",""
"Daily","1990","Full Time","(2c_voc) vocational maturity certificate","5","","",""
"Daily","1990","Full Time","(3a) lower tertiary education","4","","",""
"Daily","1990","Full Time","(3b) higher tertiary education","11","","",""
"Daily","1990","Part Time","(0) in school","1","","",""
"Daily","1990","Part Time","(1a) inadequately completed","","","",""
"Daily","1990","Part Time","(1b) general elementary school","8","","",""
"Daily","1990","Part Time","(1c) basic vocational qualification","6","","",""
"Daily","1990","Part Time","(2b) intermediate general qualification","5","","",""
"Daily","1990","Part Time","(2a) intermediate vocational","12","","",""
"Daily","1990","Part Time","(2c_gen) general maturity certificate","7","","",""
"Daily","1990","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Part Time","(3a) lower tertiary education","9","","",""
"Daily","1990","Part Time","(3b) higher tertiary education","6","","",""
"Daily","1990","Not Working","(0) in school","22","","",""
"Daily","1990","Not Working","(1a) inadequately completed","2","","",""
"Daily","1990","Not Working","(1b) general elementary school","16","","",""
"Daily","1990","Not Working","(1c) basic vocational qualification","20","","",""
"Daily","1990","Not Working","(2b) intermediate general qualification","9","","",""
"Daily","1990","Not Working","(2a) intermediate vocational","10","","",""
"Daily","1990","Not Working","(2c_gen) general maturity certificate","10","","",""
"Daily","1990","Not Working","(2c_voc) vocational maturity certificate","6","","",""
"Daily","1990","Not Working","(3a) lower tertiary education","4","","",""
"Daily","1990","Not Working","(3b) higher tertiary education","8","","",""
"Min 1x per week","1990","Full Time","(0) in school","","","",""
"Min 1x per week","1990","Full Time","(1a) inadequately completed","7","","",""
"Min 1x per week","1990","Full Time","(1b) general elementary school","32","0.0463966889504738","0.0315203916006044","0.0612729863003431"
"Min 1x per week","1990","Full Time","(1c) basic vocational qualification","118","0.0765904087814655","0.0639112884653239","0.0892695290976071"
"Min 1x per week","1990","Full Time","(2b) intermediate general qualification","14","","",""
"Min 1x per week","1990","Full Time","(2a) intermediate vocational","97","0.134275811629882","0.109054468887135","0.159497154372629"
"Min 1x per week","1990","Full Time","(2c_gen) general maturity certificate","13","","",""
"Min 1x per week","1990","Full Time","(2c_voc) vocational maturity certificate","33","0.180555843152683","0.129612025312939","0.231499660992427"
"Min 1x per week","1990","Full Time","(3a) lower tertiary education","15","","",""
"Min 1x per week","1990","Full Time","(3b) higher tertiary education","53","0.188245125979332","0.14309840947832","0.233391842480344"
"Min 1x per week","1990","Part Time","(0) in school","3","","",""
"Min 1x per week","1990","Part Time","(1a) inadequately completed","2","","",""
"Min 1x per week","1990","Part Time","(1b) general elementary school","22","","",""
"Min 1x per week","1990","Part Time","(1c) basic vocational qualification","42","0.0924462753959304","0.067233248199151","0.11765930259271"
"Min 1x per week","1990","Part Time","(2b) intermediate general qualification","13","","",""
"Min 1x per week","1990","Part Time","(2a) intermediate vocational","34","0.144297309644384","0.0990810468507147","0.189513572438054"
"Min 1x per week","1990","Part Time","(2c_gen) general maturity certificate","26","","",""
"Min 1x per week","1990","Part Time","(2c_voc) vocational maturity certificate","18","","",""
"Min 1x per week","1990","Part Time","(3a) lower tertiary education","9","","",""
"Min 1x per week","1990","Part Time","(3b) higher tertiary education","23","","",""
"Min 1x per week","1990","Not Working","(0) in school","32","0.244199332811205","0.174030748098504","0.314367917523905"
"Min 1x per week","1990","Not Working","(1a) inadequately completed","3","","",""
"Min 1x per week","1990","Not Working","(1b) general elementary school","43","0.0439367060576392","0.0310785038297067","0.0567949082855716"
"Min 1x per week","1990","Not Working","(1c) basic vocational qualification","69","0.0678760468545885","0.0524169997989633","0.0833350939102137"
"Min 1x per week","1990","Not Working","(2b) intermediate general qualification","20","","",""
"Min 1x per week","1990","Not Working","(2a) intermediate vocational","30","0.0728608766925973","0.0447333970312374","0.100988356353957"
"Min 1x per week","1990","Not Working","(2c_gen) general maturity certificate","29","","",""
"Min 1x per week","1990","Not Working","(2c_voc) vocational maturity certificate","9","","",""
"Min 1x per week","1990","Not Working","(3a) lower tertiary education","4","","",""
"Min 1x per week","1990","Not Working","(3b) higher tertiary education","18","","",""
"Min 1x per month","1990","Full Time","(0) in school","","","",""
"Min 1x per month","1990","Full Time","(1a) inadequately completed","8","","",""
"Min 1x per month","1990","Full Time","(1b) general elementary school","43","0.0655282924735004","0.048027207027468","0.0830293779195328"
"Min 1x per month","1990","Full Time","(1c) basic vocational qualification","192","0.117424643161049","0.102076343784795","0.132772942537303"
"Min 1x per month","1990","Full Time","(2b) intermediate general qualification","28","","",""
"Min 1x per month","1990","Full Time","(2a) intermediate vocational","112","0.164076366693237","0.136680449042956","0.191472284343518"
"Min 1x per month","1990","Full Time","(2c_gen) general maturity certificate","12","","",""
"Min 1x per month","1990","Full Time","(2c_voc) vocational maturity certificate","42","0.209504487166505","0.155606517867652","0.263402456465357"
"Min 1x per month","1990","Full Time","(3a) lower tertiary education","29","","",""
"Min 1x per month","1990","Full Time","(3b) higher tertiary education","60","0.212701480386397","0.165440054435329","0.259962906337465"
"Min 1x per month","1990","Part Time","(0) in school","2","","",""
"Min 1x per month","1990","Part Time","(1a) inadequately completed","2","","",""
"Min 1x per month","1990","Part Time","(1b) general elementary school","30","0.081905877234476","0.0547251639778067","0.109086590491145"
"Min 1x per month","1990","Part Time","(1c) basic vocational qualification","59","0.135874522722871","0.106048075048983","0.165700970396759"
"Min 1x per month","1990","Part Time","(2b) intermediate general qualification","28","","",""
"Min 1x per month","1990","Part Time","(2a) intermediate vocational","43","0.180317099872464","0.130846691773619","0.22978750797131"
"Min 1x per month","1990","Part Time","(2c_gen) general maturity certificate","22","","",""
"Min 1x per month","1990","Part Time","(2c_voc) vocational maturity certificate","8","","",""
"Min 1x per month","1990","Part Time","(3a) lower tertiary education","6","","",""
"Min 1x per month","1990","Part Time","(3b) higher tertiary education","17","","",""
"Min 1x per month","1990","Not Working","(0) in school","11","","",""
"Min 1x per month","1990","Not Working","(1a) inadequately completed","9","","",""
"Min 1x per month","1990","Not Working","(1b) general elementary school","47","0.041921581323127","0.0293484764197126","0.0544946862265414"
"Min 1x per month","1990","Not Working","(1c) basic vocational qualification","84","0.0792406742611607","0.0626396547948979","0.0958416937274235"
"Min 1x per month","1990","Not Working","(2b) intermediate general qualification","20","","",""
"Min 1x per month","1990","Not Working","(2a) intermediate vocational","54","0.161095639619938","0.121311562527128","0.200879716712748"
"Min 1x per month","1990","Not Working","(2c_gen) general maturity certificate","27","","",""
"Min 1x per month","1990","Not Working","(2c_voc) vocational maturity certificate","21","","",""
"Min 1x per month","1990","Not Working","(3a) lower tertiary education","5","","",""
"Min 1x per month","1990","Not Working","(3b) higher tertiary education","17","","",""
"Rarely","1990","Full Time","(0) in school","","","",""
"Rarely","1990","Full Time","(1a) inadequately completed","51","0.206185036430703","0.159541939083833","0.252828133777573"
"Rarely","1990","Full Time","(1b) general elementary school","154","0.238742621555384","0.208591864749195","0.268893378361574"
"Rarely","1990","Full Time","(1c) basic vocational qualification","549","0.351654810386617","0.328889888392359","0.374419732380875"
"Rarely","1990","Full Time","(2b) intermediate general qualification","38","0.319814455966113","0.243101862952351","0.396527048979875"
"Rarely","1990","Full Time","(2a) intermediate vocational","273","0.396519296781413","0.360333062346229","0.432705531216598"
"Rarely","1990","Full Time","(2c_gen) general maturity certificate","22","","",""
"Rarely","1990","Full Time","(2c_voc) vocational maturity certificate","71","0.339588712739635","0.276868156593094","0.402309268886175"
"Rarely","1990","Full Time","(3a) lower tertiary education","55","0.393734257639103","0.314210442734734","0.473258072543472"
"Rarely","1990","Full Time","(3b) higher tertiary education","106","0.385203168624315","0.328999769396785","0.441406567851845"
"Rarely","1990","Part Time","(0) in school","7","","",""
"Rarely","1990","Part Time","(1a) inadequately completed","16","","",""
"Rarely","1990","Part Time","(1b) general elementary school","89","0.256393369434508","0.213113620376841","0.299673118492175"
"Rarely","1990","Part Time","(1c) basic vocational qualification","173","0.332753619198026","0.291738061733935","0.373769176662118"
"Rarely","1990","Part Time","(2b) intermediate general qualification","31","0.300791406144865","0.211792617433373","0.389790194856356"
"Rarely","1990","Part Time","(2a) intermediate vocational","82","0.373941286966384","0.311680681489762","0.436201892443006"
"Rarely","1990","Part Time","(2c_gen) general maturity certificate","32","0.270618215972473","0.18759343889631","0.353642993048636"
"Rarely","1990","Part Time","(2c_voc) vocational maturity certificate","29","","",""
"Rarely","1990","Part Time","(3a) lower tertiary education","14","","",""
"Rarely","1990","Part Time","(3b) higher tertiary education","28","","",""
"Rarely","1990","Not Working","(0) in school","37","0.267182894529113","0.194911078240117","0.339454710818108"
"Rarely","1990","Not Working","(1a) inadequately completed","29","","",""
"Rarely","1990","Not Working","(1b) general elementary school","168","0.173630837914495","0.149866612468783","0.197395063360207"
"Rarely","1990","Not Working","(1c) basic vocational qualification","250","0.23465807872574","0.208612553424026","0.260703604027455"
"Rarely","1990","Not Working","(2b) intermediate general qualification","28","","",""
"Rarely","1990","Not Working","(2a) intermediate vocational","95","0.276976673084394","0.228547291770991","0.325406054397798"
"Rarely","1990","Not Working","(2c_gen) general maturity certificate","38","0.257374621509126","0.186940194298419","0.327809048719833"
"Rarely","1990","Not Working","(2c_voc) vocational maturity certificate","24","","",""
"Rarely","1990","Not Working","(3a) lower tertiary education","17","","",""
"Rarely","1990","Not Working","(3b) higher tertiary education","18","","",""
"Never","1990","Full Time","(0) in school","","","",""
"Never","1990","Full Time","(1a) inadequately completed","221","0.725166633007193","0.673696794542539","0.776636471471846"
"Never","1990","Full Time","(1b) general elementary school","522","0.63081428132182","0.596683935726205","0.664944626917435"
"Never","1990","Full Time","(1c) basic vocational qualification","806","0.43973951943899","0.416075011301178","0.463404027576803"
"Never","1990","Full Time","(2b) intermediate general qualification","53","0.308963969023307","0.232964915667887","0.384963022378726"
"Never","1990","Full Time","(2a) intermediate vocational","207","0.282824177297693","0.249508348526073","0.316140006069313"
"Never","1990","Full Time","(2c_gen) general maturity certificate","35","0.30104991589977","0.202954032212679","0.39914579958686"
