"pli0093_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","no migration background","23","","","","1"
"Daily","1990","1-pers.-HH","direct migration background","3","","","","1"
"Daily","1990","1-pers.-HH","indirect migration background","1","","","","1"
"Daily","1990","(Married) couple without C. ","no migration background","46","0.0217955766516442","0.015159817541854","0.0284313357614344","1"
"Daily","1990","(Married) couple without C. ","direct migration background","11","","","","1"
"Daily","1990","(Married) couple without C. ","indirect migration background","","","","","1"
"Daily","1990","Single parent ","no migration background","14","","","","1"
"Daily","1990","Single parent ","direct migration background","4","","","","1"
"Daily","1990","Single parent ","indirect migration background","","","","","1"
"Daily","1990","Couple + C. LE 16 ","no migration background","27","","","","1"
"Daily","1990","Couple + C. LE 16 ","direct migration background","11","","","","1"
"Daily","1990","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Daily","1990","Couple + C. GT 16 ","no migration background","57","0.04039725964012","0.0301674551523225","0.0506270641279174","1"
"Daily","1990","Couple + C. GT 16 ","direct migration background","8","","","","1"
"Daily","1990","Couple + C. GT 16 ","indirect migration background","7","","","","1"
"Daily","1990","Couple + C. LE and GT 16","no migration background","18","","","","1"
"Daily","1990","Couple + C. LE and GT 16","direct migration background","6","","","","1"
"Daily","1990","Couple + C. LE and GT 16","indirect migration background","4","","","","1"
"Min 1x per month","1990","Couple + C. GT 16 ","direct migration background","29","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","direct migration background","19","","","","3"
"Min 1x per month","1990","1-pers.-HH","indirect migration background","1","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","indirect migration background","9","","","","3"
"Min 1x per month","1990","1-pers.-HH","direct migration background","12","","","","3"
"Min 1x per month","1990","1-pers.-HH","no migration background","119","0.124443681971374","0.102408181058295","0.146479182884454","3"
"Min 1x per month","1990","(Married) couple without C. ","no migration background","230","0.116384678991288","0.101810934733438","0.130958423249139","3"
"Min 1x per month","1990","(Married) couple without C. ","direct migration background","41","0.12473210505643","0.0929426071969598","0.1565216029159","3"
"Min 1x per month","1990","(Married) couple without C. ","indirect migration background","3","","","","3"
"Min 1x per month","1990","Single parent ","direct migration background","4","","","","3"
"Min 1x per month","1990","Single parent ","indirect migration background","3","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","direct migration background","36","0.0751434707164418","0.0553292752356216","0.094957666197262","3"
"Min 1x per month","1990","Couple + C. LE 16 ","indirect migration background","2","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","no migration background","200","0.13690084272405","0.119040941689934","0.154760743758166","3"
