"pli0093_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","no migration background","100","0.0416422480029526","0.0337607925255032","0.049523703480402"
"Daily","1990","16-34 y.","direct migration background","23","","",""
"Daily","1990","16-34 y.","indirect migration background","13","","",""
"Daily","1990","35-65 y.","no migration background","74","0.0229471239139114","0.0177624075656571","0.0281318402621657"
"Daily","1990","35-65 y.","direct migration background","21","","",""
"Daily","1990","35-65 y.","indirect migration background","","","",""
"Daily","1990","66 and older","no migration background","23","","",""
"Daily","1990","66 and older","direct migration background","1","","",""
"Daily","1990","66 and older","indirect migration background","","","",""
"Min 1x per week","1990","16-34 y.","no migration background","324","0.130146121714057","0.116871740644136","0.143420502783978"
"Min 1x per week","1990","16-34 y.","direct migration background","72","0.101427249383983","0.0818125642472373","0.121041934520729"
"Min 1x per week","1990","16-34 y.","indirect migration background","35","0.171611919872368","0.125956946810288","0.217266892934448"
"Min 1x per week","1990","35-65 y.","no migration background","313","0.0990003444395365","0.0886588690542765","0.109341819824796"
"Min 1x per week","1990","35-65 y.","direct migration background","47","0.0583196452003423","0.0465809537493512","0.0700583366513334"
"Min 1x per week","1990","35-65 y.","indirect migration background","4","","",""
"Min 1x per week","1990","66 and older","no migration background","47","0.0524664238203551","0.0384060274608945","0.0665268201798157"
"Min 1x per week","1990","66 and older","direct migration background","6","","",""
"Min 1x per week","1990","66 and older","indirect migration background","","","",""
"Min 1x per month","1990","16-34 y.","no migration background","382","0.159709320855941","0.145256406875622","0.17416223483626"
"Min 1x per month","1990","16-34 y.","direct migration background","68","0.118807717754843","0.0977851837355876","0.139830251774099"
"Min 1x per month","1990","16-34 y.","indirect migration background","39","0.118012347165239","0.0789469339752888","0.15707776035519"
"Min 1x per month","1990","35-65 y.","no migration background","421","0.12919808898225","0.117583881800682","0.140812296163817"
"Min 1x per month","1990","35-65 y.","direct migration background","76","0.0858026750882721","0.071773540461968","0.0998318097145762"
"Min 1x per month","1990","35-65 y.","indirect migration background","3","","",""
"Min 1x per month","1990","66 and older","no migration background","59","0.0587613248493829","0.0439308451331195","0.0735918045656463"
"Min 1x per month","1990","66 and older","direct migration background","6","","",""
"Min 1x per month","1990","66 and older","indirect migration background","","","",""
"Rarely","1990","16-34 y.","no migration background","813","0.330663649602742","0.312103095114224","0.34922420409126"
"Rarely","1990","16-34 y.","direct migration background","185","0.268929453614152","0.240120583653639","0.297738323574666"
"Rarely","1990","16-34 y.","indirect migration background","58","0.245180477552287","0.193089566792671","0.297271388311903"
"Rarely","1990","35-65 y.","no migration background","1104","0.34245978397108","0.326028640548032","0.358890927394128"
"Rarely","1990","35-65 y.","direct migration background","257","0.206602163662138","0.186321907595948","0.226882419728329"
"Rarely","1990","35-65 y.","indirect migration background","6","","",""
"Rarely","1990","66 and older","no migration background","136","0.141932873890263","0.119925832615335","0.163939915165191"
"Rarely","1990","66 and older","direct migration background","11","","",""
"Rarely","1990","66 and older","indirect migration background","1","","",""
"Never","1990","16-34 y.","no migration background","849","0.337838659824308","0.319178640174778","0.356498679473838"
"Never","1990","16-34 y.","direct migration background","562","0.472821477998211","0.440383419918912","0.505259536077511"
"Never","1990","16-34 y.","indirect migration background","117","0.409763614932729","0.350214250503033","0.469312979362425"
"Never","1990","35-65 y.","no migration background","1292","0.406394658693222","0.389387775338404","0.423401542048041"
"Never","1990","35-65 y.","direct migration background","1130","0.624715269094797","0.600461345588021","0.648969192601573"
"Never","1990","35-65 y.","indirect migration background","11","","",""
"Never","1990","66 and older","no migration background","701","0.7265430186263","0.69843471070472","0.75465132654788"
"Never","1990","66 and older","direct migration background","57","0.704863230204425","0.60553569255682","0.80419076785203"
"Never","1990","66 and older","indirect migration background","4","","",""
"Daily","1991","16-34 y.","no migration background","","","",""
"Daily","1991","16-34 y.","direct migration background","","","",""
"Daily","1991","16-34 y.","indirect migration background","","","",""
"Daily","1991","35-65 y.","no migration background","","","",""
"Daily","1991","35-65 y.","direct migration background","","","",""
"Daily","1991","35-65 y.","indirect migration background","","","",""
"Daily","1991","66 and older","no migration background","","","",""
"Daily","1991","66 and older","direct migration background","","","",""
"Daily","1991","66 and older","indirect migration background","","","",""
"Min 1x per week","1991","16-34 y.","no migration background","","","",""
"Min 1x per week","1991","16-34 y.","direct migration background","","","",""
"Min 1x per week","1991","16-34 y.","indirect migration background","","","",""
"Min 1x per week","1991","35-65 y.","no migration background","","","",""
"Min 1x per week","1991","35-65 y.","direct migration background","","","",""
"Min 1x per week","1991","35-65 y.","indirect migration background","","","",""
"Min 1x per week","1991","66 and older","no migration background","","","",""
"Min 1x per week","1991","66 and older","direct migration background","","","",""
"Min 1x per week","1991","66 and older","indirect migration background","","","",""
"Min 1x per month","1991","16-34 y.","no migration background","","","",""
"Min 1x per month","1991","16-34 y.","direct migration background","","","",""
"Min 1x per month","1991","16-34 y.","indirect migration background","","","",""
"Min 1x per month","1991","35-65 y.","no migration background","","","",""
"Min 1x per month","1991","35-65 y.","direct migration background","","","",""
"Min 1x per month","1991","35-65 y.","indirect migration background","","","",""
"Min 1x per month","1991","66 and older","no migration background","","","",""
"Min 1x per month","1991","66 and older","direct migration background","","","",""
"Min 1x per month","1991","66 and older","indirect migration background","","","",""
"Rarely","1991","16-34 y.","no migration background","","","",""
"Rarely","1991","16-34 y.","direct migration background","","","",""
"Rarely","1991","16-34 y.","indirect migration background","","","",""
"Rarely","1991","35-65 y.","no migration background","","","",""
"Rarely","1991","35-65 y.","direct migration background","","","",""
"Rarely","1991","35-65 y.","indirect migration background","","","",""
"Rarely","1991","66 and older","no migration background","","","",""
"Rarely","1991","66 and older","direct migration background","","","",""
"Rarely","1991","66 and older","indirect migration background","","","",""
"Never","1991","16-34 y.","no migration background","","","",""
"Never","1991","16-34 y.","direct migration background","","","",""
"Never","1991","16-34 y.","indirect migration background","","","",""
"Never","1991","35-65 y.","no migration background","","","",""
"Never","1991","35-65 y.","direct migration background","","","",""
"Never","1991","35-65 y.","indirect migration background","","","",""
