"pli0093_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","Urban Area","76","0.0254320805879033","0.0202452171853513","0.0306189439904554","1"
"Daily","1990","Full Time","Rural Area","12","","","","1"
"Daily","1990","Part Time","Urban Area","45","0.0340232730063857","0.0243669866677563","0.0436795593450152","1"
"Daily","1990","Part Time","Rural Area","10","","","","1"
"Daily","1990","Not Working","Urban Area","98","0.0364080229721058","0.0292793865188644","0.0435366594253471","1"
"Daily","1990","Not Working","Rural Area","14","","","","1"
"Min 1x per month","1990","Full Time","Rural Area","111","0.130111698163447","0.10787124810889","0.152352148218003","3"
"Min 1x per month","1990","Full Time","Urban Area","421","0.141440013124525","0.129959024784961","0.15292100146409","3"
"Min 1x per month","1990","Part Time","Urban Area","167","0.143827582155001","0.125136240969633","0.162518923340369","3"
"Min 1x per month","1990","Part Time","Rural Area","54","0.155195869377982","0.117998220335271","0.192393518420692","3"
"Min 1x per month","1990","Not Working","Urban Area","242","0.0962840280150458","0.0850572680981264","0.107510787931965","3"
"Min 1x per month","1990","Not Working","Rural Area","59","0.0824477863715972","0.0615116653355543","0.10338390740764","3"
"Min 1x per week","1990","Full Time","Rural Area","76","0.0938004091019462","0.0745265823614141","0.113074235842478","2"
"Min 1x per week","1990","Full Time","Urban Area","313","0.101767348067068","0.0918062673906432","0.111728428743493","2"
"Min 1x per week","1990","Part Time","Urban Area","155","0.135295140723003","0.117076590760472","0.153513690685534","2"
"Min 1x per week","1990","Part Time","Rural Area","39","0.114491218639551","0.0817812653182971","0.147201171960804","2"
"Min 1x per week","1990","Not Working","Urban Area","213","0.0809670016569832","0.0705850043418544","0.091348998972112","2"
"Min 1x per week","1990","Not Working","Rural Area","52","0.0781194447852106","0.0576922736119641","0.0985466159584571","2"
"Never","1990","Full Time","Urban Area","1692","0.394129044829575","0.378029370286956","0.410228719372194","5"
"Never","1990","Full Time","Rural Area","378","0.383113296314057","0.350975213115594","0.41525137951252","5"
"Never","1990","Part Time","Urban Area","604","0.384326891273981","0.358417080702608","0.410236701845354","5"
"Never","1990","Part Time","Rural Area","130","0.341434752312471","0.292721102999903","0.39014840162504","5"
"Never","1990","Not Working","Urban Area","1528","0.570199467954914","0.551358283149506","0.589040652760322","5"
"Never","1990","Not Working","Rural Area","391","0.585732860242948","0.548237169005483","0.623228551480414","5"
"Rarely","1990","Full Time","Rural Area","302","0.377170398303305","0.345129323460766","0.409211473145844","4"
"Rarely","1990","Part Time","Urban Area","383","0.30252711284163","0.278059895760934","0.326994329922326","4"
"Rarely","1990","Full Time","Urban Area","1037","0.337231513390928","0.321655625571948","0.352807401209908","4"
