"pli0093_h","year","n","percent","lower_confidence","upper_confidence","value"
"Daily","2004","","","","","1"
"Min 1x per month","2004","","","","","3"
"Min 1x per week","2004","","","","","2"
"Never","2004","","","","","5"
"Rarely","2004","","","","","4"
"Daily","2005","","","","","1"
"Min 1x per month","2005","1557","0.0688988355328895","0.0654419334712531","0.0723557375945258","3"
"Min 1x per week","2005","2008","0.0880302001656005","0.0841630701568798","0.0918973301743212","2"
"Never","2005","11239","0.568413977024599","0.561653944900387","0.57517400914881","5"
"Rarely","2005","5818","0.274656987276912","0.26856512969517","0.280748844858653","4"
"Daily","2006","","","","","1"
"Min 1x per month","2006","","","","","3"
"Min 1x per week","2006","","","","","2"
"Never","2006","","","","","5"
"Rarely","2006","","","","","4"
"Daily","2007","","","","","1"
"Min 1x per month","2007","1619","0.0708677554792698","0.0673490978389531","0.0743864131195865","3"
"Min 1x per week","2007","2164","0.096807650983245","0.0927529496132667","0.100862352353223","2"
"Never","2007","11306","0.580571537783672","0.573804934311567","0.587338141255777","5"
"Rarely","2007","5341","0.251753055753814","0.245801592465393","0.257704519042235","4"
"Daily","2008","537","0.0266183833139857","0.0243501060936062","0.0288866605343652","1"
"Min 1x per month","2008","1757","0.0873718674943735","0.0833926611598338","0.0913510738289131","3"
"Min 1x per week","2008","2095","0.101152336201017","0.0969032579434563","0.105401414458578","2"
"Never","2008","10011","0.533119080429689","0.526088698808116","0.540149462051261","5"
"Rarely","2008","4945","0.251738332560935","0.245622365351244","0.257854299770626","4"
"Daily","2009","","","","","1"
"Min 1x per month","2009","1388","0.07869272259461","0.0747546053305499","0.08263083985867","3"
"Min 1x per week","2009","1999","0.104625320917627","0.100148807266411","0.109101834568843","2"
"Never","2009","9625","0.546427395439976","0.539146098413394","0.553708692466558","5"
"Rarely","2009","4946","0.270254561047787","0.263759379148105","0.27674974294747","4"
"Daily","2010","","","","","1"
"Min 1x per month","2010","","","","","3"
"Min 1x per week","2010","","","","","2"
"Never","2010","","","","","5"
"Rarely","2010","","","","","4"
"Daily","2011","","","","","1"
"Min 1x per month","2011","1991","0.0714642418320713","0.0684652941143359","0.0744631895498068","3"
"Min 1x per week","2011","3450","0.116955225988649","0.113213893018156","0.120696558959143","2"
"Never","2011","16210","0.572401320201508","0.566641702287179","0.578160938115837","5"
"Rarely","2011","6692","0.239179211977772","0.234212967637043","0.2441454563185","4"
"Daily","2012","","","","","1"
"Min 1x per month","2012","","","","","3"
"Min 1x per week","2012","","","","","2"
"Never","2012","","","","","5"
"Rarely","2012","","","","","4"
"Daily","2013","1122","0.0406849347411767","0.0382611827264222","0.0431086867559311","1"
"Min 1x per month","2013","2586","0.0984980633092713","0.0948422171115994","0.102153909506943","3"
"Min 1x per week","2013","3400","0.11829821639329","0.114335977133305","0.122260455653275","2"
"Never","2013","11800","0.480762303548231","0.474632605946963","0.486892001149499","5"
"Rarely","2013","6614","0.26175648200803","0.256363371955766","0.267149592060295","4"
"Daily","2014","","","","","1"
"Min 1x per month","2014","","","","","3"
"Min 1x per week","2014","","","","","2"
"Never","2014","","","","","5"
"Rarely","2014","","","","","4"
"Daily","2015","","","","","1"
"Min 1x per month","2015","2006","0.0728777141227257","0.069768852483687","0.0759865757617644","3"
"Min 1x per week","2015","3341","0.12607237167106","0.122102438383466","0.130042304958654","2"
"Never","2015","15269","0.570918091354115","0.564998489232395","0.576837693475834","5"
"Rarely","2015","6239","0.230131822852099","0.225097604650732","0.235166041053467","4"
"Daily","2016","","","","","1"
"Min 1x per month","2016","","","","","3"
"Min 1x per week","2016","","","","","2"
"Never","2016","","","","","5"
"Rarely","2016","","","","","4"
"Daily","2017","137","0.000374458008983696","0.000163013310139826","0.000585902707827566","1"
"Min 1x per month","2017","2470","0.0811402030740963","0.0781560627760051","0.0841243433721875","3"
"Min 1x per week","2017","4016","0.133840179957155","0.130119101389234","0.137561258525077","2"
"Never","2017","18126","0.54061693446388","0.535170542656739","0.546063326271022","5"
"Rarely","2017","7413","0.244028224495885","0.239334156374498","0.248722292617271","4"
"Daily","2018","75","0.0317355178857206","0.0262033790948319","0.0372676566766093","1"
"Min 1x per month","2018","269","0.082037274127197","0.0733768052404473","0.0906977430139466","3"
"Min 1x per week","2018","219","0.0717744950927262","0.0636286697628458","0.0799203204226066","2"
"Never","2018","2639","0.65163544669976","0.636599090649036","0.666671802750484","5"
"Rarely","2018","655","0.162817266194596","0.151165718099645","0.174468814289547","4"
"Daily","2019","1367","0.0462336184772801","0.0438317577225791","0.048635479231981","1"
"Min 1x per month","2019","2749","0.088438626981377","0.0851910322277532","0.0916862217350009","3"
"Min 1x per week","2019","3570","0.126603134447271","0.122799700118409","0.130406568776132","2"
"Never","2019","15034","0.500293703221377","0.494574733359671","0.506012673083083","5"
"Rarely","2019","6643","0.238430916872695","0.2335569360577","0.243304897687689","4"
