"pli0093_h","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","80","0.015785346029125","0.0121560447093667","0.0194146473488833"
"Daily","1990","secondary school degree","61","0.0369560253908329","0.0279322468059777","0.0459798039756881"
"Daily","1990","college entrance qualification","66","0.0560612527232341","0.0430565879093627","0.0690659175371054"
"Daily","1990","Other degree","15","","",""
"Daily","1990","no degree/no degree yet","27","","",""
"Min 1x per week","1990","lower secondary degree","308","0.0680916682026003","0.0607569295425713","0.0754264068626293"
"Min 1x per week","1990","secondary school degree","213","0.118244571890037","0.102799589391829","0.133689554388245"
"Min 1x per week","1990","college entrance qualification","230","0.191085737416828","0.168859741002743","0.213311733830914"
"Min 1x per week","1990","Other degree","31","0.0412857435829561","0.0289487313565307","0.0536227558093816"
"Min 1x per week","1990","no degree/no degree yet","46","0.0985503948631569","0.0782975358875677","0.118803253838746"
"Min 1x per month","1990","lower secondary degree","425","0.0894025276077954","0.0810946674264511","0.0977103877891398"
"Min 1x per month","1990","secondary school degree","297","0.17516192134797","0.156980537153269","0.193343305542671"
"Min 1x per month","1990","college entrance qualification","234","0.19770969339387","0.175194503664185","0.220224883123555"
"Min 1x per month","1990","Other degree","47","0.0610660430154111","0.0462175369927641","0.0759145490380582"
"Min 1x per month","1990","no degree/no degree yet","32","0.0577490725720185","0.0418985997551841","0.0735995453888528"
"Rarely","1990","lower secondary degree","1266","0.276112035046126","0.263094480488329","0.289129589603924"
"Rarely","1990","secondary school degree","568","0.344981939576483","0.322244185757035","0.367719693395931"
"Rarely","1990","college entrance qualification","389","0.320702922408933","0.29431670180772","0.347089143010146"
"Rarely","1990","Other degree","160","0.160794109901582","0.138015108750064","0.1835731110531"
"Rarely","1990","no degree/no degree yet","140","0.207530905521969","0.179974727265263","0.235087083778676"
"Never","1990","lower secondary degree","2452","0.550608423114353","0.536124542067965","0.56509230416074"
"Never","1990","secondary school degree","540","0.324655541794677","0.302258182163281","0.347052901426074"
"Never","1990","college entrance qualification","283","0.234440394057135","0.210490611010111","0.258390177104158"
"Never","1990","Other degree","746","0.718966913846973","0.691092963265949","0.746840864427996"
"Never","1990","no degree/no degree yet","587","0.563259291347647","0.529557541762933","0.59696104093236"
"Daily","1991","lower secondary degree","","","",""
"Daily","1991","secondary school degree","","","",""
"Daily","1991","college entrance qualification","","","",""
"Daily","1991","Other degree","","","",""
"Daily","1991","no degree/no degree yet","","","",""
"Min 1x per week","1991","lower secondary degree","","","",""
"Min 1x per week","1991","secondary school degree","","","",""
"Min 1x per week","1991","college entrance qualification","","","",""
"Min 1x per week","1991","Other degree","","","",""
"Min 1x per week","1991","no degree/no degree yet","","","",""
"Min 1x per month","1991","lower secondary degree","","","",""
"Min 1x per month","1991","secondary school degree","","","",""
"Min 1x per month","1991","college entrance qualification","","","",""
"Min 1x per month","1991","Other degree","","","",""
"Min 1x per month","1991","no degree/no degree yet","","","",""
"Rarely","1991","lower secondary degree","","","",""
"Rarely","1991","secondary school degree","","","",""
"Rarely","1991","college entrance qualification","","","",""
"Rarely","1991","Other degree","","","",""
"Rarely","1991","no degree/no degree yet","","","",""
"Never","1991","lower secondary degree","","","",""
"Never","1991","secondary school degree","","","",""
"Never","1991","college entrance qualification","","","",""
