"pli0093_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","Male","9","","",""
"Daily","1990","1-pers.-HH","Female","18","","",""
"Daily","1990","(Married) couple without C. ","Male","35","0.0300547408255527","0.0201695310916152","0.0399399505594901"
"Daily","1990","(Married) couple without C. ","Female","22","","",""
"Daily","1990","Single parent ","Male","9","","",""
"Daily","1990","Single parent ","Female","9","","",""
"Daily","1990","Couple + C. LE 16 ","Male","16","","",""
"Daily","1990","Couple + C. LE 16 ","Female","22","","",""
"Daily","1990","Couple + C. GT 16 ","Male","35","0.0319570450968834","0.0217470322758766","0.0421670579178901"
"Daily","1990","Couple + C. GT 16 ","Female","37","0.0465006453387527","0.0328196691623426","0.0601816215151628"
"Daily","1990","Couple + C. LE and GT 16","Male","17","","",""
"Daily","1990","Couple + C. LE and GT 16","Female","11","","",""
"Min 1x per week","1990","1-pers.-HH","Male","46","0.113052135301981","0.082659490494819","0.143444780109143"
"Min 1x per week","1990","1-pers.-HH","Female","54","0.0873147804806662","0.0650401811431284","0.109589379818204"
"Min 1x per week","1990","(Married) couple without C. ","Male","94","0.0886345657431339","0.0721793485372814","0.105089782948986"
"Min 1x per week","1990","(Married) couple without C. ","Female","90","0.0774738926664356","0.0620560318627435","0.0928917534701277"
"Min 1x per week","1990","Single parent ","Male","17","","",""
"Min 1x per week","1990","Single parent ","Female","37","0.142147056539305","0.101098201170165","0.183195911908445"
"Min 1x per week","1990","Couple + C. LE 16 ","Male","88","0.096950771835768","0.0788981788475443","0.115003364823992"
"Min 1x per week","1990","Couple + C. LE 16 ","Female","86","0.0958879193986976","0.078053136217506","0.113722702579889"
"Min 1x per week","1990","Couple + C. GT 16 ","Male","118","0.105122602066517","0.087318278181653","0.12292692595138"
"Min 1x per week","1990","Couple + C. GT 16 ","Female","96","0.119633517587446","0.0985479361660777","0.140719099008815"
"Min 1x per week","1990","Couple + C. LE and GT 16","Male","29","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","Female","52","0.145071108812039","0.111510226532847","0.178631991091232"
"Min 1x per month","1990","1-pers.-HH","Male","60","0.159353919461665","0.124224737662517","0.194483101260813"
"Min 1x per month","1990","1-pers.-HH","Female","72","0.105522691198823","0.081280989530205","0.129764392867441"
"Min 1x per month","1990","(Married) couple without C. ","Male","141","0.122254359260939","0.103288509770649","0.141220208751229"
"Min 1x per month","1990","(Married) couple without C. ","Female","133","0.112165039880981","0.0939658532974701","0.130364226464492"
"Min 1x per month","1990","Single parent ","Male","11","","",""
"Min 1x per month","1990","Single parent ","Female","40","0.151861441710616","0.109674032439","0.194048850982232"
"Min 1x per month","1990","Couple + C. LE 16 ","Male","104","0.119849617509808","0.100034118681858","0.139665116337759"
"Min 1x per month","1990","Couple + C. LE 16 ","Female","115","0.132007936366406","0.111504217035642","0.152511655697169"
"Min 1x per month","1990","Couple + C. GT 16 ","Male","125","0.123098348316853","0.104026305094451","0.142170391539256"
"Min 1x per month","1990","Couple + C. GT 16 ","Female","124","0.142911856655817","0.120172704420555","0.165651008891079"
"Min 1x per month","1990","Couple + C. LE and GT 16","Male","37","0.107278166261772","0.0788429757892391","0.135713356734304"
"Min 1x per month","1990","Couple + C. LE and GT 16","Female","45","0.14270536806184","0.109373234412691","0.17603750171099"
"Rarely","1990","1-pers.-HH","Male","102","0.241188077001948","0.200127499422615","0.282248654581281"
"Rarely","1990","1-pers.-HH","Female","120","0.191675532208939","0.160616944019149","0.222734120398729"
"Rarely","1990","(Married) couple without C. ","Male","310","0.279096141276302","0.253126175739132","0.305066106813472"
"Rarely","1990","(Married) couple without C. ","Female","308","0.289152920354136","0.263006696077987","0.315299144630284"
"Rarely","1990","Single parent ","Male","48","0.297017806644351","0.230631913497081","0.363403699791622"
"Rarely","1990","Single parent ","Female","62","0.247881892097398","0.197125456403495","0.298638327791302"
"Rarely","1990","Couple + C. LE 16 ","Male","341","0.380411893483052","0.350791772917485","0.41003201404862"
"Rarely","1990","Couple + C. LE 16 ","Female","338","0.365110483576254","0.335947229621218","0.39427373753129"
"Rarely","1990","Couple + C. GT 16 ","Male","308","0.304592189149665","0.277875980371337","0.331308397927993"
"Rarely","1990","Couple + C. GT 16 ","Female","252","0.305127584029685","0.275210403229153","0.335044764830218"
"Rarely","1990","Couple + C. LE and GT 16","Male","121","0.328018837142032","0.284879811221019","0.371157863063044"
"Rarely","1990","Couple + C. LE and GT 16","Female","103","0.293807390407687","0.250399283164196","0.337215497651179"
"Never","1990","1-pers.-HH","Male","200","0.457176284243761","0.409362698216562","0.504989870270959"
"Never","1990","1-pers.-HH","Female","353","0.58979489509387","0.550983742176834","0.628606048010906"
"Never","1990","(Married) couple without C. ","Male","566","0.479960192894073","0.451034971877184","0.508885413910961"
"Never","1990","(Married) couple without C. ","Female","602","0.503533921625829","0.474699167302217","0.53236867594944"
"Never","1990","Single parent ","Male","97","0.512696552372725","0.440078877783109","0.58531422696234"
"Never","1990","Single parent ","Female","130","0.431877739155394","0.373650391739677","0.49010508657111"
"Never","1990","Couple + C. LE 16 ","Male","483","0.386463737510506","0.356755099957011","0.416172375064"
"Never","1990","Couple + C. LE 16 ","Female","486","0.380460709085664","0.351052804282053","0.409868613889274"
"Never","1990","Couple + C. GT 16 ","Male","554","0.435229815370082","0.406449810338178","0.464009820401986"
"Never","1990","Couple + C. GT 16 ","Female","401","0.385826396388299","0.354198599819276","0.417454192957322"
"Never","1990","Couple + C. LE and GT 16","Male","251","0.441323302697552","0.395698489319917","0.486948116075187"
"Never","1990","Couple + C. LE and GT 16","Female","212","0.37729977295171","0.331108419115838","0.423491126787582"
"Daily","1991","1-pers.-HH","Male","","","",""
"Daily","1991","1-pers.-HH","Female","","","",""
"Daily","1991","(Married) couple without C. ","Male","","","",""
"Daily","1991","(Married) couple without C. ","Female","","","",""
"Daily","1991","Single parent ","Male","","","",""
"Daily","1991","Single parent ","Female","","","",""
"Daily","1991","Couple + C. LE 16 ","Male","","","",""
"Daily","1991","Couple + C. LE 16 ","Female","","","",""
"Daily","1991","Couple + C. GT 16 ","Male","","","",""
"Daily","1991","Couple + C. GT 16 ","Female","","","",""
"Daily","1991","Couple + C. LE and GT 16","Male","","","",""
"Daily","1991","Couple + C. LE and GT 16","Female","","","",""
"Min 1x per week","1991","1-pers.-HH","Male","","","",""
"Min 1x per week","1991","1-pers.-HH","Female","","","",""
"Min 1x per week","1991","(Married) couple without C. ","Male","","","",""
"Min 1x per week","1991","(Married) couple without C. ","Female","","","",""
"Min 1x per week","1991","Single parent ","Male","","","",""
"Min 1x per week","1991","Single parent ","Female","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","Male","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","Female","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","Male","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","Female","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","Male","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","Female","","","",""
"Min 1x per month","1991","1-pers.-HH","Male","","","",""
"Min 1x per month","1991","1-pers.-HH","Female","","","",""
"Min 1x per month","1991","(Married) couple without C. ","Male","","","",""
"Min 1x per month","1991","(Married) couple without C. ","Female","","","",""
"Min 1x per month","1991","Single parent ","Male","","","",""
"Min 1x per month","1991","Single parent ","Female","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","Male","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","Female","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","Male","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","Female","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","Male","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","Female","","","",""
"Rarely","1991","1-pers.-HH","Male","","","",""
"Rarely","1991","1-pers.-HH","Female","","","",""
"Rarely","1991","(Married) couple without C. ","Male","","","",""
"Rarely","1991","(Married) couple without C. ","Female","","","",""
"Rarely","1991","Single parent ","Male","","","",""
"Rarely","1991","Single parent ","Female","","","",""
"Rarely","1991","Couple + C. LE 16 ","Male","","","",""
"Rarely","1991","Couple + C. LE 16 ","Female","","","",""
"Rarely","1991","Couple + C. GT 16 ","Male","","","",""
"Rarely","1991","Couple + C. GT 16 ","Female","","","",""
"Rarely","1991","Couple + C. LE and GT 16","Male","","","",""
"Rarely","1991","Couple + C. LE and GT 16","Female","","","",""
"Never","1991","1-pers.-HH","Male","","","",""
"Never","1991","1-pers.-HH","Female","","","",""
"Never","1991","(Married) couple without C. ","Male","","","",""
"Never","1991","(Married) couple without C. ","Female","","","",""
"Never","1991","Single parent ","Male","","","",""
"Never","1991","Single parent ","Female","","","",""
"Never","1991","Couple + C. LE 16 ","Male","","","",""
"Never","1991","Couple + C. LE 16 ","Female","","","",""
"Never","1991","Couple + C. GT 16 ","Male","","","",""
"Never","1991","Couple + C. GT 16 ","Female","","","",""
"Never","1991","Couple + C. LE and GT 16","Male","","","",""
"Never","1991","Couple + C. LE and GT 16","Female","","","",""
"Daily","1992","1-pers.-HH","Male","","","",""
"Daily","1992","1-pers.-HH","Female","","","",""
"Daily","1992","(Married) couple without C. ","Male","","","",""
"Daily","1992","(Married) couple without C. ","Female","","","",""
"Daily","1992","Single parent ","Male","","","",""
"Daily","1992","Single parent ","Female","","","",""
"Daily","1992","Couple + C. LE 16 ","Male","","","",""
"Daily","1992","Couple + C. LE 16 ","Female","","","",""
"Daily","1992","Couple + C. GT 16 ","Male","","","",""
"Daily","1992","Couple + C. GT 16 ","Female","","","",""
"Daily","1992","Couple + C. LE and GT 16","Male","","","",""
"Daily","1992","Couple + C. LE and GT 16","Female","","","",""
"Min 1x per week","1992","1-pers.-HH","Male","","","",""
"Min 1x per week","1992","1-pers.-HH","Female","","","",""
"Min 1x per week","1992","(Married) couple without C. ","Male","","","",""
"Min 1x per week","1992","(Married) couple without C. ","Female","","","",""
"Min 1x per week","1992","Single parent ","Male","","","",""
"Min 1x per week","1992","Single parent ","Female","","","",""
"Min 1x per week","1992","Couple + C. LE 16 ","Male","","","",""
"Min 1x per week","1992","Couple + C. LE 16 ","Female","","","",""
"Min 1x per week","1992","Couple + C. GT 16 ","Male","","","",""
"Min 1x per week","1992","Couple + C. GT 16 ","Female","","","",""
"Min 1x per week","1992","Couple + C. LE and GT 16","Male","","","",""
"Min 1x per week","1992","Couple + C. LE and GT 16","Female","","","",""
"Min 1x per month","1992","1-pers.-HH","Male","","","",""
"Min 1x per month","1992","1-pers.-HH","Female","","","",""
