"pli0093_h","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Full Time","2","","",""
"Daily","1990","Schleswig-Holstein","Part Time","3","","",""
"Daily","1990","Schleswig-Holstein","Not Working","1","","",""
"Daily","1990","Hamburg","Full Time","4","","",""
"Daily","1990","Hamburg","Part Time","","","",""
"Daily","1990","Hamburg","Not Working","5","","",""
"Daily","1990","Lower Saxony","Full Time","5","","",""
"Daily","1990","Lower Saxony","Part Time","6","","",""
"Daily","1990","Lower Saxony","Not Working","9","","",""
"Daily","1990","Bremen","Full Time","","","",""
"Daily","1990","Bremen","Part Time","","","",""
"Daily","1990","Bremen","Not Working","1","","",""
"Daily","1990","North Rhine-Westphalia","Full Time","28","","",""
"Daily","1990","North Rhine-Westphalia","Part Time","14","","",""
"Daily","1990","North Rhine-Westphalia","Not Working","36","0.0351381659682216","0.0236973062783084","0.0465790256581348"
"Daily","1990","Hesse","Full Time","5","","",""
"Daily","1990","Hesse","Part Time","3","","",""
"Daily","1990","Hesse","Not Working","11","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Full Time","9","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Part Time","6","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Not Working","8","","",""
"Daily","1990","Baden-Württemberg","Full Time","16","","",""
"Daily","1990","Baden-Württemberg","Part Time","10","","",""
"Daily","1990","Baden-Württemberg","Not Working","16","","",""
"Daily","1990","Bavaria","Full Time","17","","",""
"Daily","1990","Bavaria","Part Time","8","","",""
"Daily","1990","Bavaria","Not Working","19","","",""
"Daily","1990","Berlin","Full Time","2","","",""
"Daily","1990","Berlin","Part Time","5","","",""
"Daily","1990","Berlin","Not Working","6","","",""
"Daily","1990","Brandenburg","Full Time","","","",""
"Daily","1990","Brandenburg","Part Time","","","",""
"Daily","1990","Brandenburg","Not Working","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"Daily","1990","Saxony","Full Time","","","",""
"Daily","1990","Saxony","Part Time","","","",""
"Daily","1990","Saxony","Not Working","","","",""
"Daily","1990","Saxony-Anhalt","Full Time","","","",""
"Daily","1990","Saxony-Anhalt","Part Time","","","",""
"Daily","1990","Saxony-Anhalt","Not Working","","","",""
"Daily","1990","Thuringia","Full Time","","","",""
"Daily","1990","Thuringia","Part Time","","","",""
"Daily","1990","Thuringia","Not Working","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Full Time","9","","",""
"Min 1x per week","1990","Schleswig-Holstein","Part Time","4","","",""
"Min 1x per week","1990","Schleswig-Holstein","Not Working","9","","",""
"Min 1x per week","1990","Hamburg","Full Time","6","","",""
"Min 1x per week","1990","Hamburg","Part Time","2","","",""
"Min 1x per week","1990","Hamburg","Not Working","6","","",""
"Min 1x per week","1990","Lower Saxony","Full Time","53","0.133736617191553","0.101603001058246","0.16587023332486"
"Min 1x per week","1990","Lower Saxony","Part Time","22","","",""
"Min 1x per week","1990","Lower Saxony","Not Working","31","0.0795343518395659","0.0520020639601063","0.107066639719025"
"Min 1x per week","1990","Bremen","Full Time","1","","",""
"Min 1x per week","1990","Bremen","Part Time","2","","",""
"Min 1x per week","1990","Bremen","Not Working","6","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Full Time","88","0.0882081702666083","0.0717238853031481","0.104692455230068"
"Min 1x per week","1990","North Rhine-Westphalia","Part Time","50","0.12703643155152","0.0954503060757421","0.158622557027297"
"Min 1x per week","1990","North Rhine-Westphalia","Not Working","81","0.0779267791548779","0.0612710895579075","0.0945824687518482"
"Min 1x per week","1990","Hesse","Full Time","31","0.0865107138051685","0.0607932329607857","0.112228194649551"
"Min 1x per week","1990","Hesse","Part Time","16","","",""
"Min 1x per week","1990","Hesse","Not Working","17","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Full Time","30","0.123467419315765","0.086116596279166","0.160818242352364"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Part Time","13","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Not Working","15","","",""
"Min 1x per week","1990","Baden-Württemberg","Full Time","75","0.0974854462773987","0.0782977096138575","0.11667318294094"
"Min 1x per week","1990","Baden-Württemberg","Part Time","40","0.159992355086375","0.121025095250691","0.198959614922059"
"Min 1x per week","1990","Baden-Württemberg","Not Working","48","0.0964413485188612","0.0713805850222374","0.121502112015485"
"Min 1x per week","1990","Bavaria","Full Time","87","0.117631840688578","0.095236798386893","0.140026882990263"
"Min 1x per week","1990","Bavaria","Part Time","33","0.116059101446706","0.0804042640440359","0.151713938849377"
"Min 1x per week","1990","Bavaria","Not Working","42","0.0861057708990279","0.0612679124265059","0.11094362937155"
"Min 1x per week","1990","Berlin","Full Time","9","","",""
"Min 1x per week","1990","Berlin","Part Time","12","","",""
"Min 1x per week","1990","Berlin","Not Working","10","","",""
"Min 1x per week","1990","Brandenburg","Full Time","","","",""
"Min 1x per week","1990","Brandenburg","Part Time","","","",""
"Min 1x per week","1990","Brandenburg","Not Working","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Full Time","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Part Time","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Not Working","","","",""
"Min 1x per week","1990","Saxony","Full Time","","","",""
"Min 1x per week","1990","Saxony","Part Time","","","",""
"Min 1x per week","1990","Saxony","Not Working","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Full Time","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Part Time","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Not Working","","","",""
"Min 1x per week","1990","Thuringia","Full Time","","","",""
"Min 1x per week","1990","Thuringia","Part Time","","","",""
"Min 1x per week","1990","Thuringia","Not Working","","","",""
"Min 1x per month","1990","Schleswig-Holstein","Full Time","15","","",""
