"pli0093_h","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","23","","","","1"
"Daily","1990","inadequately","5","","","","1"
"Daily","1990","general elemantary","62","0.0248440482228471","0.0187032654739913","0.0309848309717029","1"
"Daily","1990","middle vocational","93","0.0200766537496938","0.0159975359916694","0.0241557715077182","1"
"Daily","1990","vocational + Abi","8","","","","1"
"Daily","1990","higher vocational","17","","","","1"
"Daily","1990","higher education","42","0.060578006911568","0.0428425026648415","0.0783135111582945","1"
"Min 1x per month","1990","middle vocational","557","0.129149165398078","0.119396075792763","0.138902255003392","3"
"Min 1x per month","1990","vocational + Abi","45","0.180479114749341","0.136367784554495","0.224590444944187","3"
"Min 1x per month","1990","higher education","134","0.188576838506261","0.159494885785457","0.217658791227064","3"
"Min 1x per month","1990","in school","13","","","","3"
"Min 1x per month","1990","inadequately","20","","","","3"
"Min 1x per month","1990","general elemantary","193","0.077899854576145","0.0673260109837257","0.0884736981685643","3"
"Min 1x per month","1990","higher vocational","79","0.145879888536301","0.115304618878976","0.176455158193626","3"
"Min 1x per week","1990","inadequately","12","","","","2"
"Min 1x per week","1990","middle vocational","425","0.0936379128592097","0.0851656142554099","0.10211021146301","2"
"Min 1x per week","1990","vocational + Abi","38","0.150567051634178","0.109547945733418","0.191586157534937","2"
"Min 1x per week","1990","higher education","122","0.18276478817067","0.154032151065007","0.211497425276334","2"
"Min 1x per week","1990","in school","35","0.23506019223786","0.169149980998462","0.300970403477258","2"
"Min 1x per week","1990","general elemantary","141","0.0598575174559072","0.0504984688530209","0.0692165660587934","2"
"Min 1x per week","1990","higher vocational","62","0.125077226665199","0.0964231055306105","0.153731347799788","2"
"Never","1990","higher education","159","0.21539831922143","0.184834933610326","0.245961704832534","5"
"Never","1990","middle vocational","2071","0.443705361176012","0.429256809969301","0.458153912382723","5"
"Never","1990","vocational + Abi","117","0.344063528515023","0.28957477483789","0.398552282192156","5"
"Never","1990","higher vocational","169","0.346829069035902","0.305601827293606","0.388056310778198","5"
