"pli0093_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","(0) in school","23","","",""
"Daily","1990","16-34 y.","(1a) inadequately completed","","","",""
"Daily","1990","16-34 y.","(1b) general elementary school","27","","",""
"Daily","1990","16-34 y.","(1c) basic vocational qualification","13","","",""
"Daily","1990","16-34 y.","(2b) intermediate general qualification","17","","",""
"Daily","1990","16-34 y.","(2a) intermediate vocational","17","","",""
"Daily","1990","16-34 y.","(2c_gen) general maturity certificate","16","","",""
"Daily","1990","16-34 y.","(2c_voc) vocational maturity certificate","7","","",""
"Daily","1990","16-34 y.","(3a) lower tertiary education","4","","",""
"Daily","1990","16-34 y.","(3b) higher tertiary education","6","","",""
"Daily","1990","35-65 y.","(0) in school","","","",""
"Daily","1990","35-65 y.","(1a) inadequately completed","3","","",""
"Daily","1990","35-65 y.","(1b) general elementary school","10","","",""
"Daily","1990","35-65 y.","(1c) basic vocational qualification","32","0.017968034992209","0.0119746076413904","0.0239614623430275"
"Daily","1990","35-65 y.","(2b) intermediate general qualification","5","","",""
"Daily","1990","35-65 y.","(2a) intermediate vocational","14","","",""
"Daily","1990","35-65 y.","(2c_gen) general maturity certificate","3","","",""
"Daily","1990","35-65 y.","(2c_voc) vocational maturity certificate","2","","",""
"Daily","1990","35-65 y.","(3a) lower tertiary education","11","","",""
"Daily","1990","35-65 y.","(3b) higher tertiary education","15","","",""
"Daily","1990","66 and older","(0) in school","","","",""
"Daily","1990","66 and older","(1a) inadequately completed","1","","",""
"Daily","1990","66 and older","(1b) general elementary school","4","","",""
"Daily","1990","66 and older","(1c) basic vocational qualification","6","","",""
"Daily","1990","66 and older","(2b) intermediate general qualification","1","","",""
"Daily","1990","66 and older","(2a) intermediate vocational","4","","",""
"Daily","1990","66 and older","(2c_gen) general maturity certificate","","","",""
"Daily","1990","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Daily","1990","66 and older","(3a) lower tertiary education","2","","",""
"Daily","1990","66 and older","(3b) higher tertiary education","4","","",""
"Min 1x per week","1990","16-34 y.","(0) in school","35","0.23506019223786","0.169149980998462","0.300970403477258"
"Min 1x per week","1990","16-34 y.","(1a) inadequately completed","5","","",""
"Min 1x per week","1990","16-34 y.","(1b) general elementary school","50","0.0858242766807707","0.0648940568441398","0.106754496517401"
"Min 1x per week","1990","16-34 y.","(1c) basic vocational qualification","66","0.0787246289138131","0.0613318763899341","0.0961173814376922"
"Min 1x per week","1990","16-34 y.","(2b) intermediate general qualification","35","0.112065523081502","0.0744391220640145","0.149691924098989"
"Min 1x per week","1990","16-34 y.","(2a) intermediate vocational","91","0.143607653578488","0.115777964433894","0.171437342723082"
"Min 1x per week","1990","16-34 y.","(2c_gen) general maturity certificate","65","0.211419505324461","0.164425264989323","0.258413745659599"
"Min 1x per week","1990","16-34 y.","(2c_voc) vocational maturity certificate","36","0.194818631762564","0.141378322072104","0.248258941453024"
"Min 1x per week","1990","16-34 y.","(3a) lower tertiary education","8","","",""
"Min 1x per week","1990","16-34 y.","(3b) higher tertiary education","25","","",""
"Min 1x per week","1990","35-65 y.","(0) in school","","","",""
"Min 1x per week","1990","35-65 y.","(1a) inadequately completed","6","","",""
"Min 1x per week","1990","35-65 y.","(1b) general elementary school","40","0.0437412930970554","0.0315999047017018","0.055882681492409"
"Min 1x per week","1990","35-65 y.","(1c) basic vocational qualification","140","0.0816229439235544","0.0692697636058716","0.0939761242412373"
"Min 1x per week","1990","35-65 y.","(2b) intermediate general qualification","7","","",""
"Min 1x per week","1990","35-65 y.","(2a) intermediate vocational","66","0.125438882200503","0.0969981744558353","0.153879589945171"
"Min 1x per week","1990","35-65 y.","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1990","35-65 y.","(2c_voc) vocational maturity certificate","23","","",""
"Min 1x per week","1990","35-65 y.","(3a) lower tertiary education","18","","",""
"Min 1x per week","1990","35-65 y.","(3b) higher tertiary education","61","0.221906008888471","0.174568783638984","0.269243234137959"
"Min 1x per week","1990","66 and older","(0) in school","","","",""
"Min 1x per week","1990","66 and older","(1a) inadequately completed","1","","",""
"Min 1x per week","1990","66 and older","(1b) general elementary school","7","","",""
"Min 1x per week","1990","66 and older","(1c) basic vocational qualification","23","","",""
"Min 1x per week","1990","66 and older","(2b) intermediate general qualification","5","","",""
"Min 1x per week","1990","66 and older","(2a) intermediate vocational","4","","",""
"Min 1x per week","1990","66 and older","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1990","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per week","1990","66 and older","(3a) lower tertiary education","2","","",""
"Min 1x per week","1990","66 and older","(3b) higher tertiary education","8","","",""
"Min 1x per month","1990","16-34 y.","(0) in school","13","","",""
"Min 1x per month","1990","16-34 y.","(1a) inadequately completed","9","","",""
"Min 1x per month","1990","16-34 y.","(1b) general elementary school","58","0.098628529186938","0.0763489463766743","0.120908111997202"
