"pli0093_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","West Germany","Male","124","0.0289461766472229","0.0241330665627645","0.0337592867316814","1"
"Daily","1990","West Germany","Female","131","0.0282634911964781","0.0235703081050065","0.0329566742879497","1"
"Daily","1990","East Germany","Male","","","","","1"
"Daily","1990","East Germany","Female","","","","","1"
"Min 1x per month","1990","West Germany","Female","548","0.121678355582592","0.112420427712357","0.130936283452828","3"
"Min 1x per month","1990","West Germany","Male","506","0.122459134504606","0.113048090429867","0.131870178579345","3"
"Min 1x per month","1990","East Germany","Female","","","","","3"
"Min 1x per month","1990","East Germany","Male","","","","","3"
"Min 1x per week","1990","West Germany","Male","412","0.0981561048196087","0.0896146296581113","0.106697579981106","2"
"Min 1x per week","1990","East Germany","Female","","","","","2"
"Min 1x per week","1990","East Germany","Male","","","","","2"
"Min 1x per week","1990","West Germany","Female","436","0.096916358936205","0.0885383105001983","0.105294407372212","2"
"Never","1990","West Germany","Male","2310","0.445687476804465","0.431418228335244","0.459956725273686","5"
"Never","1990","West Germany","Female","2413","0.475254244782769","0.461112017791687","0.48939647177385","5"
"Never","1990","East Germany","Male","","","","","5"
"Never","1990","East Germany","Female","","","","","5"
"Rarely","1990","East Germany","Male","","","","","4"
"Rarely","1990","West Germany","Male","1309","0.304751107224097","0.291536588866879","0.317965625581315","4"
"Rarely","1990","West Germany","Female","1262","0.277887549501956","0.265201766000071","0.290573333003841","4"
"Rarely","1990","East Germany","Female","","","","","4"
"Daily","1991","West Germany","Male","","","","","1"
"Daily","1991","West Germany","Female","","","","","1"
"Daily","1991","East Germany","Male","","","","","1"
"Daily","1991","East Germany","Female","","","","","1"
"Min 1x per month","1991","East Germany","Male","","","","","3"
"Min 1x per month","1991","West Germany","Female","","","","","3"
"Min 1x per month","1991","West Germany","Male","","","","","3"
"Min 1x per month","1991","East Germany","Female","","","","","3"
"Min 1x per week","1991","West Germany","Female","","","","","2"
"Min 1x per week","1991","East Germany","Female","","","","","2"
