"pli0093_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","no migration background","91","0.0329408720750417","0.0258076686214489","0.0400740755286345","1"
"Daily","1990","Not Employed","direct migration background","15","","","","1"
"Daily","1990","Not Employed","indirect migration background","6","","","","1"
"Daily","1990","Employed","no migration background","106","0.0255981403469639","0.0208404385618964","0.0303558421320314","1"
"Daily","1990","Employed","direct migration background","30","0.0272649284060502","0.0195842180082284","0.034945638803872","1"
"Daily","1990","Employed","indirect migration background","7","","","","1"
"Min 1x per month","1990","Not Employed","direct migration background","41","0.0871662092597687","0.0675581567834212","0.106774261736116","3"
"Min 1x per month","1990","Not Employed","no migration background","242","0.0936221485327271","0.0819799635733325","0.105264333492122","3"
"Min 1x per month","1990","Not Employed","indirect migration background","18","","","","3"
"Min 1x per month","1990","Employed","no migration background","620","0.147046216220752","0.136377463880627","0.157714968560877","3"
"Min 1x per month","1990","Employed","direct migration background","109","0.100856200907802","0.0866536026846574","0.115058799130947","3"
"Min 1x per month","1990","Employed","indirect migration background","24","","","","3"
"Min 1x per week","1990","Not Employed","direct migration background","40","0.0654156008226323","0.0482280317073583","0.0826031699379062","2"
"Min 1x per week","1990","Not Employed","no migration background","205","0.0813089495365928","0.0703858857787516","0.092232013294434","2"
"Min 1x per week","1990","Not Employed","indirect migration background","20","","","","2"
"Min 1x per week","1990","Employed","no migration background","479","0.112887505567466","0.103354359592101","0.122420651542831","2"
"Min 1x per week","1990","Employed","direct migration background","85","0.072398586966354","0.0601764353181981","0.0846207386145099","2"
"Min 1x per week","1990","Employed","indirect migration background","19","","","","2"
"Never","1990","Not Employed","no migration background","1301","0.568791831928445","0.548998873357802","0.588584790499088","5"
"Never","1990","Not Employed","direct migration background","570","0.627168694079749","0.593555258862087","0.660782129297411","5"
"Never","1990","Not Employed","indirect migration background","48","0.463114569579552","0.371979778528813","0.554249360630291","5"
"Never","1990","Employed","no migration background","1541","0.362892393211771","0.34840736703475","0.377377419388792","5"
"Never","1990","Employed","direct migration background","1179","0.563104971498923","0.539712012778251","0.586497930219596","5"
"Never","1990","Employed","indirect migration background","84","0.38251598626096","0.310715165059697","0.454316807462224","5"
"Rarely","1990","Not Employed","direct migration background","129","0.19133340161529","0.163990495227625","0.218676308002956","4"
"Rarely","1990","Not Employed","indirect migration background","23","","","","4"
"Rarely","1990","Not Employed","no migration background","566","0.223336197927194","0.206691088978447","0.23998130687594","4"
"Rarely","1990","Employed","direct migration background","324","0.23637531222087","0.216337838754393","0.256412785687347","4"
"Rarely","1990","Employed","no migration background","1487","0.351575744653047","0.337192295731915","0.365959193574179","4"
"Rarely","1990","Employed","indirect migration background","42","0.280441735414246","0.214075671199572","0.346807799628919","4"
"Daily","1991","Not Employed","no migration background","","","","","1"
"Daily","1991","Not Employed","direct migration background","","","","","1"
"Daily","1991","Not Employed","indirect migration background","","","","","1"
"Daily","1991","Employed","no migration background","","","","","1"
"Daily","1991","Employed","direct migration background","","","","","1"
"Daily","1991","Employed","indirect migration background","","","","","1"
"Min 1x per month","1991","Not Employed","direct migration background","","","","","3"
"Min 1x per month","1991","Not Employed","no migration background","","","","","3"
"Min 1x per month","1991","Not Employed","indirect migration background","","","","","3"
