"pli0093_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","in school","23","","","","1"
"Daily","1990","16-34 y.","inadequately","2","","","","1"
"Daily","1990","16-34 y.","general elemantary","42","0.0515537613291207","0.0374028891077552","0.0657046335504862","1"
"Daily","1990","16-34 y.","middle vocational","42","0.0243753041369555","0.0171439762726857","0.0316066320012254","1"
"Daily","1990","16-34 y.","vocational + Abi","6","","","","1"
"Daily","1990","16-34 y.","higher vocational","6","","","","1"
"Daily","1990","16-34 y.","higher education","10","","","","1"
"Daily","1990","35-65 y.","in school","","","","","1"
"Daily","1990","35-65 y.","inadequately","3","","","","1"
"Daily","1990","35-65 y.","general elemantary","15","","","","1"
"Daily","1990","35-65 y.","middle vocational","42","0.0186816603928676","0.0131469958986162","0.0242163248871191","1"
"Daily","1990","35-65 y.","vocational + Abi","1","","","","1"
"Daily","1990","35-65 y.","higher vocational","8","","","","1"
"Daily","1990","35-65 y.","higher education","26","","","","1"
"Daily","1990","66 and older","in school","","","","","1"
"Daily","1990","66 and older","inadequately","","","","","1"
"Daily","1990","66 and older","general elemantary","5","","","","1"
"Daily","1990","66 and older","middle vocational","9","","","","1"
"Daily","1990","66 and older","vocational + Abi","1","","","","1"
"Daily","1990","66 and older","higher vocational","3","","","","1"
"Daily","1990","66 and older","higher education","6","","","","1"
"Min 1x per month","1990","66 and older","vocational + Abi","5","","","","3"
"Min 1x per month","1990","35-65 y.","in school","","","","","3"
"Min 1x per month","1990","35-65 y.","inadequately","10","","","","3"
"Min 1x per month","1990","35-65 y.","vocational + Abi","13","","","","3"
"Min 1x per month","1990","66 and older","general elemantary","11","","","","3"
"Min 1x per month","1990","66 and older","middle vocational","38","0.0764817667211905","0.0530929125717371","0.0998706208706439","3"
"Min 1x per month","1990","35-65 y.","general elemantary","64","0.0625364352252627","0.0485118796689954","0.0765609907815299","3"
"Min 1x per month","1990","35-65 y.","middle vocational","280","0.132606247584139","0.118742879854992","0.146469615313285","3"
"Min 1x per month","1990","35-65 y.","higher vocational","42","0.141116999862954","0.100192595808292","0.182041403917617","3"
"Min 1x per month","1990","35-65 y.","higher education","89","0.203733172519208","0.165926798013435","0.24153954702498","3"
"Min 1x per month","1990","66 and older","in school","","","","","3"
