"pli0093_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","Urban Area","4","","","","1"
"Daily","1990","Schleswig-Holstein","Rural Area","2","","","","1"
"Daily","1990","Hamburg","Urban Area","9","","","","1"
"Daily","1990","Hamburg","Rural Area","","","","","1"
"Daily","1990","Lower Saxony","Urban Area","13","","","","1"
"Daily","1990","Lower Saxony","Rural Area","7","","","","1"
"Daily","1990","Bremen","Urban Area","1","","","","1"
"Daily","1990","Bremen","Rural Area","","","","","1"
"Daily","1990","North Rhine-Westphalia","Urban Area","77","0.0327786061437537","0.025782102074988","0.0397751102125194","1"
"Daily","1990","North Rhine-Westphalia","Rural Area","1","","","","1"
"Daily","1990","Hesse","Urban Area","17","","","","1"
"Daily","1990","Hesse","Rural Area","2","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Urban Area","21","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Rural Area","2","","","","1"
"Daily","1990","Baden-Württemberg","Urban Area","39","0.0320127094411646","0.023263296013134","0.0407621228691952","1"
"Daily","1990","Baden-Württemberg","Rural Area","3","","","","1"
"Daily","1990","Bavaria","Urban Area","25","","","","1"
"Daily","1990","Bavaria","Rural Area","19","","","","1"
"Daily","1990","Berlin","Urban Area","13","","","","1"
"Daily","1990","Berlin","Rural Area","","","","","1"
"Daily","1990","Brandenburg","Urban Area","","","","","1"
"Daily","1990","Brandenburg","Rural Area","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Daily","1990","Saxony","Urban Area","","","","","1"
"Daily","1990","Saxony","Rural Area","","","","","1"
"Daily","1990","Saxony-Anhalt","Urban Area","","","","","1"
"Daily","1990","Saxony-Anhalt","Rural Area","","","","","1"
"Daily","1990","Thuringia","Urban Area","","","","","1"
"Daily","1990","Thuringia","Rural Area","","","","","1"
