"pli0093_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Full Time","45","0.0270605151200186","0.0197683955900276","0.0343526346500095"
"Daily","1990","16-34 y.","Part Time","31","0.0361906589400296","0.0234771733076569","0.0489041445724023"
"Daily","1990","16-34 y.","Not Working","60","0.0806213443419419","0.0629227662804861","0.0983199224033977"
"Daily","1990","35-65 y.","Full Time","42","0.0207911251277356","0.0152002331035135","0.0263820171519576"
"Daily","1990","35-65 y.","Part Time","22","","",""
"Daily","1990","35-65 y.","Not Working","31","0.0239669290266161","0.0159466708363459","0.0319871872168863"
"Daily","1990","66 and older","Full Time","1","","",""
"Daily","1990","66 and older","Part Time","2","","",""
"Daily","1990","66 and older","Not Working","21","","",""
"Min 1x per week","1990","16-34 y.","Full Time","204","0.115329261910056","0.100974254457941","0.129684269362171"
"Min 1x per week","1990","16-34 y.","Part Time","102","0.138304678932181","0.114804772691767","0.161804585172594"
"Min 1x per week","1990","16-34 y.","Not Working","125","0.147517258049474","0.124464103439024","0.170570412659924"
"Min 1x per week","1990","35-65 y.","Full Time","183","0.0886593521796716","0.077521355456838","0.0997973489025051"
"Min 1x per week","1990","35-65 y.","Part Time","90","0.127190397210401","0.104922162761052","0.149458631659749"
"Min 1x per week","1990","35-65 y.","Not Working","91","0.0817003895858572","0.0673370922238563","0.0960636869478582"
"Min 1x per week","1990","66 and older","Full Time","2","","",""
"Min 1x per week","1990","66 and older","Part Time","2","","",""
"Min 1x per week","1990","66 and older","Not Working","49","0.0496045715796066","0.0362073256781283","0.0630018174810848"
"Min 1x per month","1990","16-34 y.","Full Time","254","0.151630404633441","0.135511759670313","0.16774904959657"
"Min 1x per month","1990","16-34 y.","Part Time","117","0.157108964311364","0.132337195048235","0.181880733574493"
"Min 1x per month","1990","16-34 y.","Not Working","118","0.15862091673693","0.134872085967748","0.182369747506112"
"Min 1x per month","1990","35-65 y.","Full Time","275","0.129494983418949","0.116339205014288","0.14265076182361"
"Min 1x per month","1990","35-65 y.","Part Time","102","0.141699485628224","0.118391610179217","0.165007361077231"
"Min 1x per month","1990","35-65 y.","Not Working","123","0.100257051456794","0.0845075584560077","0.116006544457581"
"Min 1x per month","1990","66 and older","Full Time","3","","",""
"Min 1x per month","1990","66 and older","Part Time","2","","",""
"Min 1x per month","1990","66 and older","Not Working","60","0.0581091038813999","0.043673834375073","0.0725443733877267"
"Rarely","1990","16-34 y.","Full Time","562","0.32777282379204","0.306677444472309","0.348868203111772"
"Rarely","1990","16-34 y.","Part Time","263","0.350667215295538","0.318184518860673","0.383149911730403"
"Rarely","1990","16-34 y.","Not Working","231","0.281016228054315","0.251795475706203","0.310236980402426"
"Rarely","1990","35-65 y.","Full Time","774","0.35964774257271","0.340843641359388","0.378451843786033"
"Rarely","1990","35-65 y.","Part Time","248","0.298177232878844","0.267603403911528","0.328751061846159"
"Rarely","1990","35-65 y.","Not Working","345","0.276720359004843","0.253260599022542","0.300180118987144"
"Rarely","1990","66 and older","Full Time","3","","",""
"Rarely","1990","66 and older","Part Time","3","","",""
"Rarely","1990","66 and older","Not Working","142","0.14436018644054","0.122674572734883","0.166045800146198"
"Never","1990","16-34 y.","Full Time","837","0.378206994544444","0.356413316586412","0.400000672502476"
"Never","1990","16-34 y.","Part Time","316","0.317728482520887","0.286034448432429","0.349422516609346"
"Never","1990","16-34 y.","Not Working","375","0.33222425281734","0.301604820329374","0.362843685305305"
"Never","1990","35-65 y.","Full Time","1228","0.401406796700933","0.382199657233224","0.420613936168642"
"Never","1990","35-65 y.","Part Time","398","0.404941775070175","0.372134142853238","0.437749407287111"
"Never","1990","35-65 y.","Not Working","807","0.51735527092589","0.491151842908037","0.543558698943742"
"Never","1990","66 and older","Full Time","5","","",""
"Never","1990","66 and older","Part Time","20","","",""
"Never","1990","66 and older","Not Working","737","0.728835352288142","0.701404850173975","0.756265854402308"
"Daily","1991","16-34 y.","Full Time","","","",""
"Daily","1991","16-34 y.","Part Time","","","",""
"Daily","1991","16-34 y.","Not Working","","","",""
"Daily","1991","35-65 y.","Full Time","","","",""
"Daily","1991","35-65 y.","Part Time","","","",""
"Daily","1991","35-65 y.","Not Working","","","",""
"Daily","1991","66 and older","Full Time","","","",""
"Daily","1991","66 and older","Part Time","","","",""
"Daily","1991","66 and older","Not Working","","","",""
"Min 1x per week","1991","16-34 y.","Full Time","","","",""
"Min 1x per week","1991","16-34 y.","Part Time","","","",""
"Min 1x per week","1991","16-34 y.","Not Working","","","",""
"Min 1x per week","1991","35-65 y.","Full Time","","","",""
"Min 1x per week","1991","35-65 y.","Part Time","","","",""
"Min 1x per week","1991","35-65 y.","Not Working","","","",""
"Min 1x per week","1991","66 and older","Full Time","","","",""
"Min 1x per week","1991","66 and older","Part Time","","","",""
"Min 1x per week","1991","66 and older","Not Working","","","",""
"Min 1x per month","1991","16-34 y.","Full Time","","","",""
"Min 1x per month","1991","16-34 y.","Part Time","","","",""
"Min 1x per month","1991","16-34 y.","Not Working","","","",""
"Min 1x per month","1991","35-65 y.","Full Time","","","",""
"Min 1x per month","1991","35-65 y.","Part Time","","","",""
"Min 1x per month","1991","35-65 y.","Not Working","","","",""
"Min 1x per month","1991","66 and older","Full Time","","","",""
"Min 1x per month","1991","66 and older","Part Time","","","",""
"Min 1x per month","1991","66 and older","Not Working","","","",""
"Rarely","1991","16-34 y.","Full Time","","","",""
"Rarely","1991","16-34 y.","Part Time","","","",""
"Rarely","1991","16-34 y.","Not Working","","","",""
"Rarely","1991","35-65 y.","Full Time","","","",""
"Rarely","1991","35-65 y.","Part Time","","","",""
"Rarely","1991","35-65 y.","Not Working","","","",""
"Rarely","1991","66 and older","Full Time","","","",""
"Rarely","1991","66 and older","Part Time","","","",""
"Rarely","1991","66 and older","Not Working","","","",""
"Never","1991","16-34 y.","Full Time","","","",""
"Never","1991","16-34 y.","Part Time","","","",""
"Never","1991","16-34 y.","Not Working","","","",""
