"pli0093_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","Male","90","0.0282849938610098","0.02253011171909","0.0340398760029296"
"Daily","1990","no migration background","Female","107","0.0287583452452461","0.0231815571819069","0.0343351333085853"
"Daily","1990","direct migration background","Male","26","","",""
"Daily","1990","direct migration background","Female","19","","",""
"Daily","1990","indirect migration background","Male","8","","",""
"Daily","1990","indirect migration background","Female","5","","",""
"Min 1x per week","1990","no migration background","Male","322","0.100876372466438","0.0904221107522968","0.111330634180579"
"Min 1x per week","1990","no migration background","Female","362","0.0997064417718699","0.0897089231037292","0.10970396044001"
"Min 1x per week","1990","direct migration background","Male","74","0.0768290658069853","0.0625108323923388","0.0911472992216317"
"Min 1x per week","1990","direct migration background","Female","51","0.0623176764466841","0.0486006062935409","0.0760347465998273"
"Min 1x per week","1990","indirect migration background","Male","16","","",""
"Min 1x per week","1990","indirect migration background","Female","23","","",""
"Min 1x per month","1990","no migration background","Male","406","0.126277277808384","0.114747037591617","0.137807518025151"
"Min 1x per month","1990","no migration background","Female","456","0.125150132033355","0.114108812845654","0.136191451221056"
"Min 1x per month","1990","direct migration background","Male","87","0.0993998182907881","0.0833139536118174","0.115485682969759"
"Min 1x per month","1990","direct migration background","Female","63","0.0918780174912791","0.0754870053770976","0.108269029605461"
"Min 1x per month","1990","indirect migration background","Male","13","","",""
"Min 1x per month","1990","indirect migration background","Female","29","","",""
"Rarely","1990","no migration background","Male","1029","0.319127658604714","0.302946709053864","0.335308608155564"
"Rarely","1990","no migration background","Female","1024","0.283367208112851","0.268330191568461","0.29840422465724"
"Rarely","1990","direct migration background","Male","247","0.20970193451703","0.187815134061514","0.231588734972546"
"Rarely","1990","direct migration background","Female","206","0.230104787171135","0.206220817788862","0.253988756553409"
"Rarely","1990","indirect migration background","Male","33","0.22874209125995","0.160139628953206","0.297344553566694"
"Rarely","1990","indirect migration background","Female","32","0.29912240000088","0.225104802901162","0.373139997100599"
"Never","1990","no migration background","Male","1341","0.425433697259454","0.408271418427528","0.44259597609138"
"Never","1990","no migration background","Female","1501","0.463017872836678","0.446379251556216","0.479656494117141"
"Never","1990","direct migration background","Male","895","0.583829448016426","0.557328325359097","0.610330570673755"
"Never","1990","direct migration background","Female","854","0.590328326337444","0.562422643835848","0.61823400883904"
"Never","1990","indirect migration background","Male","74","0.503091479981686","0.42142787496267","0.584755085000702"
