"pli0093_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Not Employed","60","0.0806213443419419","0.0629227662804861","0.0983199224033977"
"Daily","1990","16-34 y.","Employed","76","0.0298446403743558","0.0234628716745972","0.0362264090741143"
"Daily","1990","35-65 y.","Not Employed","31","0.0239669290266161","0.0159466708363459","0.0319871872168863"
"Daily","1990","35-65 y.","Employed","64","0.0227270943125071","0.0176894311823459","0.0277647574426683"
"Daily","1990","66 and older","Not Employed","21","","",""
"Daily","1990","66 and older","Employed","3","","",""
"Min 1x per week","1990","16-34 y.","Not Employed","125","0.147517258049474","0.124464103439024","0.170570412659924"
"Min 1x per week","1990","16-34 y.","Employed","306","0.122335333229549","0.110046023131451","0.134624643327648"
"Min 1x per week","1990","35-65 y.","Not Employed","91","0.0817003895858572","0.0673370922238563","0.0960636869478582"
"Min 1x per week","1990","35-65 y.","Employed","273","0.0990197800583743","0.0889233499455995","0.109116210171149"
"Min 1x per week","1990","66 and older","Not Employed","49","0.0496045715796066","0.0362073256781283","0.0630018174810848"
"Min 1x per week","1990","66 and older","Employed","4","","",""
"Min 1x per month","1990","16-34 y.","Not Employed","118","0.15862091673693","0.134872085967748","0.182369747506112"
"Min 1x per month","1990","16-34 y.","Employed","371","0.153301024139266","0.13978887947394","0.166813168804592"
"Min 1x per month","1990","35-65 y.","Not Employed","123","0.100257051456794","0.0845075584560077","0.116006544457581"
"Min 1x per month","1990","35-65 y.","Employed","377","0.132776593477379","0.121306274559709","0.144246912395049"
"Min 1x per month","1990","66 and older","Not Employed","60","0.0581091038813999","0.043673834375073","0.0725443733877267"
"Min 1x per month","1990","66 and older","Employed","5","","",""
"Rarely","1990","16-34 y.","Not Employed","231","0.281016228054315","0.251795475706203","0.310236980402426"
"Rarely","1990","16-34 y.","Employed","825","0.334754187374492","0.317055489127118","0.352452885621866"
"Rarely","1990","35-65 y.","Not Employed","345","0.276720359004843","0.253260599022542","0.300180118987144"
"Rarely","1990","35-65 y.","Employed","1022","0.343119232073125","0.327071449170146","0.359167014976104"
"Rarely","1990","66 and older","Not Employed","142","0.14436018644054","0.122674572734883","0.166045800146198"
"Rarely","1990","66 and older","Employed","6","","",""
"Never","1990","16-34 y.","Not Employed","375","0.33222425281734","0.301604820329374","0.362843685305305"
"Never","1990","16-34 y.","Employed","1153","0.359764814882337","0.341765069850735","0.377764559913938"
"Never","1990","35-65 y.","Not Employed","807","0.51735527092589","0.491151842908037","0.543558698943742"
"Never","1990","35-65 y.","Employed","1626","0.402357300078614","0.385781443185263","0.418933156971966"
"Never","1990","66 and older","Not Employed","737","0.728835352288142","0.701404850173975","0.756265854402308"
"Never","1990","66 and older","Employed","25","","",""
"Daily","1991","16-34 y.","Not Employed","","","",""
"Daily","1991","16-34 y.","Employed","","","",""
"Daily","1991","35-65 y.","Not Employed","","","",""
"Daily","1991","35-65 y.","Employed","","","",""
"Daily","1991","66 and older","Not Employed","","","",""
"Daily","1991","66 and older","Employed","","","",""
"Min 1x per week","1991","16-34 y.","Not Employed","","","",""
"Min 1x per week","1991","16-34 y.","Employed","","","",""
"Min 1x per week","1991","35-65 y.","Not Employed","","","",""
"Min 1x per week","1991","35-65 y.","Employed","","","",""
"Min 1x per week","1991","66 and older","Not Employed","","","",""
"Min 1x per week","1991","66 and older","Employed","","","",""
"Min 1x per month","1991","16-34 y.","Not Employed","","","",""
"Min 1x per month","1991","16-34 y.","Employed","","","",""
"Min 1x per month","1991","35-65 y.","Not Employed","","","",""
"Min 1x per month","1991","35-65 y.","Employed","","","",""
"Min 1x per month","1991","66 and older","Not Employed","","","",""
"Min 1x per month","1991","66 and older","Employed","","","",""
"Rarely","1991","16-34 y.","Not Employed","","","",""
"Rarely","1991","16-34 y.","Employed","","","",""
"Rarely","1991","35-65 y.","Not Employed","","","",""
"Rarely","1991","35-65 y.","Employed","","","",""
"Rarely","1991","66 and older","Not Employed","","","",""
"Rarely","1991","66 and older","Employed","","","",""
"Never","1991","16-34 y.","Not Employed","","","",""
"Never","1991","16-34 y.","Employed","","","",""
"Never","1991","35-65 y.","Not Employed","","","",""
"Never","1991","35-65 y.","Employed","","","",""
"Never","1991","66 and older","Not Employed","","","",""
"Never","1991","66 and older","Employed","","","",""
"Daily","1992","16-34 y.","Not Employed","","","",""
"Daily","1992","16-34 y.","Employed","","","",""
"Daily","1992","35-65 y.","Not Employed","","","",""
"Daily","1992","35-65 y.","Employed","","","",""
"Daily","1992","66 and older","Not Employed","","","",""
"Daily","1992","66 and older","Employed","","","",""
"Min 1x per week","1992","16-34 y.","Not Employed","","","",""
"Min 1x per week","1992","16-34 y.","Employed","","","",""
"Min 1x per week","1992","35-65 y.","Not Employed","","","",""
"Min 1x per week","1992","35-65 y.","Employed","","","",""
"Min 1x per week","1992","66 and older","Not Employed","","","",""
"Min 1x per week","1992","66 and older","Employed","","","",""
"Min 1x per month","1992","16-34 y.","Not Employed","","","",""
"Min 1x per month","1992","16-34 y.","Employed","","","",""
"Min 1x per month","1992","35-65 y.","Not Employed","","","",""
"Min 1x per month","1992","35-65 y.","Employed","","","",""
"Min 1x per month","1992","66 and older","Not Employed","","","",""
"Min 1x per month","1992","66 and older","Employed","","","",""
"Rarely","1992","16-34 y.","Not Employed","","","",""
"Rarely","1992","16-34 y.","Employed","","","",""
"Rarely","1992","35-65 y.","Not Employed","","","",""
"Rarely","1992","35-65 y.","Employed","","","",""
"Rarely","1992","66 and older","Not Employed","","","",""
"Rarely","1992","66 and older","Employed","","","",""
"Never","1992","16-34 y.","Not Employed","","","",""
