"pli0093_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","Male","59","0.0215854689166158","0.0164721910478336","0.026698746785398","1"
"Daily","1990","Full Time","Female","29","","","","1"
"Daily","1990","Part Time","Male","20","","","","1"
"Daily","1990","Part Time","Female","35","0.0263764157670774","0.0173693209165797","0.0353835106175752","1"
"Daily","1990","Not Working","Male","45","0.0395259271984903","0.0277742463583443","0.0512776080386364","1"
"Daily","1990","Not Working","Female","67","0.0294298757667158","0.0224604395250349","0.0363993120083968","1"
"Min 1x per month","1990","Full Time","Female","200","0.176341685495869","0.155743154384672","0.196940216607066","3"
"Min 1x per month","1990","Full Time","Male","332","0.123237887751165","0.111672233280879","0.134803542221452","3"
"Min 1x per month","1990","Part Time","Male","68","0.163013343271793","0.130701102448534","0.195325584095053","3"
"Min 1x per month","1990","Part Time","Female","153","0.139524626480988","0.120049694003899","0.158999558958077","3"
"Min 1x per month","1990","Not Working","Male","106","0.104196366802061","0.0857696131560102","0.122623120448111","3"
"Min 1x per month","1990","Not Working","Female","195","0.0879450453066547","0.0762660316161163","0.099624058997193","3"
"Min 1x per week","1990","Full Time","Female","125","0.110509503687989","0.0935639530751705","0.127455054300808","2"
"Min 1x per week","1990","Full Time","Male","264","0.0956460538962841","0.08529796977176","0.105994138020808","2"
"Min 1x per week","1990","Part Time","Male","48","0.120057707212166","0.0916249909622449","0.148490423462087","2"
"Min 1x per week","1990","Part Time","Female","146","0.134925233291752","0.115722868557347","0.154127598026156","2"
"Min 1x per week","1990","Not Working","Male","100","0.0953122991928069","0.0776014270427673","0.113023171342847","2"
"Min 1x per week","1990","Not Working","Female","165","0.0733527598435325","0.0626015974178079","0.0841039222692572","2"
"Never","1990","Full Time","Male","1493","0.413230147039747","0.395904594318305","0.430555699761188","5"
"Never","1990","Full Time","Female","577","0.341002697257787","0.315381115343474","0.366624279172101","5"
"Never","1990","Part Time","Male","235","0.393547394734969","0.350811462074423","0.436283327395516","5"
"Never","1990","Part Time","Female","499","0.366705935274743","0.339620053277733","0.393791817271753","5"
"Never","1990","Not Working","Male","582","0.544508249093897","0.514471106118158","0.574545392069636","5"
"Never","1990","Not Working","Female","1337","0.587356948663159","0.567055440635626","0.607658456690691","5"
"Rarely","1990","Full Time","Female","384","0.344550028046303","0.318864935550792","0.370235120541815","4"
"Rarely","1990","Part Time","Male","131","0.276999704159276","0.237852105925851","0.316147302392702","4"
"Rarely","1990","Full Time","Male","955","0.346300442396188","0.329559772917812","0.363041111874564","4"
"Rarely","1990","Not Working","Male","223","0.216457157712745","0.191618193516207","0.241296121909284","4"
"Rarely","1990","Part Time","Female","383","0.33246778918544","0.30598936076918","0.3589462176017","4"
"Rarely","1990","Not Working","Female","495","0.221915370419938","0.204779858417917","0.239050882421959","4"
"Daily","1991","Full Time","Male","","","","","1"
"Daily","1991","Full Time","Female","","","","","1"
