"pli0093_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","27","","",""
"Daily","1990","(Married) couple without C. ","57","0.023950382452572","0.0177032321357208","0.0301975327694233"
"Daily","1990","Single parent ","18","","",""
"Daily","1990","Couple + C. LE 16 ","38","0.0214646434404896","0.0152348887351619","0.0276943981458173"
"Daily","1990","Couple + C. GT 16 ","72","0.038234681061155","0.0299336038647455","0.0465357582575646"
"Daily","1990","Couple + C. LE and GT 16","28","","",""
"Min 1x per week","1990","1-pers.-HH","100","0.0964205901236109","0.0784295663595542","0.114411613887668"
"Min 1x per week","1990","(Married) couple without C. ","184","0.0831316649185976","0.0718512127595397","0.0944121170776555"
"Min 1x per week","1990","Single parent ","54","0.125828234412774","0.0955202807762239","0.156136188049323"
"Min 1x per week","1990","Couple + C. LE 16 ","174","0.0964155791568804","0.0837279983656562","0.109103159948105"
"Min 1x per week","1990","Couple + C. GT 16 ","214","0.111386129916137","0.0977671913215224","0.125005068510752"
"Min 1x per week","1990","Couple + C. LE and GT 16","81","0.106864997877809","0.0864298808726108","0.127300114883008"
"Min 1x per month","1990","1-pers.-HH","132","0.124568040684443","0.104439961278825","0.14469612009006"
"Min 1x per month","1990","(Married) couple without C. ","274","0.117279701948299","0.104133122657691","0.130426281238907"
"Min 1x per month","1990","Single parent ","51","0.114153435135684","0.0850936151057345","0.143213255165634"
"Min 1x per month","1990","Couple + C. LE 16 ","219","0.125971862717778","0.111708552466973","0.140235172968583"
"Min 1x per month","1990","Couple + C. GT 16 ","249","0.131650700585791","0.117014445264913","0.146286955906669"
"Min 1x per month","1990","Couple + C. LE and GT 16","82","0.124096340246567","0.10228870922401","0.145903971269124"
"Rarely","1990","1-pers.-HH","222","0.209192942640315","0.184401796563024","0.233984088717606"
"Rarely","1990","(Married) couple without C. ","618","0.284054754211138","0.265628769025267","0.302480739397008"
"Rarely","1990","Single parent ","110","0.267331524687548","0.226888091460216","0.307774957914879"
"Rarely","1990","Couple + C. LE 16 ","679","0.372706964489005","0.351922452431748","0.393491476546262"
"Rarely","1990","Couple + C. GT 16 ","560","0.304823288334049","0.284896246165788","0.32475033050231"
"Rarely","1990","Couple + C. LE and GT 16","224","0.311777812330169","0.281137882197875","0.342417742462463"
"Never","1990","1-pers.-HH","553","0.542874773197242","0.512511034417695","0.573238511976788"
"Never","1990","(Married) couple without C. ","1168","0.491583496469394","0.471156794682307","0.51201019825648"
"Never","1990","Single parent ","227","0.463868518973828","0.418296079208173","0.509440958739484"
"Never","1990","Couple + C. LE 16 ","969","0.383440950195847","0.36254041386202","0.404341486529675"
"Never","1990","Couple + C. GT 16 ","955","0.413905200102868","0.392584299970982","0.435226100234754"
"Never","1990","Couple + C. LE and GT 16","463","0.410929740472036","0.378385947498406","0.443473533445665"
"Daily","1991","1-pers.-HH","","","",""
"Daily","1991","(Married) couple without C. ","","","",""
"Daily","1991","Single parent ","","","",""
"Daily","1991","Couple + C. LE 16 ","","","",""
"Daily","1991","Couple + C. GT 16 ","","","",""
"Daily","1991","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1991","1-pers.-HH","","","",""
"Min 1x per week","1991","(Married) couple without C. ","","","",""
"Min 1x per week","1991","Single parent ","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1991","1-pers.-HH","","","",""
"Min 1x per month","1991","(Married) couple without C. ","","","",""
"Min 1x per month","1991","Single parent ","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","","","",""
"Rarely","1991","1-pers.-HH","","","",""
"Rarely","1991","(Married) couple without C. ","","","",""
"Rarely","1991","Single parent ","","","",""
"Rarely","1991","Couple + C. LE 16 ","","","",""
"Rarely","1991","Couple + C. GT 16 ","","","",""
"Rarely","1991","Couple + C. LE and GT 16","","","",""
"Never","1991","1-pers.-HH","","","",""
"Never","1991","(Married) couple without C. ","","","",""
"Never","1991","Single parent ","","","",""
"Never","1991","Couple + C. LE 16 ","","","",""
"Never","1991","Couple + C. GT 16 ","","","",""
"Never","1991","Couple + C. LE and GT 16","","","",""
"Daily","1992","1-pers.-HH","","","",""
"Daily","1992","(Married) couple without C. ","","","",""
"Daily","1992","Single parent ","","","",""
"Daily","1992","Couple + C. LE 16 ","","","",""
"Daily","1992","Couple + C. GT 16 ","","","",""
"Daily","1992","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1992","1-pers.-HH","","","",""
"Min 1x per week","1992","(Married) couple without C. ","","","",""
"Min 1x per week","1992","Single parent ","","","",""
"Min 1x per week","1992","Couple + C. LE 16 ","","","",""
"Min 1x per week","1992","Couple + C. GT 16 ","","","",""
"Min 1x per week","1992","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1992","1-pers.-HH","","","",""
"Min 1x per month","1992","(Married) couple without C. ","","","",""
"Min 1x per month","1992","Single parent ","","","",""
"Min 1x per month","1992","Couple + C. LE 16 ","","","",""
"Min 1x per month","1992","Couple + C. GT 16 ","","","",""
"Min 1x per month","1992","Couple + C. LE and GT 16","","","",""
"Rarely","1992","1-pers.-HH","","","",""
"Rarely","1992","(Married) couple without C. ","","","",""
"Rarely","1992","Single parent ","","","",""
"Rarely","1992","Couple + C. LE 16 ","","","",""
"Rarely","1992","Couple + C. GT 16 ","","","",""
"Rarely","1992","Couple + C. LE and GT 16","","","",""
"Never","1992","1-pers.-HH","","","",""
"Never","1992","(Married) couple without C. ","","","",""
"Never","1992","Single parent ","","","",""
"Never","1992","Couple + C. LE 16 ","","","",""
"Never","1992","Couple + C. GT 16 ","","","",""
"Never","1992","Couple + C. LE and GT 16","","","",""
"Daily","1993","1-pers.-HH","","","",""
"Daily","1993","(Married) couple without C. ","","","",""
"Daily","1993","Single parent ","","","",""
"Daily","1993","Couple + C. LE 16 ","","","",""
"Daily","1993","Couple + C. GT 16 ","","","",""
"Daily","1993","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1993","1-pers.-HH","","","",""
"Min 1x per week","1993","(Married) couple without C. ","","","",""
"Min 1x per week","1993","Single parent ","","","",""
"Min 1x per week","1993","Couple + C. LE 16 ","","","",""
"Min 1x per week","1993","Couple + C. GT 16 ","","","",""
"Min 1x per week","1993","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1993","1-pers.-HH","","","",""
"Min 1x per month","1993","(Married) couple without C. ","","","",""
"Min 1x per month","1993","Single parent ","","","",""
"Min 1x per month","1993","Couple + C. LE 16 ","","","",""
"Min 1x per month","1993","Couple + C. GT 16 ","","","",""
"Min 1x per month","1993","Couple + C. LE and GT 16","","","",""
"Rarely","1993","1-pers.-HH","","","",""
"Rarely","1993","(Married) couple without C. ","","","",""
"Rarely","1993","Single parent ","","","",""
"Rarely","1993","Couple + C. LE 16 ","","","",""
"Rarely","1993","Couple + C. GT 16 ","","","",""
"Rarely","1993","Couple + C. LE and GT 16","","","",""
"Never","1993","1-pers.-HH","","","",""
"Never","1993","(Married) couple without C. ","","","",""
