"pli0093_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","in school","","","",""
"Daily","1990","Full Time","inadequately","4","","",""
"Daily","1990","Full Time","general elemantary","24","","",""
"Daily","1990","Full Time","middle vocational","34","0.0152019107394755","0.010236977543608","0.020166843935343"
"Daily","1990","Full Time","vocational + Abi","4","","",""
"Daily","1990","Full Time","higher vocational","7","","",""
"Daily","1990","Full Time","higher education","15","","",""
"Daily","1990","Part Time","in school","1","","",""
"Daily","1990","Part Time","inadequately","","","",""
"Daily","1990","Part Time","general elemantary","13","","",""
"Daily","1990","Part Time","middle vocational","21","","",""
"Daily","1990","Part Time","vocational + Abi","","","",""
"Daily","1990","Part Time","higher vocational","5","","",""
"Daily","1990","Part Time","higher education","15","","",""
"Daily","1990","Not Working","in school","22","","",""
"Daily","1990","Not Working","inadequately","1","","",""
"Daily","1990","Not Working","general elemantary","25","","",""
"Daily","1990","Not Working","middle vocational","38","0.0250496205032273","0.0169099224260251","0.0331893185804295"
"Daily","1990","Not Working","vocational + Abi","4","","",""
"Daily","1990","Not Working","higher vocational","5","","",""
"Daily","1990","Not Working","higher education","12","","",""
"Min 1x per week","1990","Full Time","in school","","","",""
"Min 1x per week","1990","Full Time","inadequately","6","","",""
"Min 1x per week","1990","Full Time","general elemantary","46","0.0546942934897652","0.0398223724532963","0.0695662145262341"
"Min 1x per week","1990","Full Time","middle vocational","211","0.0966395000064388","0.0846500680520651","0.108628931960813"
"Min 1x per week","1990","Full Time","vocational + Abi","19","","",""
"Min 1x per week","1990","Full Time","higher vocational","35","0.125607242037012","0.0872658604087389","0.163948623665285"
"Min 1x per week","1990","Full Time","higher education","68","0.157692379076513","0.123364666869539","0.192020091283487"
"Min 1x per week","1990","Part Time","in school","3","","",""
"Min 1x per week","1990","Part Time","inadequately","3","","",""
"Min 1x per week","1990","Part Time","general elemantary","33","0.0749576087554352","0.0515707286168094","0.098344488894061"
"Min 1x per week","1990","Part Time","middle vocational","93","0.117240598857616","0.0948496918068869","0.139631505908345"
"Min 1x per week","1990","Part Time","vocational + Abi","14","","",""
"Min 1x per week","1990","Part Time","higher vocational","14","","",""
"Min 1x per week","1990","Part Time","higher education","32","0.286205803131989","0.209390456510838","0.363021149753141"
"Min 1x per week","1990","Not Working","in school","32","0.244199332811205","0.174030748098504","0.314367917523905"
"Min 1x per week","1990","Not Working","inadequately","3","","",""
"Min 1x per week","1990","Not Working","general elemantary","62","0.0572150743215088","0.0433827421094059","0.0710474065336116"
"Min 1x per week","1990","Not Working","middle vocational","121","0.0787640865398296","0.0647338169907294","0.0927943560889298"
"Min 1x per week","1990","Not Working","vocational + Abi","5","","",""
"Min 1x per week","1990","Not Working","higher vocational","13","","",""
"Min 1x per week","1990","Not Working","higher education","22","","",""
"Min 1x per month","1990","Full Time","in school","","","",""
"Min 1x per month","1990","Full Time","inadequately","8","","",""
"Min 1x per month","1990","Full Time","general elemantary","70","0.0992989895760383","0.0797388178941955","0.118859161257881"
"Min 1x per month","1990","Full Time","middle vocational","297","0.136741328305514","0.122799777246818","0.150682879364209"
"Min 1x per month","1990","Full Time","vocational + Abi","21","","",""
"Min 1x per month","1990","Full Time","higher vocational","44","0.152289705246655","0.110721033809834","0.193858376683475"
"Min 1x per month","1990","Full Time","higher education","89","0.209801018924317","0.171450064895407","0.248151972953227"
"Min 1x per month","1990","Part Time","in school","2","","",""
"Min 1x per month","1990","Part Time","inadequately","2","","",""
"Min 1x per month","1990","Part Time","general elemantary","58","0.124509158138655","0.095186045914843","0.153832270362467"
"Min 1x per month","1990","Part Time","middle vocational","107","0.15538979011283","0.130175258742778","0.180604321482881"
"Min 1x per month","1990","Part Time","vocational + Abi","6","","",""
"Min 1x per month","1990","Part Time","higher vocational","19","","",""
