"pli0093_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","Male","45","0.0395259271984903","0.0277742463583443","0.0512776080386364","1"
"Daily","1990","Not Employed","Female","67","0.0294298757667158","0.0224604395250349","0.0363993120083968","1"
"Daily","1990","Employed","Male","79","0.0251669366452018","0.0200539370333223","0.0302799362570813","1"
"Daily","1990","Employed","Female","64","0.0269978330333314","0.0206835597293938","0.0333121063372689","1"
"Min 1x per month","1990","Not Employed","Female","195","0.0879450453066547","0.0762660316161163","0.099624058997193","3"
"Min 1x per month","1990","Not Employed","Male","106","0.104196366802061","0.0857696131560102","0.122623120448111","3"
"Min 1x per month","1990","Employed","Female","353","0.158282783153167","0.144062705672901","0.172502860633434","3"
"Min 1x per month","1990","Employed","Male","400","0.128982859418027","0.11804141124562","0.139924307590434","3"
"Min 1x per week","1990","Not Employed","Male","100","0.0953122991928069","0.0776014270427673","0.113023171342847","2"
"Min 1x per week","1990","Employed","Female","271","0.122485508516673","0.109713137610452","0.135257879422894","2"
"Min 1x per week","1990","Employed","Male","312","0.0991719533437022","0.089415076125949","0.108928830561455","2"
"Min 1x per week","1990","Not Employed","Female","165","0.0733527598435325","0.0626015974178079","0.0841039222692572","2"
"Never","1990","Not Employed","Male","582","0.544508249093897","0.514471106118158","0.574545392069636","5"
"Never","1990","Not Employed","Female","1337","0.587356948663159","0.567055440635626","0.607658456690691","5"
"Never","1990","Employed","Male","1728","0.410387266855555","0.39432984481663","0.42644468889448","5"
"Never","1990","Employed","Female","1076","0.35361022968051","0.334984569892163","0.372235889468857","5"
"Rarely","1990","Employed","Male","1086","0.336290983737514","0.320868940122085","0.351713027352944","4"
"Rarely","1990","Not Employed","Male","223","0.216457157712745","0.191618193516207","0.241296121909284","4"
"Rarely","1990","Not Employed","Female","495","0.221915370419938","0.204779858417917","0.239050882421959","4"
"Rarely","1990","Employed","Female","767","0.338623645616318","0.320186869119806","0.35706042211283","4"
"Daily","1991","Not Employed","Male","","","","","1"
"Daily","1991","Not Employed","Female","","","","","1"
"Daily","1991","Employed","Male","","","","","1"
"Daily","1991","Employed","Female","","","","","1"
"Min 1x per month","1991","Employed","Male","","","","","3"
"Min 1x per month","1991","Not Employed","Female","","","","","3"
"Min 1x per month","1991","Not Employed","Male","","","","","3"
