"pli0093_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Male","67","0.0389754608817659","0.0301706106447483","0.0477803111187835"
"Daily","1990","16-34 y.","Female","69","0.0443493287082276","0.0347962407626688","0.0539024166537865"
"Daily","1990","35-65 y.","Male","46","0.0240345402650666","0.0178955995892054","0.0301734809409279"
"Daily","1990","35-65 y.","Female","49","0.0221638028422952","0.0162343798101749","0.0280932258744154"
"Daily","1990","66 and older","Male","11","","",""
"Daily","1990","66 and older","Female","13","","",""
"Min 1x per week","1990","16-34 y.","Male","193","0.112391864480467","0.0980225125981945","0.126761216362739"
"Min 1x per week","1990","16-34 y.","Female","238","0.144792057025597","0.12846308300932","0.161121031041873"
"Min 1x per week","1990","35-65 y.","Male","190","0.0954857463219434","0.0837060177401195","0.107265474903767"
"Min 1x per week","1990","35-65 y.","Female","174","0.0920726782525296","0.0804274455105856","0.103717910994474"
"Min 1x per week","1990","66 and older","Male","29","","",""
"Min 1x per week","1990","66 and older","Female","24","","",""
"Min 1x per month","1990","16-34 y.","Male","225","0.139851831804449","0.124072819345777","0.155630844263121"
"Min 1x per month","1990","16-34 y.","Female","264","0.170014498877386","0.152583234141095","0.187445763613677"
"Min 1x per month","1990","35-65 y.","Male","248","0.12202115475813","0.108901636321299","0.135140673194961"
"Min 1x per month","1990","35-65 y.","Female","252","0.123876297722538","0.110607423864762","0.137145171580313"
"Min 1x per month","1990","66 and older","Male","33","0.0775232662680464","0.0517635151689065","0.103283017367186"
"Min 1x per month","1990","66 and older","Female","32","0.0506874876042412","0.0336661871855333","0.067708788022949"
"Rarely","1990","16-34 y.","Male","535","0.318517790863636","0.297321824881556","0.339713756845716"
"Rarely","1990","16-34 y.","Female","521","0.326336211169362","0.304578916118319","0.348093506220404"
"Rarely","1990","35-65 y.","Male","705","0.329197023124789","0.310361237315254","0.348032808934324"
"Rarely","1990","35-65 y.","Female","662","0.316861167770179","0.298122175255856","0.335600160284502"
"Rarely","1990","66 and older","Male","69","0.170711291636553","0.134467642236505","0.2069549410366"
"Rarely","1990","66 and older","Female","79","0.128444845235384","0.102482523385716","0.154407167085051"
"Never","1990","16-34 y.","Male","836","0.390263051969682","0.368070406277443","0.412455697661921"
"Never","1990","16-34 y.","Female","692","0.314507904219428","0.292961853689499","0.336053954749357"
"Never","1990","35-65 y.","Male","1202","0.429261535530071","0.409421709410674","0.449101361649469"
"Never","1990","35-65 y.","Female","1231","0.445026053412459","0.425009640185573","0.465042466639344"
"Never","1990","66 and older","Male","272","0.659666949318932","0.614025193143364","0.7053087054945"
"Never","1990","66 and older","Female","490","0.760136240383599","0.727002856735376","0.793269624031823"
"Daily","1991","16-34 y.","Male","","","",""
"Daily","1991","16-34 y.","Female","","","",""
"Daily","1991","35-65 y.","Male","","","",""
"Daily","1991","35-65 y.","Female","","","",""
"Daily","1991","66 and older","Male","","","",""
"Daily","1991","66 and older","Female","","","",""
"Min 1x per week","1991","16-34 y.","Male","","","",""
"Min 1x per week","1991","16-34 y.","Female","","","",""
"Min 1x per week","1991","35-65 y.","Male","","","",""
"Min 1x per week","1991","35-65 y.","Female","","","",""
"Min 1x per week","1991","66 and older","Male","","","",""
"Min 1x per week","1991","66 and older","Female","","","",""
"Min 1x per month","1991","16-34 y.","Male","","","",""
"Min 1x per month","1991","16-34 y.","Female","","","",""
"Min 1x per month","1991","35-65 y.","Male","","","",""
"Min 1x per month","1991","35-65 y.","Female","","","",""
"Min 1x per month","1991","66 and older","Male","","","",""
"Min 1x per month","1991","66 and older","Female","","","",""
"Rarely","1991","16-34 y.","Male","","","",""
"Rarely","1991","16-34 y.","Female","","","",""
"Rarely","1991","35-65 y.","Male","","","",""
"Rarely","1991","35-65 y.","Female","","","",""
"Rarely","1991","66 and older","Male","","","",""
"Rarely","1991","66 and older","Female","","","",""
"Never","1991","16-34 y.","Male","","","",""
"Never","1991","16-34 y.","Female","","","",""
"Never","1991","35-65 y.","Male","","","",""
"Never","1991","35-65 y.","Female","","","",""
"Never","1991","66 and older","Male","","","",""
"Never","1991","66 and older","Female","","","",""
"Daily","1992","16-34 y.","Male","","","",""
"Daily","1992","16-34 y.","Female","","","",""
"Daily","1992","35-65 y.","Male","","","",""
"Daily","1992","35-65 y.","Female","","","",""
"Daily","1992","66 and older","Male","","","",""
"Daily","1992","66 and older","Female","","","",""
"Min 1x per week","1992","16-34 y.","Male","","","",""
"Min 1x per week","1992","16-34 y.","Female","","","",""
"Min 1x per week","1992","35-65 y.","Male","","","",""
"Min 1x per week","1992","35-65 y.","Female","","","",""
"Min 1x per week","1992","66 and older","Male","","","",""
"Min 1x per week","1992","66 and older","Female","","","",""
"Min 1x per month","1992","16-34 y.","Male","","","",""
"Min 1x per month","1992","16-34 y.","Female","","","",""
"Min 1x per month","1992","35-65 y.","Male","","","",""
"Min 1x per month","1992","35-65 y.","Female","","","",""
"Min 1x per month","1992","66 and older","Male","","","",""
"Min 1x per month","1992","66 and older","Female","","","",""
"Rarely","1992","16-34 y.","Male","","","",""
"Rarely","1992","16-34 y.","Female","","","",""
"Rarely","1992","35-65 y.","Male","","","",""
"Rarely","1992","35-65 y.","Female","","","",""
"Rarely","1992","66 and older","Male","","","",""
"Rarely","1992","66 and older","Female","","","",""
"Never","1992","16-34 y.","Male","","","",""
"Never","1992","16-34 y.","Female","","","",""
"Never","1992","35-65 y.","Male","","","",""
"Never","1992","35-65 y.","Female","","","",""
"Never","1992","66 and older","Male","","","",""
"Never","1992","66 and older","Female","","","",""
"Daily","1993","16-34 y.","Male","","","",""
"Daily","1993","16-34 y.","Female","","","",""
"Daily","1993","35-65 y.","Male","","","",""
"Daily","1993","35-65 y.","Female","","","",""
"Daily","1993","66 and older","Male","","","",""
"Daily","1993","66 and older","Female","","","",""
"Min 1x per week","1993","16-34 y.","Male","","","",""
"Min 1x per week","1993","16-34 y.","Female","","","",""
"Min 1x per week","1993","35-65 y.","Male","","","",""
"Min 1x per week","1993","35-65 y.","Female","","","",""
"Min 1x per week","1993","66 and older","Male","","","",""
"Min 1x per week","1993","66 and older","Female","","","",""
"Min 1x per month","1993","16-34 y.","Male","","","",""
"Min 1x per month","1993","16-34 y.","Female","","","",""
"Min 1x per month","1993","35-65 y.","Male","","","",""
"Min 1x per month","1993","35-65 y.","Female","","","",""
"Min 1x per month","1993","66 and older","Male","","","",""
"Min 1x per month","1993","66 and older","Female","","","",""
"Rarely","1993","16-34 y.","Male","","","",""
"Rarely","1993","16-34 y.","Female","","","",""
"Rarely","1993","35-65 y.","Male","","","",""
"Rarely","1993","35-65 y.","Female","","","",""
"Rarely","1993","66 and older","Male","","","",""
"Rarely","1993","66 and older","Female","","","",""
"Never","1993","16-34 y.","Male","","","",""
"Never","1993","16-34 y.","Female","","","",""
"Never","1993","35-65 y.","Male","","","",""
"Never","1993","35-65 y.","Female","","","",""
"Never","1993","66 and older","Male","","","",""
"Never","1993","66 and older","Female","","","",""
"Daily","1994","16-34 y.","Male","","","",""
"Daily","1994","16-34 y.","Female","","","",""
"Daily","1994","35-65 y.","Male","","","",""
"Daily","1994","35-65 y.","Female","","","",""
"Daily","1994","66 and older","Male","","","",""
"Daily","1994","66 and older","Female","","","",""
"Min 1x per week","1994","16-34 y.","Male","","","",""
"Min 1x per week","1994","16-34 y.","Female","","","",""
"Min 1x per week","1994","35-65 y.","Male","","","",""
"Min 1x per week","1994","35-65 y.","Female","","","",""
"Min 1x per week","1994","66 and older","Male","","","",""
"Min 1x per week","1994","66 and older","Female","","","",""
"Min 1x per month","1994","16-34 y.","Male","","","",""
"Min 1x per month","1994","16-34 y.","Female","","","",""
"Min 1x per month","1994","35-65 y.","Male","","","",""
"Min 1x per month","1994","35-65 y.","Female","","","",""
"Min 1x per month","1994","66 and older","Male","","","",""
"Min 1x per month","1994","66 and older","Female","","","",""
"Rarely","1994","16-34 y.","Male","","","",""
"Rarely","1994","16-34 y.","Female","","","",""
"Rarely","1994","35-65 y.","Male","","","",""
"Rarely","1994","35-65 y.","Female","","","",""
"Rarely","1994","66 and older","Male","","","",""
"Rarely","1994","66 and older","Female","","","",""
"Never","1994","16-34 y.","Male","","","",""
"Never","1994","16-34 y.","Female","","","",""
"Never","1994","35-65 y.","Male","","","",""
"Never","1994","35-65 y.","Female","","","",""
"Never","1994","66 and older","Male","","","",""
"Never","1994","66 and older","Female","","","",""
"Daily","1995","16-34 y.","Male","87","0.0432376120318606","0.0351557778844678","0.0513194461792534"
"Daily","1995","16-34 y.","Female","108","0.0476805727936059","0.0393242746258594","0.0560368709613524"
"Daily","1995","35-65 y.","Male","56","0.0223156082216478","0.0173367562906748","0.0272944601526208"
"Daily","1995","35-65 y.","Female","65","0.0245784035354048","0.0194019616391261","0.0297548454316834"
"Daily","1995","66 and older","Male","13","","",""
"Daily","1995","66 and older","Female","20","","",""
"Min 1x per week","1995","16-34 y.","Male","212","0.0962191752135005","0.0845015551310299","0.107936795295971"
"Min 1x per week","1995","16-34 y.","Female","306","0.139410626351264","0.12582756060491","0.152993692097618"
"Min 1x per week","1995","35-65 y.","Male","220","0.0797478989737622","0.0706164743302799","0.0888793236172446"
"Min 1x per week","1995","35-65 y.","Female","253","0.0870397623272232","0.0776155924776233","0.0964639321768231"
"Min 1x per week","1995","66 and older","Male","50","0.103185291472001","0.0785765559236494","0.127794027020353"
"Min 1x per week","1995","66 and older","Female","47","0.0597432501733712","0.0446638996202193","0.0748226007265231"
"Min 1x per month","1995","16-34 y.","Male","195","0.0826301374356946","0.0716901075498367","0.0935701673215526"
"Min 1x per month","1995","16-34 y.","Female","281","0.116854590012136","0.104256901378511","0.129452278645762"
"Min 1x per month","1995","35-65 y.","Male","260","0.0951124740644019","0.0852237206907329","0.105001227438071"
"Min 1x per month","1995","35-65 y.","Female","271","0.0986132800388053","0.088645886519647","0.108580673557964"
"Min 1x per month","1995","66 and older","Male","53","0.0813525315063153","0.0592374259017201","0.103467637110911"
"Min 1x per month","1995","66 and older","Female","35","0.0377510841824245","0.0256249208285649","0.0498772475362841"
"Rarely","1995","16-34 y.","Male","727","0.314142995498293","0.295698893466945","0.332587097529641"
"Rarely","1995","16-34 y.","Female","809","0.324357015529454","0.30599915112684","0.342714879932069"
"Rarely","1995","35-65 y.","Male","999","0.311299005036107","0.295691635002376","0.326906375069838"
"Rarely","1995","35-65 y.","Female","1042","0.318085144922804","0.302514912542489","0.333655377303119"
"Rarely","1995","66 and older","Male","95","0.165808795813308","0.135722714415023","0.195894877211592"
"Rarely","1995","66 and older","Female","124","0.137140024232416","0.115253980737532","0.159026067727301"
"Never","1995","16-34 y.","Male","1212","0.463770079820651","0.443954630648619","0.483585528992684"
"Never","1995","16-34 y.","Female","994","0.37169719531354","0.352746244028344","0.390648146598736"
"Never","1995","35-65 y.","Male","1846","0.491525013704081","0.474673725191195","0.508376302216968"
"Never","1995","35-65 y.","Female","1806","0.471683409175763","0.454994392449872","0.488372425901654"
"Never","1995","66 and older","Male","376","0.627188291490413","0.58807063909452","0.666305943886306"
"Never","1995","66 and older","Female","723","0.741313253005575","0.71345185163236","0.76917465437879"
"Daily","1996","16-34 y.","Male","","","",""
"Daily","1996","16-34 y.","Female","","","",""
"Daily","1996","35-65 y.","Male","","","",""
"Daily","1996","35-65 y.","Female","","","",""
"Daily","1996","66 and older","Male","","","",""
"Daily","1996","66 and older","Female","","","",""
"Min 1x per week","1996","16-34 y.","Male","","","",""
"Min 1x per week","1996","16-34 y.","Female","","","",""
"Min 1x per week","1996","35-65 y.","Male","","","",""
"Min 1x per week","1996","35-65 y.","Female","","","",""
"Min 1x per week","1996","66 and older","Male","","","",""
"Min 1x per week","1996","66 and older","Female","","","",""
"Min 1x per month","1996","16-34 y.","Male","","","",""
"Min 1x per month","1996","16-34 y.","Female","","","",""
"Min 1x per month","1996","35-65 y.","Male","","","",""
"Min 1x per month","1996","35-65 y.","Female","","","",""
"Min 1x per month","1996","66 and older","Male","","","",""
"Min 1x per month","1996","66 and older","Female","","","",""
"Rarely","1996","16-34 y.","Male","","","",""
"Rarely","1996","16-34 y.","Female","","","",""
"Rarely","1996","35-65 y.","Male","","","",""
"Rarely","1996","35-65 y.","Female","","","",""
"Rarely","1996","66 and older","Male","","","",""
"Rarely","1996","66 and older","Female","","","",""
"Never","1996","16-34 y.","Male","","","",""
"Never","1996","16-34 y.","Female","","","",""
"Never","1996","35-65 y.","Male","","","",""
"Never","1996","35-65 y.","Female","","","",""
"Never","1996","66 and older","Male","","","",""
"Never","1996","66 and older","Female","","","",""
"Daily","1997","16-34 y.","Male","","","",""
"Daily","1997","16-34 y.","Female","","","",""
"Daily","1997","35-65 y.","Male","","","",""
"Daily","1997","35-65 y.","Female","","","",""
"Daily","1997","66 and older","Male","","","",""
"Daily","1997","66 and older","Female","","","",""
"Min 1x per week","1997","16-34 y.","Male","","","",""
"Min 1x per week","1997","16-34 y.","Female","","","",""
"Min 1x per week","1997","35-65 y.","Male","","","",""
"Min 1x per week","1997","35-65 y.","Female","","","",""
"Min 1x per week","1997","66 and older","Male","","","",""
"Min 1x per week","1997","66 and older","Female","","","",""
"Min 1x per month","1997","16-34 y.","Male","","","",""
"Min 1x per month","1997","16-34 y.","Female","","","",""
"Min 1x per month","1997","35-65 y.","Male","","","",""
"Min 1x per month","1997","35-65 y.","Female","","","",""
"Min 1x per month","1997","66 and older","Male","","","",""
"Min 1x per month","1997","66 and older","Female","","","",""
"Rarely","1997","16-34 y.","Male","","","",""
"Rarely","1997","16-34 y.","Female","","","",""
"Rarely","1997","35-65 y.","Male","","","",""
"Rarely","1997","35-65 y.","Female","","","",""
"Rarely","1997","66 and older","Male","","","",""
"Rarely","1997","66 and older","Female","","","",""
"Never","1997","16-34 y.","Male","","","",""
"Never","1997","16-34 y.","Female","","","",""
"Never","1997","35-65 y.","Male","","","",""
"Never","1997","35-65 y.","Female","","","",""
"Never","1997","66 and older","Male","","","",""
"Never","1997","66 and older","Female","","","",""
"Daily","1998","16-34 y.","Male","68","0.0425010364269015","0.0344404025358556","0.0505616703179474"
"Daily","1998","16-34 y.","Female","87","0.0372039212718234","0.0297188588839172","0.0446889836597297"
"Daily","1998","35-65 y.","Male","66","0.0229051532935751","0.0180873666340094","0.0277229399531409"
"Daily","1998","35-65 y.","Female","64","0.0206909822579171","0.0161579006583494","0.0252240638574848"
"Daily","1998","66 and older","Male","19","","",""
"Daily","1998","66 and older","Female","16","","",""
"Min 1x per week","1998","16-34 y.","Male","189","0.0882016739190038","0.0768701560363344","0.0995331918016732"
"Min 1x per week","1998","16-34 y.","Female","300","0.135424038832226","0.121891372655039","0.148956705009413"
"Min 1x per week","1998","35-65 y.","Male","224","0.0685162543904738","0.0603805146158439","0.0766519941651037"
"Min 1x per week","1998","35-65 y.","Female","286","0.0911386542121439","0.0819734271647366","0.100303881259551"
"Min 1x per week","1998","66 and older","Male","55","0.0894949621830293","0.0690244711160425","0.109965453250016"
"Min 1x per week","1998","66 and older","Female","47","0.0468385034900342","0.0343634606882953","0.059313546291773"
"Min 1x per month","1998","16-34 y.","Male","184","0.0808661163849072","0.0699724778418238","0.0917597549279906"
"Min 1x per month","1998","16-34 y.","Female","289","0.116330377831311","0.103650197150502","0.129010558512121"
"Min 1x per month","1998","35-65 y.","Male","259","0.0781501850254757","0.0695063256325588","0.0867940444183925"
"Min 1x per month","1998","35-65 y.","Female","325","0.0982599195866089","0.0887807128561493","0.107739126317069"
