"plh0108","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","Full Time","","","",""
"Very important","1990","Not Employed","Part Time","","","",""
"Very important","1990","Not Employed","Not Working","595","0.207520886427353","0.191933035766751","0.223108737087955"
"Very important","1990","Employed","Full Time","709","0.20975548048178","0.195618306263179","0.223892654700381"
"Very important","1990","Employed","Part Time","257","0.173363104798156","0.153079003766269","0.193647205830043"
"Very important","1990","Employed","Not Working","","","",""
"Important","1990","Not Employed","Full Time","","","",""
"Important","1990","Not Employed","Part Time","","","",""
"Important","1990","Not Employed","Not Working","774","0.27190695026686","0.254804237021984","0.289009663511736"
"Important","1990","Employed","Full Time","1065","0.326714464322554","0.310428666891811","0.343000261753298"
"Important","1990","Employed","Part Time","458","0.338570661995443","0.313214330386706","0.363926993604179"
"Important","1990","Employed","Not Working","","","",""
"Less important","1990","Not Employed","Full Time","","","",""
"Less important","1990","Not Employed","Part Time","","","",""
"Less important","1990","Not Employed","Not Working","667","0.257463849676812","0.240657308362838","0.274270390990786"
"Less important","1990","Employed","Full Time","1080","0.348810290911058","0.332261220097239","0.365359361724877"
"Less important","1990","Employed","Part Time","465","0.348561293276805","0.323028613807055","0.374093972746555"
"Less important","1990","Employed","Not Working","","","",""
"Quite unimportant","1990","Not Employed","Full Time","","","",""
"Quite unimportant","1990","Not Employed","Part Time","","","",""
"Quite unimportant","1990","Not Employed","Not Working","564","0.263108313628974","0.246183241391447","0.280033385866501"
"Quite unimportant","1990","Employed","Full Time","332","0.114719764284608","0.103653915977325","0.125785612591891"
"Quite unimportant","1990","Employed","Part Time","158","0.139504939929597","0.120940193647212","0.158069686211981"
"Quite unimportant","1990","Employed","Not Working","","","",""
"Very important","1991","Not Employed","Full Time","","","",""
"Very important","1991","Not Employed","Part Time","","","",""
"Very important","1991","Not Employed","Not Working","","","",""
"Very important","1991","Employed","Full Time","","","",""
"Very important","1991","Employed","Part Time","","","",""
"Very important","1991","Employed","Not Working","","","",""
"Important","1991","Not Employed","Full Time","","","",""
"Important","1991","Not Employed","Part Time","","","",""
"Important","1991","Not Employed","Not Working","","","",""
"Important","1991","Employed","Full Time","","","",""
"Important","1991","Employed","Part Time","","","",""
"Important","1991","Employed","Not Working","","","",""
"Less important","1991","Not Employed","Full Time","","","",""
"Less important","1991","Not Employed","Part Time","","","",""
"Less important","1991","Not Employed","Not Working","","","",""
"Less important","1991","Employed","Full Time","","","",""
"Less important","1991","Employed","Part Time","","","",""
"Less important","1991","Employed","Not Working","","","",""
"Quite unimportant","1991","Not Employed","Full Time","","","",""
"Quite unimportant","1991","Not Employed","Part Time","","","",""
"Quite unimportant","1991","Not Employed","Not Working","","","",""
"Quite unimportant","1991","Employed","Full Time","","","",""
"Quite unimportant","1991","Employed","Part Time","","","",""
"Quite unimportant","1991","Employed","Not Working","","","",""
"Very important","1992","Not Employed","Full Time","","","",""
"Very important","1992","Not Employed","Part Time","","","",""
"Very important","1992","Not Employed","Not Working","753","0.203085801075756","0.189746526771396","0.216425075380116"
"Very important","1992","Employed","Full Time","1228","0.221930531791271","0.210777831975553","0.23308323160699"
"Very important","1992","Employed","Part Time","512","0.228191593506992","0.210318913245972","0.246064273768013"
"Very important","1992","Employed","Not Working","","","",""
"Important","1992","Not Employed","Full Time","","","",""
"Important","1992","Not Employed","Part Time","","","",""
"Important","1992","Not Employed","Not Working","1019","0.286370165988487","0.271380670172224","0.30135966180475"
"Important","1992","Employed","Full Time","1596","0.304470991702856","0.292120254415229","0.316821728990483"
"Important","1992","Employed","Part Time","617","0.301078687298126","0.281542524664011","0.320614849932241"
"Important","1992","Employed","Not Working","","","",""
"Less important","1992","Not Employed","Full Time","","","",""
"Less important","1992","Not Employed","Part Time","","","",""
"Less important","1992","Not Employed","Not Working","843","0.22695085337881","0.213062329069929","0.240839377687691"
"Less important","1992","Employed","Full Time","1880","0.350669977436378","0.337863068142064","0.363476886730692"
"Less important","1992","Employed","Part Time","716","0.33085886178299","0.3108203546183","0.350897368947679"
"Less important","1992","Employed","Not Working","","","",""
"Quite unimportant","1992","Not Employed","Full Time","","","",""
"Quite unimportant","1992","Not Employed","Part Time","","","",""
"Quite unimportant","1992","Not Employed","Not Working","879","0.283593179556946","0.268647544015194","0.298538815098699"
"Quite unimportant","1992","Employed","Full Time","629","0.122928499069494","0.114115857870894","0.131741140268094"
"Quite unimportant","1992","Employed","Part Time","273","0.139870857411892","0.125099154553998","0.154642560269786"
"Quite unimportant","1992","Employed","Not Working","","","",""
"Very important","1993","Not Employed","Full Time","","","",""
"Very important","1993","Not Employed","Part Time","","","",""
"Very important","1993","Not Employed","Not Working","","","",""
"Very important","1993","Employed","Full Time","","","",""
"Very important","1993","Employed","Part Time","","","",""
"Very important","1993","Employed","Not Working","","","",""
"Important","1993","Not Employed","Full Time","","","",""
"Important","1993","Not Employed","Part Time","","","",""
"Important","1993","Not Employed","Not Working","","","",""
"Important","1993","Employed","Full Time","","","",""
"Important","1993","Employed","Part Time","","","",""
"Important","1993","Employed","Not Working","","","",""
"Less important","1993","Not Employed","Full Time","","","",""
"Less important","1993","Not Employed","Part Time","","","",""
"Less important","1993","Not Employed","Not Working","","","",""
"Less important","1993","Employed","Full Time","","","",""
"Less important","1993","Employed","Part Time","","","",""
"Less important","1993","Employed","Not Working","","","",""
"Quite unimportant","1993","Not Employed","Full Time","","","",""
"Quite unimportant","1993","Not Employed","Part Time","","","",""
"Quite unimportant","1993","Not Employed","Not Working","","","",""
"Quite unimportant","1993","Employed","Full Time","","","",""
"Quite unimportant","1993","Employed","Part Time","","","",""
"Quite unimportant","1993","Employed","Not Working","","","",""
"Very important","1994","Not Employed","Full Time","","","",""
"Very important","1994","Not Employed","Part Time","","","",""
"Very important","1994","Not Employed","Not Working","","","",""
"Very important","1994","Employed","Full Time","","","",""
"Very important","1994","Employed","Part Time","","","",""
"Very important","1994","Employed","Not Working","","","",""
"Important","1994","Not Employed","Full Time","","","",""
"Important","1994","Not Employed","Part Time","","","",""
"Important","1994","Not Employed","Not Working","","","",""
"Important","1994","Employed","Full Time","","","",""
"Important","1994","Employed","Part Time","","","",""
"Important","1994","Employed","Not Working","","","",""
"Less important","1994","Not Employed","Full Time","","","",""
"Less important","1994","Not Employed","Part Time","","","",""
"Less important","1994","Not Employed","Not Working","","","",""
"Less important","1994","Employed","Full Time","","","",""
"Less important","1994","Employed","Part Time","","","",""
"Less important","1994","Employed","Not Working","","","",""
"Quite unimportant","1994","Not Employed","Full Time","","","",""
"Quite unimportant","1994","Not Employed","Part Time","","","",""
"Quite unimportant","1994","Not Employed","Not Working","","","",""
"Quite unimportant","1994","Employed","Full Time","","","",""
