"plh0108","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Lower Saxony","Not Employed","89","0.252215825065039","0.204333100842795","0.300098549287284","2"
"Important","1990","North Rhine-Westphalia","Not Employed","225","0.280605862307262","0.248407846499643","0.312803878114882","2"
"Important","1990","Bremen","Employed","10","","","","2"
"Important","1990","Lower Saxony","Employed","182","0.339847468683497","0.299369437081159","0.380325500285836","2"
"Important","1990","Hamburg","Employed","15","","","","2"
"Important","1990","Bremen","Not Employed","6","","","","2"
"Important","1990","Schleswig-Holstein","Not Employed","24","","","","2"
"Important","1990","North Rhine-Westphalia","Employed","390","0.314760113879174","0.288228050650318","0.341292177108031","2"
"Important","1990","Hesse","Not Employed","84","0.3220784528887","0.264039579707499","0.380117326069901","2"
"Important","1990","Schleswig-Holstein","Employed","50","0.358317050154378","0.283549433927037","0.433084666381718","2"
"Important","1990","Hamburg","Not Employed","12","","","","2"
"Important","1990","Rhineland-Palatinate,Saarland","Employed","154","0.479611884933034","0.425297475288908","0.533926294577159","2"
"Important","1990","Bavaria","Not Employed","131","0.286433765727422","0.243093736280699","0.329773795174144","2"
"Important","1990","Hesse","Employed","140","0.345970787379673","0.300423830282825","0.391517744476521","2"
"Important","1990","Rhineland-Palatinate,Saarland","Not Employed","88","0.336926394326528","0.276366020148268","0.397486768504788","2"
"Important","1990","Baden-Württemberg","Not Employed","109","0.256749992282022","0.212178457515925","0.301321527048118","2"
"Important","1990","Baden-Württemberg","Employed","274","0.345629879023372","0.312382746989198","0.378877011057545","2"
"Important","1990","Bavaria","Employed","287","0.327888526506119","0.296422000493217","0.359355052519021","2"
"Important","1990","Berlin","Not Employed","6","","","","2"
"Important","1990","Brandenburg","Employed","","","","","2"
"Important","1990","Berlin","Employed","21","","","","2"
"Important","1990","Brandenburg","Not Employed","","","","","2"
"Important","1990","Saxony","Not Employed","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Important","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Important","1990","Saxony","Employed","","","","","2"
"Important","1990","Saxony-Anhalt","Not Employed","","","","","2"
"Important","1990","Thuringia","Employed","","","","","2"
"Important","1990","Thuringia","Not Employed","","","","","2"
"Important","1990","Saxony-Anhalt","Employed","","","","","2"
"Less important","1990","Bremen","Employed","9","","","","3"
"Less important","1990","Lower Saxony","Not Employed","71","0.212750126672131","0.16762735555025","0.257872897794012","3"
"Less important","1990","Hamburg","Not Employed","18","","","","3"
"Less important","1990","Bremen","Not Employed","8","","","","3"
"Less important","1990","Schleswig-Holstein","Employed","64","0.401308787470886","0.324879409649746","0.477738165292026","3"
"Less important","1990","Hamburg","Employed","41","0.514672840616927","0.404463737357763","0.624881943876092","3"
"Less important","1990","North Rhine-Westphalia","Not Employed","237","0.311525386274169","0.278336859153202","0.344713913395137","3"
"Less important","1990","North Rhine-Westphalia","Employed","432","0.376114539072379","0.34844051254086","0.403788565603897","3"
"Less important","1990","Schleswig-Holstein","Not Employed","25","","","","3"
"Less important","1990","Lower Saxony","Employed","171","0.321161595715048","0.281259084857893","0.361064106572202","3"
"Less important","1990","Hesse","Not Employed","55","0.225378015334598","0.173480196953803","0.277275833715392","3"
"Less important","1990","Hesse","Employed","159","0.371342999818963","0.325079809533899","0.417606190104027","3"
"Less important","1990","Rhineland-Palatinate,Saarland","Not Employed","41","0.186017491995379","0.136160670138999","0.23587431385176","3"
"Less important","1990","Rhineland-Palatinate,Saarland","Employed","65","0.213780451052772","0.169208430293355","0.258352471812189","3"
"Less important","1990","Baden-Württemberg","Not Employed","91","0.264416766016286","0.219418548210651","0.30941498382192","3"
"Less important","1990","Baden-Württemberg","Employed","235","0.307704828337433","0.275438494350549","0.339971162324318","3"
"Less important","1990","Bavaria","Not Employed","93","0.208866403964919","0.169897413174057","0.24783539475578","3"
"Less important","1990","Bavaria","Employed","279","0.332384622807361","0.300809237335283","0.363960008279439","3"
"Less important","1990","Berlin","Not Employed","28","","","","3"
"Less important","1990","Berlin","Employed","90","0.587683068191582","0.511646531584379","0.663719604798786","3"
"Less important","1990","Brandenburg","Not Employed","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","Employed","","","","","3"
"Less important","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"Less important","1990","Brandenburg","Employed","","","","","3"
"Less important","1990","Saxony","Not Employed","","","","","3"
"Less important","1990","Saxony","Employed","","","","","3"
"Less important","1990","Saxony-Anhalt","Not Employed","","","","","3"
"Less important","1990","Saxony-Anhalt","Employed","","","","","3"
"Less important","1990","Thuringia","Not Employed","","","","","3"
"Less important","1990","Thuringia","Employed","","","","","3"
"Quite unimportant","1990","Schleswig-Holstein","Not Employed","23","","","","4"
"Quite unimportant","1990","Schleswig-Holstein","Employed","14","","","","4"
"Quite unimportant","1990","Hamburg","Employed","18","","","","4"
"Quite unimportant","1990","Lower Saxony","Not Employed","64","0.246963438479607","0.199415804306018","0.294511072653196","4"
"Quite unimportant","1990","Hamburg","Not Employed","16","","","","4"
"Quite unimportant","1990","Lower Saxony","Employed","65","0.14516953983149","0.115064932732445","0.175274146930535","4"
"Quite unimportant","1990","North Rhine-Westphalia","Not Employed","167","0.268006692587369","0.23626546881082","0.299747916363919","4"
"Quite unimportant","1990","Bremen","Not Employed","21","","","","4"
"Quite unimportant","1990","Bremen","Employed","11","","","","4"
"Quite unimportant","1990","North Rhine-Westphalia","Employed","131","0.127202800078415","0.108167274715012","0.146238325441818","4"
"Quite unimportant","1990","Berlin","Employed","43","0.26300055496795","0.194994580842956","0.331006529092944","4"
"Quite unimportant","1990","Brandenburg","Not Employed","","","","","4"
"Quite unimportant","1990","Berlin","Not Employed","35","0.511913343872195","0.397247689609944","0.626578998134445","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","Not Employed","42","0.230670710584911","0.176695726553278","0.284645694616544","4"
"Quite unimportant","1990","Brandenburg","Employed","","","","","4"
"Quite unimportant","1990","Hesse","Not Employed","52","0.250082459207801","0.196293048155924","0.303871870259678","4"
"Quite unimportant","1990","Hesse","Employed","38","0.0896858269099037","0.062326926398039","0.117044727421768","4"
"Quite unimportant","1990","Rhineland-Palatinate,Saarland","Employed","27","","","","4"
"Quite unimportant","1990","Baden-Württemberg","Not Employed","56","0.189351960339528","0.149377189830396","0.22932673084866","4"
"Quite unimportant","1990","Baden-Württemberg","Employed","60","0.0849831716703358","0.0654884146579747","0.104477928682697","4"
"Quite unimportant","1990","Bavaria","Not Employed","88","0.271078239463858","0.228464687437151","0.313691791490565","4"
"Quite unimportant","1990","Bavaria","Employed","83","0.10870501091688","0.0878408680397424","0.129569153794018","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"Quite unimportant","1990","Mecklenburg-Western Pomerania","Employed","","","","","4"
"Quite unimportant","1990","Saxony","Not Employed","","","","","4"
"Quite unimportant","1990","Saxony","Employed","","","","","4"
"Quite unimportant","1990","Saxony-Anhalt","Not Employed","","","","","4"
"Quite unimportant","1990","Saxony-Anhalt","Employed","","","","","4"
"Quite unimportant","1990","Thuringia","Not Employed","","","","","4"
"Quite unimportant","1990","Thuringia","Employed","","","","","4"
"Very important","1990","Schleswig-Holstein","Not Employed","23","","","","1"
"Very important","1990","Schleswig-Holstein","Employed","30","0.151634795145288","0.095709226849793","0.207560363440783","1"
"Very important","1990","Hamburg","Not Employed","3","","","","1"
"Very important","1990","Hamburg","Employed","5","","","","1"
"Very important","1990","Lower Saxony","Not Employed","92","0.288070609783223","0.238139354241121","0.338001865325324","1"
"Very important","1990","Lower Saxony","Employed","108","0.193821395769965","0.160040457245","0.22760233429493","1"
"Very important","1990","Bremen","Not Employed","14","","","","1"
"Very important","1990","Bremen","Employed","8","","","","1"
"Very important","1990","North Rhine-Westphalia","Not Employed","119","0.139862058831199","0.115006055234034","0.164718062428364","1"
"Very important","1990","North Rhine-Westphalia","Employed","224","0.181922546970032","0.15988311814881","0.203961975791254","1"
"Very important","1990","Hesse","Not Employed","58","0.202461072568901","0.152550203843271","0.252371941294531","1"
"Very important","1990","Hesse","Employed","82","0.19300038589146","0.155212131381394","0.230788640401527","1"
"Very important","1990","Rhineland-Palatinate,Saarland","Not Employed","63","0.246385403093182","0.191174824224819","0.301595981961545","1"
"Very important","1990","Rhineland-Palatinate,Saarland","Employed","79","0.213628574929741","0.169068086331079","0.258189063528403","1"
"Very important","1990","Baden-Württemberg","Not Employed","113","0.289481281362164","0.243207721324075","0.335754841400253","1"
"Very important","1990","Baden-Württemberg","Employed","217","0.261682120968859","0.230953325536376","0.292410916401342","1"
"Very important","1990","Bavaria","Not Employed","106","0.233621590843802","0.193057843488085","0.274185338199518","1"
"Very important","1990","Bavaria","Employed","206","0.23102183976964","0.202769881539632","0.259273797999648","1"
"Very important","1990","Berlin","Not Employed","4","","","","1"
"Very important","1990","Berlin","Employed","7","","","","1"
"Very important","1990","Brandenburg","Not Employed","","","","","1"
"Very important","1990","Brandenburg","Employed","","","","","1"
"Very important","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Very important","1990","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Very important","1990","Saxony","Not Employed","","","","","1"
"Very important","1990","Saxony","Employed","","","","","1"
"Very important","1990","Saxony-Anhalt","Not Employed","","","","","1"
"Very important","1990","Saxony-Anhalt","Employed","","","","","1"
"Very important","1990","Thuringia","Not Employed","","","","","1"
"Very important","1990","Thuringia","Employed","","","","","1"
"Important","1991","Bremen","Not Employed","","","","","2"
"Important","1991","Hamburg","Employed","","","","","2"
"Important","1991","Schleswig-Holstein","Not Employed","","","","","2"
"Important","1991","Bremen","Employed","","","","","2"
"Important","1991","Lower Saxony","Not Employed","","","","","2"
"Important","1991","Lower Saxony","Employed","","","","","2"
"Important","1991","North Rhine-Westphalia","Not Employed","","","","","2"
"Important","1991","Hamburg","Not Employed","","","","","2"
"Important","1991","North Rhine-Westphalia","Employed","","","","","2"
"Important","1991","Schleswig-Holstein","Employed","","","","","2"
"Important","1991","Bavaria","Not Employed","","","","","2"
"Important","1991","Hesse","Not Employed","","","","","2"
"Important","1991","Rhineland-Palatinate,Saarland","Not Employed","","","","","2"
"Important","1991","Rhineland-Palatinate,Saarland","Employed","","","","","2"
"Important","1991","Baden-Württemberg","Employed","","","","","2"
"Important","1991","Hesse","Employed","","","","","2"
"Important","1991","Baden-Württemberg","Not Employed","","","","","2"
"Important","1991","Berlin","Not Employed","","","","","2"
"Important","1991","Bavaria","Employed","","","","","2"
"Important","1991","Brandenburg","Employed","","","","","2"
"Important","1991","Brandenburg","Not Employed","","","","","2"
"Important","1991","Berlin","Employed","","","","","2"
"Important","1991","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Important","1991","Saxony","Not Employed","","","","","2"
"Important","1991","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Important","1991","Saxony","Employed","","","","","2"
"Important","1991","Saxony-Anhalt","Not Employed","","","","","2"
"Important","1991","Thuringia","Not Employed","","","","","2"
