"plh0108","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Schleswig-Holstein","Full Time","32","0.349522520773536","0.256531477828336","0.442513563718736","2"
"Important","1990","Hamburg","Full Time","10","","","","2"
"Important","1990","Hamburg","Part Time","5","","","","2"
"Important","1990","Lower Saxony","Part Time","58","0.348626661933762","0.274322209965355","0.422931113902169","2"
"Important","1990","Schleswig-Holstein","Part Time","18","","","","2"
"Important","1990","Hamburg","Not Working","12","","","","2"
"Important","1990","Schleswig-Holstein","Not Working","24","","","","2"
"Important","1990","Bremen","Part Time","2","","","","2"
"Important","1990","Lower Saxony","Full Time","124","0.335875593588089","0.287621059632761","0.384130127543418","2"
"Important","1990","Lower Saxony","Not Working","89","0.252215825065039","0.204333100842795","0.300098549287284","2"
"Important","1990","Bremen","Not Working","6","","","","2"
"Important","1990","North Rhine-Westphalia","Full Time","277","0.307949689865402","0.276804886947382","0.339094492783422","2"
"Important","1990","Hesse","Not Working","84","0.3220784528887","0.264039579707499","0.380117326069901","2"
"Important","1990","Rhineland-Palatinate,Saarland","Full Time","114","0.484536558769068","0.420775679233249","0.548297438304886","2"
"Important","1990","Rhineland-Palatinate,Saarland","Not Working","88","0.336926394326528","0.276366020148268","0.397486768504788","2"
"Important","1990","Saxony-Anhalt","Not Working","","","","","2"
"Important","1990","Bremen","Full Time","8","","","","2"
"Important","1990","North Rhine-Westphalia","Part Time","113","0.333244445909809","0.28261644779719","0.383872444022428","2"
"Important","1990","North Rhine-Westphalia","Not Working","225","0.280605862307262","0.248407846499643","0.312803878114882","2"
"Important","1990","Hesse","Full Time","94","0.350964622241001","0.295260236129825","0.406669008352177","2"
"Important","1990","Hesse","Part Time","46","0.335539444314404","0.256472637375911","0.414606251252898","2"
"Important","1990","Thuringia","Full Time","","","","","2"
"Important","1990","Thuringia","Part Time","","","","","2"
"Important","1990","Thuringia","Not Working","","","","","2"
"Important","1990","Rhineland-Palatinate,Saarland","Part Time","40","0.466599748929036","0.362953892144573","0.570245605713499","2"
"Important","1990","Baden-Württemberg","Full Time","191","0.342554002038156","0.302965130912617","0.382142873163694","2"
"Important","1990","Baden-Württemberg","Part Time","83","0.353125219386621","0.291888115994035","0.414362322779208","2"
"Important","1990","Bavaria","Part Time","86","0.340529531500995","0.281904066978483","0.399154996023506","2"
"Important","1990","Bavaria","Not Working","131","0.286433765727422","0.243093736280699","0.329773795174144","2"
"Important","1990","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"Important","1990","Saxony","Full Time","","","","","2"
"Important","1990","Saxony","Part Time","","","","","2"
"Important","1990","Saxony","Not Working","","","","","2"
"Important","1990","Saxony-Anhalt","Full Time","","","","","2"
"Important","1990","Saxony-Anhalt","Part Time","","","","","2"
"Important","1990","Baden-Württemberg","Not Working","109","0.256749992282022","0.212178457515925","0.301321527048118","2"
"Important","1990","Bavaria","Full Time","201","0.322703001270196","0.285419155777752","0.35998684676264","2"
