"plh0108","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","West Germany","2297","0.306739180042188","0.296030915540649","0.317447444543727","2"
"Important","1990","East Germany","","","","","2"
"Less important","1990","West Germany","2212","0.312027382067047","0.301268477237169","0.322786286896926","3"
"Less important","1990","East Germany","","","","","3"
"Quite unimportant","1990","West Germany","1054","0.178725188836479","0.169828605127263","0.187621772545694","4"
"Quite unimportant","1990","East Germany","","","","","4"
"Very important","1990","West Germany","1561","0.202508249054286","0.193176337914561","0.211840160194011","1"
"Very important","1990","East Germany","","","","","1"
"Important","1991","West Germany","","","","","2"
"Important","1991","East Germany","","","","","2"
"Less important","1991","West Germany","","","","","3"
"Less important","1991","East Germany","","","","","3"
"Quite unimportant","1991","West Germany","","","","","4"
"Quite unimportant","1991","East Germany","","","","","4"
"Very important","1991","West Germany","","","","","1"
"Very important","1991","East Germany","","","","","1"
"Important","1992","West Germany","2303","0.317646457885649","0.306737861139873","0.328555054631424","2"
"Important","1992","East Germany","929","0.221305593698927","0.208356503914087","0.234254683483768","2"
"Less important","1992","West Germany","2082","0.292246053113533","0.281589723843006","0.302902382384061","3"
"Less important","1992","East Germany","1357","0.329460826412814","0.314799492390604","0.344122160435024","3"
"Quite unimportant","1992","West Germany","990","0.169261008914305","0.160474771908077","0.178047245920532","4"
"Quite unimportant","1992","East Germany","791","0.251410590293041","0.237878242770585","0.264942937815497","4"
"Very important","1992","West Germany","1622","0.220846480086513","0.211126868424886","0.230566091748141","1"
"Very important","1992","East Germany","871","0.197822989595217","0.18539694221799","0.210249036972445","1"
"Important","1993","West Germany","","","","","2"
"Important","1993","East Germany","","","","","2"
"Less important","1993","West Germany","","","","","3"
"Less important","1993","East Germany","","","","","3"
"Quite unimportant","1993","West Germany","","","","","4"
"Quite unimportant","1993","East Germany","","","","","4"
"Very important","1993","West Germany","","","","","1"
"Very important","1993","East Germany","","","","","1"
"Important","1994","West Germany","","","","","2"
"Important","1994","East Germany","","","","","2"
"Less important","1994","West Germany","","","","","3"
"Less important","1994","East Germany","","","","","3"
"Quite unimportant","1994","West Germany","","","","","4"
"Quite unimportant","1994","East Germany","","","","","4"
"Very important","1994","West Germany","","","","","1"
"Very important","1994","East Germany","","","","","1"
"Important","1995","East Germany","1068","0.268005315911344","0.253653972589367","0.28235665923332","2"
"Important","1995","West Germany","2568","0.327697734402721","0.317102508369421","0.338292960436021","2"
"Less important","1995","East Germany","1161","0.305926543854213","0.290995912097129","0.320857175611297","3"
"Less important","1995","West Germany","2283","0.297447908440711","0.287128948069105","0.307766868812317","3"
"Quite unimportant","1995","East Germany","544","0.192598547854072","0.179821275458047","0.205375820250098","4"
"Quite unimportant","1995","West Germany","897","0.14621173790046","0.138236246907623","0.154187228893298","4"
"Very important","1995","East Germany","886","0.233469592380371","0.219762455722963","0.247176729037779","1"
"Very important","1995","West Germany","1791","0.228642619256108","0.219162852926342","0.238122385585874","1"
"Important","1996","East Germany","","","","","2"
"Important","1996","West Germany","","","","","2"
"Less important","1996","East Germany","","","","","3"
"Less important","1996","West Germany","","","","","3"
"Quite unimportant","1996","East Germany","","","","","4"
"Quite unimportant","1996","West Germany","","","","","4"
"Very important","1996","East Germany","","","","","1"
"Very important","1996","West Germany","","","","","1"
"Important","1997","East Germany","","","","","2"
"Important","1997","West Germany","","","","","2"
"Less important","1997","East Germany","","","","","3"
"Less important","1997","West Germany","","","","","3"
"Quite unimportant","1997","East Germany","","","","","4"
"Quite unimportant","1997","West Germany","","","","","4"
"Very important","1997","East Germany","","","","","1"
"Very important","1997","West Germany","","","","","1"
"Important","1998","East Germany","","","","","2"
"Important","1998","West Germany","","","","","2"
"Less important","1998","East Germany","","","","","3"
"Less important","1998","West Germany","","","","","3"
"Quite unimportant","1998","East Germany","","","","","4"
"Quite unimportant","1998","West Germany","","","","","4"
"Very important","1998","East Germany","","","","","1"
"Very important","1998","West Germany","","","","","1"
"Important","1999","West Germany","","","","","2"
"Important","1999","East Germany","","","","","2"
"Less important","1999","West Germany","","","","","3"
"Less important","1999","East Germany","","","","","3"
"Quite unimportant","1999","West Germany","","","","","4"
"Quite unimportant","1999","East Germany","","","","","4"
"Very important","1999","West Germany","","","","","1"
"Very important","1999","East Germany","","","","","1"
"Important","2000","West Germany","","","","","2"
"Important","2000","East Germany","","","","","2"
"Less important","2000","West Germany","","","","","3"
"Less important","2000","East Germany","","","","","3"
"Quite unimportant","2000","West Germany","","","","","4"
"Quite unimportant","2000","East Germany","","","","","4"
"Very important","2000","West Germany","","","","","1"
"Very important","2000","East Germany","","","","","1"
"Important","2001","West Germany","","","","","2"
"Important","2001","East Germany","","","","","2"
"Less important","2001","West Germany","","","","","3"
"Less important","2001","East Germany","","","","","3"
"Quite unimportant","2001","West Germany","","","","","4"
"Quite unimportant","2001","East Germany","","","","","4"
"Very important","2001","West Germany","","","","","1"
"Very important","2001","East Germany","","","","","1"
"Important","2002","West Germany","","","","","2"
"Important","2002","East Germany","","","","","2"
"Less important","2002","West Germany","","","","","3"
"Less important","2002","East Germany","","","","","3"
"Quite unimportant","2002","West Germany","","","","","4"
"Quite unimportant","2002","East Germany","","","","","4"
"Very important","2002","West Germany","","","","","1"
"Very important","2002","East Germany","","","","","1"
"Important","2003","West Germany","","","","","2"
"Important","2003","East Germany","","","","","2"
"Less important","2003","West Germany","","","","","3"
"Less important","2003","East Germany","","","","","3"
"Quite unimportant","2003","West Germany","","","","","4"
"Quite unimportant","2003","East Germany","","","","","4"
"Very important","2003","West Germany","","","","","1"
"Very important","2003","East Germany","","","","","1"
"Important","2004","West Germany","5776","0.326673692708606","0.31948066763792","0.333866717779292","2"
"Important","2004","East Germany","1478","0.252023187936545","0.24021559327333","0.263830782599761","2"
"Less important","2004","West Germany","4554","0.285434982767139","0.278508445480046","0.292361520054232","3"
"Less important","2004","East Germany","1644","0.328730131817622","0.315954998180378","0.341505265454865","3"
"Quite unimportant","2004","West Germany","1878","0.149117059150057","0.143653945000994","0.154580173299121","4"
"Quite unimportant","2004","East Germany","1019","0.239004585777913","0.227406368107485","0.250602803448341","4"
"Very important","2004","West Germany","4123","0.238774265374198","0.232235553641183","0.245312977107212","1"
"Very important","2004","East Germany","1053","0.18024209446792","0.169788442481639","0.190695746454201","1"
"Important","2005","West Germany","","","","","2"
"Important","2005","East Germany","","","","","2"
"Less important","2005","West Germany","","","","","3"
"Less important","2005","East Germany","","","","","3"
"Quite unimportant","2005","West Germany","","","","","4"
"Quite unimportant","2005","East Germany","","","","","4"
"Very important","2005","West Germany","","","","","1"
"Very important","2005","East Germany","","","","","1"
"Important","2006","West Germany","","","","","2"
"Important","2006","East Germany","","","","","2"
"Less important","2006","West Germany","","","","","3"
"Less important","2006","East Germany","","","","","3"
"Quite unimportant","2006","West Germany","","","","","4"
"Quite unimportant","2006","East Germany","","","","","4"
"Very important","2006","West Germany","","","","","1"
"Very important","2006","East Germany","","","","","1"
"Important","2007","West Germany","","","","","2"
"Important","2007","East Germany","","","","","2"
"Less important","2007","West Germany","","","","","3"
"Less important","2007","East Germany","","","","","3"
"Quite unimportant","2007","West Germany","","","","","4"
"Quite unimportant","2007","East Germany","","","","","4"
"Very important","2007","West Germany","","","","","1"
"Very important","2007","East Germany","","","","","1"
"Important","2008","East Germany","1322","0.248721213539469","0.236434667640141","0.261007759438798","2"
"Important","2008","West Germany","5268","0.334483371124126","0.32681157680881","0.342155165439441","2"
"Less important","2008","East Germany","1537","0.324076453258686","0.310773582954257","0.337379323563114","3"
"Less important","2008","West Germany","4245","0.31283646399654","0.305297373330205","0.320375554662875","3"
"Quite unimportant","2008","East Germany","1058","0.27395450968144","0.261278166928616","0.286630852434264","4"
"Quite unimportant","2008","West Germany","1928","0.159052862319561","0.15310603508027","0.164999689558851","4"
"Very important","2008","East Germany","838","0.153247823520405","0.143009044996976","0.163486602043834","1"
"Very important","2008","West Germany","3088","0.193627302559774","0.1872021797352","0.200052425384347","1"
"Important","2009","East Germany","","","","","2"
"Important","2009","West Germany","","","","","2"
"Less important","2009","East Germany","","","","","3"
"Less important","2009","West Germany","","","","","3"
"Quite unimportant","2009","East Germany","","","","","4"
"Quite unimportant","2009","West Germany","","","","","4"
"Very important","2009","East Germany","","","","","1"
"Very important","2009","West Germany","","","","","1"
"Important","2010","East Germany","418","0.311203316198844","0.286487737888946","0.335918894508742","2"
"Important","2010","West Germany","2243","0.365440272914261","0.353215719957097","0.377664825871425","2"
"Less important","2010","East Germany","463","0.34343678921808","0.318087556136052","0.368786022300107","3"
"Less important","2010","West Germany","1812","0.311517627830926","0.299761176340606","0.323274079321247","3"
"Quite unimportant","2010","East Germany","233","0.180329860071054","0.159806119095107","0.200853601047001","4"
"Quite unimportant","2010","West Germany","488","0.0884123646396981","0.0812055351641753","0.0956191941152209","4"
"Very important","2010","East Germany","234","0.165030034512023","0.14521384864459","0.184846220379456","1"
"Very important","2010","West Germany","1418","0.234629734615115","0.223872123322976","0.245387345907253","1"
"Important","2011","East Germany","","","","","2"
"Important","2011","West Germany","","","","","2"
"Less important","2011","East Germany","","","","","3"
"Less important","2011","West Germany","","","","","3"
"Quite unimportant","2011","East Germany","","","","","4"
"Quite unimportant","2011","West Germany","","","","","4"
"Very important","2011","East Germany","","","","","1"
"Very important","2011","West Germany","","","","","1"
"Important","2012","West Germany","7845","0.348252720078648","0.341869523431906","0.354635916725391","2"
"Important","2012","East Germany","1737","0.267405351087429","0.256358766187247","0.278451935987612","2"
"Less important","2012","West Germany","6242","0.295365730630865","0.289253309268283","0.301478151993447","3"
"Less important","2012","East Germany","1889","0.296343216972861","0.284946256249629","0.307740177696094","3"
"Quite unimportant","2012","West Germany","2859","0.16173382631465","0.156800466941187","0.166667185688114","4"
"Quite unimportant","2012","East Germany","1429","0.283654886358129","0.27240450088797","0.294905271828287","4"
"Very important","2012","West Germany","4453","0.194647722975837","0.189342923635127","0.199952522316546","1"
"Very important","2012","East Germany","1112","0.152596545581581","0.143621666976041","0.161571424187121","1"
"Important","2013","West Germany","","","","","2"
"Important","2013","East Germany","","","","","2"
"Less important","2013","West Germany","","","","","3"
"Less important","2013","East Germany","","","","","3"
"Quite unimportant","2013","West Germany","","","","","4"
"Quite unimportant","2013","East Germany","","","","","4"
