"plh0108","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Full Time","1065","0.326714464322554","0.310428666891811","0.343000261753298","2"
"Important","1990","Not Working","774","0.27190695026686","0.254804237021984","0.289009663511736","2"
"Important","1990","Part Time","458","0.338570661995443","0.313214330386706","0.363926993604179","2"
"Less important","1990","Full Time","1080","0.348810290911058","0.332261220097239","0.365359361724877","3"
"Less important","1990","Part Time","465","0.348561293276805","0.323028613807055","0.374093972746555","3"
"Less important","1990","Not Working","667","0.257463849676812","0.240657308362838","0.274270390990786","3"
"Quite unimportant","1990","Full Time","332","0.114719764284608","0.103653915977325","0.125785612591891","4"
"Quite unimportant","1990","Part Time","158","0.139504939929597","0.120940193647212","0.158069686211981","4"
"Quite unimportant","1990","Not Working","564","0.263108313628974","0.246183241391447","0.280033385866501","4"
"Very important","1990","Full Time","709","0.20975548048178","0.195618306263179","0.223892654700381","1"
"Very important","1990","Part Time","257","0.173363104798156","0.153079003766269","0.193647205830043","1"
"Very important","1990","Not Working","595","0.207520886427353","0.191933035766751","0.223108737087955","1"
"Important","1991","Full Time","","","","","2"
"Important","1991","Part Time","","","","","2"
"Important","1991","Not Working","","","","","2"
"Less important","1991","Full Time","","","","","3"
"Less important","1991","Part Time","","","","","3"
"Less important","1991","Not Working","","","","","3"
"Quite unimportant","1991","Full Time","","","","","4"
"Quite unimportant","1991","Part Time","","","","","4"
"Quite unimportant","1991","Not Working","","","","","4"
"Very important","1991","Full Time","","","","","1"
"Very important","1991","Part Time","","","","","1"
"Very important","1991","Not Working","","","","","1"
"Important","1992","Full Time","1596","0.304470991702856","0.292120254415229","0.316821728990483","2"
"Important","1992","Part Time","617","0.301078687298126","0.281542524664011","0.320614849932241","2"
"Important","1992","Not Working","1019","0.286370165988487","0.271380670172224","0.30135966180475","2"
"Less important","1992","Full Time","1880","0.350669977436378","0.337863068142064","0.363476886730692","3"
"Less important","1992","Part Time","716","0.33085886178299","0.3108203546183","0.350897368947679","3"
