"plh0108","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","1-pers.-HH","8","","",""
"Very important","1990","16-34 y.","(Married) couple without C. ","98","0.163126573724672","0.132359552245529","0.193893595203815"
"Very important","1990","16-34 y.","Single parent ","22","","",""
"Very important","1990","16-34 y.","Couple + C. LE 16 ","191","0.268525272542312","0.2362869803957","0.300763564688924"
"Very important","1990","16-34 y.","Couple + C. GT 16 ","87","0.140749054317859","0.113375260080615","0.168122848555103"
"Very important","1990","16-34 y.","Couple + C. LE and GT 16","25","","",""
"Very important","1990","35-65 y.","1-pers.-HH","27","","",""
"Very important","1990","35-65 y.","(Married) couple without C. ","222","0.224897116333664","0.198622653636099","0.251171579031229"
"Very important","1990","35-65 y.","Single parent ","28","","",""
"Very important","1990","35-65 y.","Couple + C. LE 16 ","173","0.223065837271165","0.193030774034134","0.253100900508196"
"Very important","1990","35-65 y.","Couple + C. GT 16 ","273","0.316654244535809","0.285290157955588","0.34801833111603"
"Very important","1990","35-65 y.","Couple + C. LE and GT 16","76","0.282357271921244","0.228664003427181","0.336050540415308"
"Very important","1990","66 and older","1-pers.-HH","37","0.0867410597538555","0.0579847263792908","0.11549739312842"
"Very important","1990","66 and older","(Married) couple without C. ","165","0.322639305931807","0.281331305499837","0.363947306363777"
"Very important","1990","66 and older","Single parent ","7","","",""
"Very important","1990","66 and older","Couple + C. LE 16 ","","","",""
"Very important","1990","66 and older","Couple + C. GT 16 ","28","","",""
"Very important","1990","66 and older","Couple + C. LE and GT 16","1","","",""
"Important","1990","16-34 y.","1-pers.-HH","43","0.184999216678683","0.135353919159439","0.234644514197927"
"Important","1990","16-34 y.","(Married) couple without C. ","154","0.27953667222726","0.242167064081364","0.316906280373157"
"Important","1990","16-34 y.","Single parent ","62","0.338029139359226","0.26967958525857","0.406378693459882"
"Important","1990","16-34 y.","Couple + C. LE 16 ","245","0.333072754814549","0.298788985440422","0.367356524188676"
"Important","1990","16-34 y.","Couple + C. GT 16 ","193","0.299800122691115","0.263735685049417","0.335864560332812"
"Important","1990","16-34 y.","Couple + C. LE and GT 16","48","0.295214189928335","0.226033156446586","0.364395223410085"
"Important","1990","35-65 y.","1-pers.-HH","87","0.279059341349509","0.22896706421016","0.329151618488857"
"Important","1990","35-65 y.","(Married) couple without C. ","291","0.293789707473142","0.265124998707077","0.322454416239208"
"Important","1990","35-65 y.","Single parent ","55","0.31019302369516","0.242238574898668","0.378147472491653"
"Important","1990","35-65 y.","Couple + C. LE 16 ","315","0.442370268874064","0.406537048865437","0.47820348888269"
"Important","1990","35-65 y.","Couple + C. GT 16 ","336","0.388832531451267","0.355963935884437","0.421701127018098"
"Important","1990","35-65 y.","Couple + C. LE and GT 16","116","0.416444516374761","0.357643360930426","0.475245671819096"
"Important","1990","66 and older","1-pers.-HH","58","0.14300216040698","0.107234927349946","0.178769393464014"
"Important","1990","66 and older","(Married) couple without C. ","123","0.249629445169607","0.21138649944024","0.287872390898974"
"Important","1990","66 and older","Single parent ","10","","",""
"Important","1990","66 and older","Couple + C. LE 16 ","","","",""
"Important","1990","66 and older","Couple + C. GT 16 ","16","","",""
