"plh0108","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","1-pers.-HH","51","0.0941198831046667","0.0678332493978222","0.120406516811511"
"Very important","1990","Not Employed","(Married) couple without C. ","262","0.293062139567602","0.262851471646115","0.323272807489089"
"Very important","1990","Not Employed","Single parent ","18","","",""
"Very important","1990","Not Employed","Couple + C. LE 16 ","82","0.223871679350282","0.180201958792875","0.26754139990769"
"Very important","1990","Not Employed","Couple + C. GT 16 ","123","0.250000588949785","0.211100948090045","0.288900229809526"
"Very important","1990","Not Employed","Couple + C. LE and GT 16","26","","",""
"Very important","1990","Employed","1-pers.-HH","21","","",""
"Very important","1990","Employed","(Married) couple without C. ","223","0.189319965921833","0.166618284430992","0.212021647412675"
"Very important","1990","Employed","Single parent ","39","0.149839509952249","0.105859891084871","0.193819128819628"
"Very important","1990","Employed","Couple + C. LE 16 ","282","0.251301900924436","0.225830270329217","0.276773531519655"
"Very important","1990","Employed","Couple + C. GT 16 ","265","0.256194777649061","0.229765688390309","0.282623866907814"
"Very important","1990","Employed","Couple + C. LE and GT 16","76","0.256164492314435","0.207255885020836","0.305073099608034"
"Important","1990","Not Employed","1-pers.-HH","81","0.157802410727727","0.124983607957023","0.190621213498431"
"Important","1990","Not Employed","(Married) couple without C. ","248","0.282201850003549","0.252329393039109","0.312074306967988"
"Important","1990","Not Employed","Single parent ","47","0.33193190260934","0.252788721757452","0.411075083461228"
"Important","1990","Not Employed","Couple + C. LE 16 ","129","0.370640894988817","0.320042120698678","0.421239669278955"
"Important","1990","Not Employed","Couple + C. GT 16 ","164","0.332597507052614","0.290272404235977","0.374922609869252"
"Important","1990","Not Employed","Couple + C. LE and GT 16","42","0.293902151077668","0.216188922501077","0.371615379654259"
"Important","1990","Employed","1-pers.-HH","107","0.245636433556457","0.205277087879805","0.285995779233109"
"Important","1990","Employed","(Married) couple without C. ","320","0.275070320990767","0.249193859608176","0.300946782373358"
"Important","1990","Employed","Single parent ","80","0.325652560928271","0.267908551501764","0.383396570354779"
"Important","1990","Employed","Couple + C. LE 16 ","431","0.39652778983452","0.367802068168811","0.42525351150023"
"Important","1990","Employed","Couple + C. GT 16 ","381","0.359782538250301","0.33072550649556","0.388839570005041"
"Important","1990","Employed","Couple + C. LE and GT 16","122","0.40429271064155","0.349306753336337","0.459278667946763"
"Less important","1990","Not Employed","1-pers.-HH","120","0.258759368876023","0.219333019111153","0.298185718640893"
"Less important","1990","Not Employed","(Married) couple without C. ","173","0.201407808174826","0.174788882109004","0.228026734240648"
"Less important","1990","Not Employed","Single parent ","49","0.341789269729057","0.2620742187985","0.421504320659615"
"Less important","1990","Not Employed","Couple + C. LE 16 ","107","0.311284885482057","0.262776938653338","0.359792832310776"
"Less important","1990","Not Employed","Couple + C. GT 16 ","130","0.283359556817561","0.242877347715693","0.323841765919428"
"Less important","1990","Not Employed","Couple + C. LE and GT 16","57","0.446324708427946","0.3615211332253","0.531128283630593"
"Less important","1990","Employed","1-pers.-HH","203","0.450938507308062","0.40428583482671","0.497591179789414"
"Less important","1990","Employed","(Married) couple without C. ","458","0.410131741093963","0.381629810167895","0.43863367202003"
"Less important","1990","Employed","Single parent ","94","0.366718140394994","0.307336450703679","0.426099830086309"
"Less important","1990","Employed","Couple + C. LE 16 ","320","0.278032100497293","0.251722641965894","0.304341559028691"
"Less important","1990","Employed","Couple + C. GT 16 ","326","0.30859301391288","0.280627205606143","0.336558822219616"
