"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(0) in school","Female","1587.93","736","93","307","307","2014","3743","8160","1105.99","2069.87","0","17564","736","1595"
"1984","(0) in school","Male","1315.9","736","95","0","307","1595","3860","6780","967.07","1664.73","0","9545","736","736"
"1984","(1a) inadequately completed","Female","1893.74","736","620","0","0","2280","5767","12774","1696.22","2091.26","0","17363","736","777"
"1984","(1a) inadequately completed","Male","1933.42","736","495","0","0","2454","5215","16760","1703.23","2163.61","0","19215","511","736"
"1984","(1b) general elementary school","Female","777.62","0","2027","0","0","736","2516","8099","696.64","858.6","0","15441","307","307"
"1984","(1b) general elementary school","Male","1111.91","307","988","0","0","1002","3860","8895","978.05","1245.77","0","17363","307","736"
"1984","(1c) basic vocational qualification","Female","764.29","307","1736","0","0","736","2280","7005","687.64","840.94","0","13279","307","307"
"1984","(1c) basic vocational qualification","Male","851.4","307","2533","0","0","798","2608","8181","782.09","920.71","0","17564","307","307"
"1984","(2a) intermediate vocational","Female","670.1","0","803","0","0","736","1851","5829","570.26","769.94","0","16760","98","307"
"1984","(2a) intermediate vocational","Male","707.82","307","608","0","0","736","2045","7149","577.67","837.97","0","16760","307","307"
"1984","(2b) intermediate general qualification","Female","922.72","307","297","0","0","920","2454","9019","731.45","1113.99","0","10891","307","736"
"1984","(2b) intermediate general qualification","Male","1150.95","736","180","0","307","1595","3200","8160","901.94","1399.96","0","13279","470","736"
"1984","(2c_gen) general maturity certificate","Female","1427.28","736","177","0","0","2270","4013","7149","1032.81","1821.75","0","17564","736","920"
"1984","(2c_gen) general maturity certificate","Male","1348.3","736","238","0","0","1595","3865","8590","1042.62","1653.98","0","17564","736","736"
"1984","(2c_voc) vocational maturity certificate","Female","947.91","0","175","0","0","736","3467","9592","622.77","1273.05","0","10560","0","307"
"1984","(2c_voc) vocational maturity certificate","Male","924.13","307","281","0","0","736","3559","7363","697.99","1150.27","0","9847","307","307"
"1984","(3a) lower tertiary education","Female","667.59","0","74","0","0","736","2086","6810","379.41","955.77","0","6810","0","307"
"1984","(3a) lower tertiary education","Male","714.68","307","192","0","0","736","1726","6780","476.39","952.97","0","17486","0","307"
"1984","(3b) higher tertiary education","Female","682.63","307","182","0","0","736","2147","5215","508.22","857.04","0","9326","0","307"
"1984","(3b) higher tertiary education","Male","777.65","307","345","0","0","736","2168","5875","628.23","927.07","0","10635","307","736"
"1985","(0) in school","Female","2398.19","743.15","75","307","307","2270","6688","29911","1481.08","3315.3","0","29911","736","1509"
"1985","(0) in school","Male","1444.43","802.31","112","307","307","1687","3062","8642","1109.04","1779.82","0","9964","736","920"
"1985","(1a) inadequately completed","Female","1823.92","920","515","0","0","2325","5057","11596","1610.71","2037.13","0","18320","920","920"
"1985","(1a) inadequately completed","Male","1382.2","446.54","402","0","0","2055","3959","9434","1166.07","1598.33","0","15952","736","920"
"1985","(1b) general elementary school","Female","769.75","0","1757","0","0","736","2454","8642","681.07","858.43","0","16361","307","307"
"1985","(1b) general elementary school","Male","1271.79","307","876","0","0","1240","3835","11596","1115.44","1428.14","0","16361","374","798"
"1985","(1c) basic vocational qualification","Female","804.28","307","1567","0","0","920","2292","7964","714.37","894.19","0","29911","307","307"
"1985","(1c) basic vocational qualification","Male","778.81","307","2270","0","0","920","2270","7363","707.42","850.2","0","16566","307","307"
"1985","(2a) intermediate vocational","Female","639.84","0","767","0","0","736","1963","5696","545.74","733.94","0","11565","307","307"
"1985","(2a) intermediate vocational","Male","720.36","307","577","0","0","813","2178","6377","602.11","838.61","0","11565","307","307"
"1985","(2b) intermediate general qualification","Female","1031.71","307","296","0","0","920","3236","6887","782.56","1280.86","0","18320","307","736"
