"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1987","Not Employed","in school","1686.04","736","179","307","307","2331","4540","10308","1331.58","2040.5","0","15682","736","920"
"1987","Not Employed","inadequately","2815.43","1546.24","291","0","307","3988","8160","14688","2409.01","3221.85","0","27309","920","1841"
"1987","Not Employed","middle vocational","847.64","0","1599","0","0","736","2672","8896","737.01","958.27","0","20656","0","307"
"1987","Not Employed","vocational + Abi","1176.19","0","72","0","0","1227","4233","15682","496.61","1855.77","0","15682","0","307"
"1988","Employed","general elemantary","1055.27","307","1527","0","0","971","3272","9633","953.15","1157.39","0","18959","307","552"
"1988","Employed","higher education","751.14","307","572","0","0","736","2173","7160","620.16","882.12","0","15715","307","307"
"1988","Employed","higher vocational","614.22","307","390","0","0","736","1841","5461","484.64","743.8","0","11044","307","307"
"1988","Employed","in school","","","","","","","","","","","","","",""
"1988","Employed","inadequately","1526.2","780.09","402","0","0","2117","4724","8661","1298.12","1754.28","0","13849","614","920"
"1988","Employed","middle vocational","766.48","307","3250","0","0","920","2270","7579","713.06","819.9","0","14897","307","307"
"1988","Employed","vocational + Abi","752.87","307","200","0","0","736","2209","8027","495.1","1010.64","0","9754","307","307"
"1988","Not Employed","general elemantary","849.36","0","1213","0","0","515","3068","10241","704.87","993.85","0","22266","178","307"
"1988","Not Employed","higher education","572.45","0","130","0","0","307","1473","11044","214.26","930.64","0","13455","0","307"
"1988","Not Employed","higher vocational","941.45","0","151","0","0","920","3375","10737","594.74","1288.16","0","13805","0","307"
"1988","Not Employed","in school","1608.85","736","155","307","307","1595","3743","11044","1293.94","1923.76","0","11044","736","920"
"1988","Not Employed","inadequately","2599.83","1047.62","300","0","307","4295","7721","13547","2216.57","2983.09","0","15185","920","2246"
"1988","Not Employed","middle vocational","795.3","0","1507","0","0","417","2516","10737","679.43","911.17","0","22266","0","307"
"1988","Not Employed","vocational + Abi","864.46","0","71","0","0","307","2270","18959","31.81","1697.11","0","19947","0","307"
"1989","Employed","general elemantary","1034.42","307","1441","0","0","920","2976","9751","922.92","1145.92","0","15952","307","429"
"1989","Employed","higher education","666.87","307","574","0","0","736","1902","5369","564.51","769.23","0","11473","307","307"
"1989","Employed","higher vocational","667.52","307","374","0","0","736","2048","6800","515.69","819.35","0","11044","307","307"
"1989","Employed","in school","","","","","","","","","","","","","",""
"1989","Employed","inadequately","1284.23","307","372","0","0","1841","3681","9817","1056.25","1512.21","0","13396","307","920"
"1989","Employed","middle vocational","806.61","307","3183","0","0","920","2270","8086","744.96","868.26","0","21469","307","307"
"1989","Employed","vocational + Abi","1081.55","0","212","0","0","920","3068","13089","758.64","1404.46","0","13273","0","307"
"1989","Not Employed","general elemantary","927.6","0","1148","0","0","380","3390","11412","764.21","1090.99","0","21469","0","307"
"1989","Not Employed","higher education","658.39","0","125","0","0","736","2352","8326","353.3","963.48","0","8994","0","0"
