"year","age_gr","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","(0) in school","1449.63","736","188","307","307","1697","3860","8160","1155.04","1744.22","0","17564","736","869"
"1984","16-34 y.","(1a) inadequately completed","1917.91","757","331","0","307","2454","5951","15441","1657.79","2178.03","0","17363","736","900"
"1984","16-34 y.","(1b) general elementary school","1585.46","736","938","0","307","2239","4520","9684","1441.17","1729.75","0","17363","736","777"
"1984","16-34 y.","(1c) basic vocational qualification","1194.9","307","1294","0","0","1534","3579","9482","1087.54","1302.26","0","12958","307","502"
"1984","16-34 y.","(2a) intermediate vocational","912.38","307","644","0","0","920","3190","6565","787.41","1037.35","0","13048","307","307"
"1984","16-34 y.","(2b) intermediate general qualification","1241","736","364","0","307","1595","3221","9019","1059.14","1422.86","0","13279","736","736"
"1984","16-34 y.","(2c_gen) general maturity certificate","1454.19","736","356","0","70","2045","3914","7915","1196.41","1711.97","0","17564","736","767"
"1984","16-34 y.","(2c_voc) vocational maturity certificate","1330.48","307","217","0","0","1784","4651","9592","1024.76","1636.2","0","10560","307","736"
"1984","16-34 y.","(3a) lower tertiary education","1165.06","307","70","0","0","1299","3758","17486","595.66","1734.46","0","17486","0","307"
"1984","16-34 y.","(3b) higher tertiary education","772.97","307","178","0","0","849","2812","5829","551.51","994.43","0","9684","0","307"
"1984","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"1984","35-65 y.","(1a) inadequately completed","2034.2","736","766","0","0","2884","5767","16760","1848.27","2220.13","0","19215","614","736"
"1984","35-65 y.","(1b) general elementary school","885.41","51.25","1589","0","0","767","3178","8160","794.37","976.45","0","13559","307","307"
"1984","35-65 y.","(1c) basic vocational qualification","850.92","307","2492","0","0","777","2454","7168","784.93","916.91","0","17564","307","307"
"1984","35-65 y.","(2a) intermediate vocational","669.07","307","621","0","0","736","1595","7056","546.88","791.26","0","16760","307","307"
"1984","35-65 y.","(2b) intermediate general qualification","463.97","307","81","0","0","460","920","6688","168.71","759.23","0","9545","0","307"
"1984","35-65 y.","(2c_gen) general maturity certificate","1079","515.97","52","0","0","1319","3528","8923","284.62","1873.38","0","17564","307","757"
"1984","35-65 y.","(2c_voc) vocational maturity certificate","796.84","307","198","0","0","736","2045","7149","539.8","1053.88","0","7751","307","307"
"1984","35-65 y.","(3a) lower tertiary education","655.66","307","173","0","0","736","1595","6780","480.34","830.98","0","6810","307","307"
"1984","35-65 y.","(3b) higher tertiary education","867.17","736","309","0","0","920","2270","5875","721.32","1013.02","0","10635","307","736"
"1984","66 and older","(0) in school","","","","","","","","","","","","","",""
"1984","66 and older","(1a) inadequately completed","","","","","","","","","","","","","",""
"1984","66 and older","(1b) general elementary school","286.81","0","488","0","0","0","687","4724","167.67","405.95","0","16760","0","0"
"1984","66 and older","(1c) basic vocational qualification","106.12","0","483","0","0","0","0","3165","58.7","153.54","0","5778","0","0"
"1984","66 and older","(2a) intermediate vocational","97.1","0","146","0","0","0","0","3068","15.46","178.74","0","4090","0","0"
"1984","66 and older","(2b) intermediate general qualification","301.63","0","32","0","0","0","687","3178","-16.31","619.57","0","3178","0","0"
"1984","66 and older","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1984","66 and older","(2c_voc) vocational maturity certificate","14.86","0","41","0","0","0","0","307","-6.27","35.99","0","307","0","0"
"1984","66 and older","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1984","66 and older","(3b) higher tertiary education","54.45","0","40","0","0","0","307","736","8.75","100.15","0","736","0","0"
"1985","16-34 y.","(0) in school","1819.02","781.88","187","307","307","2025","4602","10553","1401.33","2236.71","0","29911","736","920"
"1985","16-34 y.","(1a) inadequately completed","1860.88","920","251","0","0","2500","4985","9964","1571.92","2149.84","0","11662","920","1344"
"1985","16-34 y.","(1b) general elementary school","1733.92","920","798","0","307","2270","4571","12332","1564.9","1902.94","0","16361","920","920"
"1985","16-34 y.","(1c) basic vocational qualification","1085.26","307","1128","0","0","1345","2812","8749","977.45","1193.07","0","12424","307","614"
"1985","16-34 y.","(2a) intermediate vocational","834.46","307","603","0","0","920","2556","6197","722.22","946.7","0","10148","307","307"
"1985","16-34 y.","(2b) intermediate general qualification","1289.42","736","370","0","307","1473","3681","9510","1062.76","1516.08","0","18320","736","736"
"1985","16-34 y.","(2c_gen) general maturity certificate","1419.42","691.01","321","0","0","1968","4111","9510","1128.22","1710.62","0","18320","614","920"
"1985","16-34 y.","(2c_voc) vocational maturity certificate","1135.31","307","203","0","0","1473","4356","6221","836.42","1434.2","0","18320","307","736"
"1985","16-34 y.","(3a) lower tertiary education","781.68","134.21","63","0","0","767","2822","7792","413.54","1149.82","0","7792","0","307"
"1985","16-34 y.","(3b) higher tertiary education","456.32","0","177","0","0","644","1519","3620","318.81","593.83","0","6197","0","307"
"1985","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"1985","35-65 y.","(1a) inadequately completed","1555.78","736","649","0","0","2270","4129","11187","1373.83","1737.73","0","18320","736","920"
"1985","35-65 y.","(1b) general elementary school","911.99","0","1436","0","0","920","2773","9964","809.18","1014.8","0","16361","307","307"
"1985","35-65 y.","(1c) basic vocational qualification","875.45","307","2276","0","0","920","2331","7976","800.01","950.89","0","29911","307","307"
"1985","35-65 y.","(2a) intermediate vocational","725.73","307","602","0","0","736","1595","7117","609.36","842.1","0","11565","307","307"
"1985","35-65 y.","(2b) intermediate general qualification","455.54","0","77","0","0","736","1534","3988","163.26","747.82","0","9434","0","307"
"1985","35-65 y.","(2c_gen) general maturity certificate","871.72","307","50","0","0","920","2270","11662","16.34","1727.1","0","15247","307","920"
"1985","35-65 y.","(2c_voc) vocational maturity certificate","821.72","307","175","0","0","736","2270","8457","531.8","1111.64","0","9367","307","307"
"1985","35-65 y.","(3a) lower tertiary education","986.63","307","161","0","0","736","2270","9367","562.69","1410.57","0","29911","307","562"
"1985","35-65 y.","(3b) higher tertiary education","867.42","614","301","0","0","920","2270","6320","717.13","1017.71","0","9002","614","736"
"1985","66 and older","(0) in school","","","","","","","","","","","","","",""
"1985","66 and older","(1a) inadequately completed","","","","","","","","","","","","","",""
"1985","66 and older","(1b) general elementary school","238.83","0","399","0","0","0","558","4255","148.7","328.96","0","8457","0","0"
"1985","66 and older","(1c) basic vocational qualification","87.17","0","433","0","0","0","0","3068","40.77","133.57","0","4464","0","0"
"1985","66 and older","(2a) intermediate vocational","103.6","0","139","0","0","0","0","3246","20.14","187.06","0","3246","0","0"
"1985","66 and older","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","66 and older","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","66 and older","(2c_voc) vocational maturity certificate","21.32","0","37","0","0","0","0","307","-3.69","46.33","0","307","0","0"
"1985","66 and older","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","66 and older","(3b) higher tertiary education","31.78","0","32","0","0","0","0","479","-8.17","71.73","0","479","0","0"
"1986","16-34 y.","(0) in school","1512.35","736","189","307","307","1595","4540","10737","1169.15","1855.55","0","19867","736","920"
"1986","16-34 y.","(1a) inadequately completed","1796.35","920","233","0","307","2761","4832","9225","1433.69","2159.01","0","19867","920","1380"
"1986","16-34 y.","(1b) general elementary school","1433.54","736","787","0","307","1749","4141","9481","1280.27","1586.81","0","13766","736","920"
"1986","16-34 y.","(1c) basic vocational qualification","1027.14","307","1065","0","0","1115","3195","8651","913.8","1140.48","0","19867","307","307"
"1986","16-34 y.","(2a) intermediate vocational","938.43","307","592","0","0","920","2909","9469","796.94","1079.92","0","10321","307","307"
"1986","16-34 y.","(2b) intermediate general qualification","1269.6","736","365","0","307","1227","3681","9565","1041.66","1497.54","0","19243","429","767"
"1986","16-34 y.","(2c_gen) general maturity certificate","1241.73","307","348","0","0","1819","4258","7326","1016.28","1467.18","0","19243","307","736"
"1986","16-34 y.","(2c_voc) vocational maturity certificate","1081.51","307","211","0","0","971","4806","7271","815.61","1347.41","0","10321","307","542"
"1986","16-34 y.","(3a) lower tertiary education","787.59","159.04","65","0","0","920","3093","4835","514.1","1061.08","0","4835","0","736"
"1986","16-34 y.","(3b) higher tertiary education","631.85","0","164","0","0","736","2270","4540","404","859.7","0","10113","0","307"
"1986","35-65 y.","(0) in school","","","","","","","","","","","","","",""
"1986","35-65 y.","(1a) inadequately completed","1645.64","736","599","0","0","2270","4510","11332","1423.24","1868.04","0","19867","736","920"
"1986","35-65 y.","(1b) general elementary school","937.87","0","1329","0","0","920","3221","9590","831.5","1044.24","0","17075","307","307"
"1986","35-65 y.","(1c) basic vocational qualification","857.74","307","2173","0","0","920","2454","8311","788.3","927.18","0","19572","307","307"
"1986","35-65 y.","(2a) intermediate vocational","713.12","307","586","0","0","736","1819","7102","585.9","840.34","0","19016","307","307"
"1986","35-65 y.","(2b) intermediate general qualification","384.2","104.9","71","0","0","307","920","3170","-24.58","792.98","0","13832","0","307"
