"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","870.19","307","12231","0","0","798","2684","8160","836.25","904.13","0","19215","307","307"
"1985","863.87","307","11087","0","0","920","2454","8590","827.29","900.45","0","29911","307","307"
"1986","849.65","307","10643","0","0","920","2582","8385","812.7","886.6","0","19867","307","307"
"1987","884.59","307","10513","0","0","920","2479","8941","844.11","925.07","0","28095","307","307"
"1988","856.98","0","10022","0","0","920","2700","8835","816.05","897.91","0","22266","307","307"
"1989","903.68","0","9709","0","0","920","2761","10461","859.17","948.19","0","21469","307","307"
"1990","897.67","0","9517","0","0","798","2608","10222","852.02","943.32","0","31911","307","307"
"1991","901.94","0","9466","0","0","798","2822","9510","857.64","946.24","0","30371","307","307"
"1992","1066.94","126","13391","0","0","1104","3681","9806","1025.48","1108.4","0","29757","307","307"
"1993","1246.94","61.48","13178","0","0","1227","4111","11668","1197.84","1296.04","0","33370","429","429"
"1994","1406.64","0","12944","0","0","1227","4571","13928","1350.61","1462.67","0","36322","429","429"
"1995","1447.84","0","13370","0","0","1227","4841","14819","1391.04","1504.64","0","38664","429","429"
"1996","1663.78","307","13125","0","0","1336","5522","15952","1599.18","1728.38","0","39267","429","429"
"1997","2188.44","859","12915","0","0","2454","6554","17179","2119.38","2257.5","0","42053","1227","1227"
"1998","2256.22","801.87","14327","0","0","2700","6688","17220","2191.79","2320.65","0","48716","1350","1350"
"1999","2217.96","1092.91","13768","0","0","2700","6534","16678","2154.09","2281.83","0","38131","1350","1350"
"2000","2242.49","0","24266","0","0","3068","6659","16873","2193.8","2291.18","0","39208","1534","1534"
"2001","2379.01","818","22063","0","0","3313","6925","17067","2326.81","2431.21","0","61355","1657","1657"
"2002","2483.5","828","23157","0","0","3414","7300","17880","2433.81","2533.19","0","43764","1620","1620"
"2003","2724.05","1033.97","22297","0","0","3744","7936","18270","2669.85","2778.25","0","40572","1824","1848"
"2004","2832.04","1230","21733","0","0","3893","8262","17796","2775.31","2888.77","0","43273","1848","1848"
"2005","2905.07","1300","20812","0","0","4000","8423","19152","2845.98","2964.16","0","43824","1848","1848"
"2006","2985.17","1250","22381","0","0","4106","8541","20923","2925.54","3044.8","0","47076","1824","1848"
"2007","3030.84","1200","20965","0","0","3960","8444","21800","2967.78","3093.9","0","48420","1800","1848"
"2008","2822.29","924","19686","0","0","3699","7947","20858","2760.48","2884.1","0","40200","1712","1824"
"2009","2670.3","707.73","18363","0","0","3696","7692","20256","2607.63","2732.97","0","51016","1230","1620"
"2010","2904.63","984","24432","0","0","3993","8316","20964","2835.4","2973.86","0","53600","2500","2700"
"2011","2929.02","0","29015","0","0","4416","8520","21886","2860.71","2997.33","0","101700","2208","2220"
"2012","2820.12","0","28276","0","0","4416","8188","21457","2755.46","2884.78","0","63616","2208","2208"
"2013","2839.88","0","31316","0","0","4416","8248","22008","2775.24","2904.52","0","61701","2208","2209"
"2014","2939.74","0","27786","0","0","4416","8712","22380","2870.63","3008.85","0","49229","2208","2208"
"2015","2810.86","0","27512","0","0","4416","8388","22476","2742.27","2879.45","0","57400","2208","2208"
"2016","2898.4","0","24957","0","0","4416","8727","22680","2824.6","2972.2","0","62220","2232","2256"
"2017","2933.23","0","29452","0","0","4560","8624","24084","2850.6","3015.86","0","71887","2304","2304"
"2018","2974.23","0","29890","0","0","4560","9000","23400","2878.12","3070.34","0","135312","2328","2340"
"2019","3091.94","0","29667","0","0","4608","9108","25136","2999.6","3184.28","0","90144","2328","2328"
