"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2014","Employed","2845.41","1700","17817","0","0","4416","7776","19416","2771.82","2919","0","49229","2232","2688"
"2014","Not Employed","3091.2","0","9969","0","0","4416","10416","25152","2950.71","3231.69","0","48919","450","1671"
"2015","Employed","2681.8","1104","16663","0","0","4416","7108","18972","2609.92","2753.68","0","50691","2208","2220"
"2015","Not Employed","3011.57","0","10849","0","0","4416","10249","25896","2877.6","3145.54","0","57400","540","1800"
"2016","Employed","2722.35","1129","16166","0","0","4416","7104","18960","2646.67","2798.03","0","62220","2280","2280"
"2016","Not Employed","3197.1","0","8791","0","0","4416","10800","26580","3041.07","3353.13","0","62220","0","749"
"2017","Employed","2717.54","1140","18280","0","0","4440","7080","20600","2643.77","2791.31","0","70544","2280","2304"
"2017","Not Employed","3303.63","0","11172","0","0","4560","10596","28648","3127.33","3479.93","0","71887","2340","3351"
"2018","Employed","2746.28","1152","17969","0","0","4560","7128","20016","2666.34","2826.22","0","90840","2328","2328"
"2018","Not Employed","3381.65","0","11921","0","0","4608","11532","28128","3181.03","3582.27","0","135312","3960","4500"
"2019","Employed","2873.62","1164","18584","0","0","4608","7308","21686","2795.6","2951.64","0","58956","2328","2328"
"2019","Not Employed","3479.05","0","11083","0","0","4656","11961","31200","3278.28","3679.82","0","90144","3160","3938"
