"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","East Germany","Female","28.45","13","58","8","10","28","66","215","19.43","37.47","1","215","12","20"
"1999","East Germany","Male","33.83","15","70","3","9","33","77","256","15.76","51.9","1","511","12","26"
"1999","West Germany","Female","47.96","41","370","11","20","66","88","215","43.95","51.97","1","289","32","40"
"1999","West Germany","Male","63.97","41","286","7","18","77","137","297","56.17","71.77","1","614","26","40"
"2000","East Germany","Female","26.2","13","81","5","10","30","77","132","20.21","32.19","1","132","11","15"
"2000","East Germany","Male","19.85","13","79","3","5","22","53","128","13.51","26.19","1","152","10","15"
"2000","West Germany","Female","52.19","41","753","10","20","72","102","205","49.17","55.21","1","383","36","41"
"2000","West Germany","Male","63.51","40","604","8","16","86","148","314","57.97","69.05","1","511","31","41"
"2001","East Germany","Female","15.59","11","87","1","7","16","33","77","10.98","20.2","1","170","10","13"
"2001","East Germany","Male","18.53","14","86","2","5","26","38","77","11.68","25.38","1","271","11","15"
"2001","West Germany","Female","49.39","41","708","9","15","66","97","205","46.24","52.54","1","460","33","40"
"2001","West Germany","Male","55.02","41","538","8","18","75","127","225","50.24","59.8","1","463","31","41"
"2002","East Germany","Female","18.32","11","106","2","7","16","50","150","12.01","24.63","1","200","12","20"
"2002","East Germany","Male","20.72","15","93","2","5","30","50","120","14.25","27.19","1","250","11","18"
"2002","West Germany","Female","50.08","40","879","10","17","70","100","220","46.89","53.27","1","500","38","45"
"2002","West Germany","Male","58.58","40","698","10","18","77","142","300","53.33","63.83","1","636","40","50"
"2003","East Germany","Female","16.1","10","120","1","5","20","38","157","10.51","21.69","1","237","10","15"
"2003","East Germany","Male","23.37","12","85","2","5","28","50","230","13.74","33","1","230","11","16"
"2003","West Germany","Female","55.48","40","856","10","19","70","100","320","51.9","59.06","1","776","39","45"
"2003","West Germany","Male","53.94","35","668","7","15","73","125","260","49.16","58.72","1","600","35","45"
"2004","East Germany","Female","16.5","12","129","6","8","20","37","82","13.68","19.32","1","82","12","17"
"2004","East Germany","Male","25.04","10.11","112","2","5","30","40","300","14.66","35.42","1","390","10","17"
"2004","West Germany","Female","51.74","40","880","10","18","73","100","250","48.36","55.12","1","500","36","43"
"2004","West Germany","Male","53.67","35","692","8","15","70","120","312","48.17","59.17","1","800","35","45"
"2005","East Germany","Female","18.01","12","154","2","6","20","30","105","8.38","27.64","1","730","11","15"
"2005","East Germany","Male","15.19","11","123","1","5","20","30","60","11.97","18.41","1","117","10","13"
"2005","West Germany","Female","48.66","35","958","10","16","63","100","260","45.2","52.12","1","520","30","40"
"2005","West Germany","Male","51.44","30","703","8","13","60","110","300","46.56","56.32","1","573","30","40"
"2006","East Germany","Female","17.47","12","198","2","6","18","30","191","13.44","21.5","1","300","12","15"
"2006","East Germany","Male","16.52","12","143","2","6","20","35","100","13.35","19.69","1","100","11","15"
"2006","West Germany","Female","43.6","30","1205","9","15","60","92","230","40.96","46.24","1","429","29","32"
"2006","West Germany","Male","49.59","30","890","8","14","60","108","300","44.96","54.22","1","681","28","35"
"2007","East Germany","Female","24.13","12","221","2","8","20","30","100","8.75","39.51","1","1725","12","15"
"2007","East Germany","Male","17.47","12","170","4","10","20","30","93","13.03","21.91","1","300","12","15"
"2007","West Germany","Female","41.86","30","1211","8","13","60","86","189","39.18","44.54","1","560","28","34"
"2007","West Germany","Male","45.47","25","866","9","13","55","100","250","41.33","49.61","1","600","25","32"
"2008","East Germany","Female","15.65","13","262","1","8","20","28","60","14.07","17.23","1","101","12","15"
"2008","East Germany","Male","15.98","13","186","1","9","20","30","70","13.74","18.22","1","100","12","15"
"2008","West Germany","Female","37.63","25","1310","8","13","54","84","170","35.53","39.73","1","380","24","28"
"2008","West Germany","Male","44.98","25","934","9","12","52","95","389","41.5","48.46","1","530","24","30"
"2009","East Germany","Female","","","","","","","","","","","","","",""
"2009","East Germany","Male","","","","","","","","","","","","","",""
"2009","West Germany","Female","","","","","","","","","","","","","",""
"2009","West Germany","Male","","","","","","","","","","","","","",""
"2010","East Germany","Female","20.26","17","249","7","10","25","35","125","17.33","23.19","1","258","14","18"
"2010","East Germany","Male","23.94","12","207","3","6","22","30","100","8.67","39.21","1","1600","12","15"
"2010","West Germany","Female","38.72","25","1267","8","15","52","80","198","36.18","41.26","0","870","25","28"
"2010","West Germany","Male","40","24","885","8","12","50","86","234","36.59","43.41","0","620","21","26"
"2011","East Germany","Female","19.05","15","339","5","9","25","35","80","17.19","20.91","1","160","14","16"
"2011","East Germany","Male","19.44","15","244","4","10","25","35","74","16.82","22.06","1","240","15","17"
"2011","West Germany","Female","38.39","25","1638","9","14","50","80","230","36.34","40.44","1","600","25","27"
