"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","East Germany","31.44","15","128","5","9","32","66","215","20.78","42.1","1","511","13","20"
"1999","West Germany","54.98","41","656","10","19","76","102","281","50.89","59.07","1","614","31","38"
"2000","East Germany","22.94","13","160","3","7","26","56","132","18.62","27.26","1","152","11","15"
"2000","West Germany","57.27","41","1357","9","18","77","127","258","54.27","60.27","1","511","36","41"
"2001","East Germany","17.18","13","173","2","6","20","33","77","13.09","21.27","1","271","10","14"
"2001","West Germany","51.89","41","1246","8","16","67","102","222","49.16","54.62","1","463","33","40"
"2002","East Germany","19.56","12","199","2","6","24","50","120","15.08","24.04","1","250","12","15"
"2002","West Germany","53.75","40","1577","10","17","71","104","250","50.81","56.69","1","636","40","45"
"2003","East Germany","19.09","11","205","1","5","20","40","200","13.95","24.23","1","237","11","15"
"2003","West Germany","54.83","40","1524","8","16","70","108","280","51.92","57.74","1","776","39","42"
"2004","East Germany","20.37","11","241","2","6","24","39","200","15.32","25.42","1","390","12","15"
"2004","West Germany","52.59","38","1572","8","16","72","103","270","49.51","55.67","1","800","36","42"
"2005","East Germany","16.57","12","277","1","6","20","30","100","11.05","22.09","1","730","11","13"
"2005","West Germany","49.84","30","1661","9","15","60","100","300","46.97","52.71","1","573","30","40"
"2006","East Germany","17.05","12","341","2","6","20","33","191","14.37","19.73","1","300","12","15"
"2006","West Germany","46.16","30","2095","9","15","60","100","250","43.67","48.65","1","681","30","32"
"2007","East Germany","21.09","12","391","3","9","20","30","100","12.21","29.97","1","1725","12","15"
"2007","West Germany","43.36","28","2077","9","13","60","90","230","41.03","45.69","1","600","28","31"
"2008","East Germany","15.79","13","448","1","8","20","29","63","14.48","17.1","1","101","12","14"
"2008","West Germany","40.73","25","2244","8","12","54","87","250","38.83","42.63","1","530","25","28"
"2009","East Germany","","","","","","","","","","","","","",""
"2009","West Germany","","","","","","","","","","","","","",""
"2010","East Germany","22.11","15","456","4","9","25","35","125","15.02","29.2","1","1600","14","16"
"2010","West Germany","39.27","24.16","2152","8","13","50","80","224","37.22","41.32","0","870","25","27"
"2011","East Germany","19.21","15","583","4","10","25","35","80","17.67","20.75","1","240","15","16"
"2011","West Germany","38.48","25","2832","9","13","50","80","240","36.78","40.18","1","600","25","26"
"2012","East Germany","19.84","15","613","3","8","23","35","80","15.8","23.88","1","1200","15","16"
"2012","West Germany","36.52","25","3040","9","14","48","80","180","35.09","37.95","1","480","25","25"
"2013","East Germany","18.9","15","632","5","10","25","36","60","17.61","20.19","1","180","15","17"
"2013","West Germany","38.45","25","2937","9","14","50","80","200","36.98","39.92","0","500","25","28"
"2014","East Germany","19.09","15","774","4","10","24","35","60","17.5","20.68","1","428","15","18"
"2014","West Germany","34.48","25","4056","9","15","45","73","150","33.4","35.56","1","500","24","25"
"2015","East Germany","","","","","","","","","","","","","",""
"2015","West Germany","","","","","","","","","","","","","",""
"2016","East Germany","18.92","17","620","5","10","25","35","65","17.72","20.12","1","120","15","18"
"2016","West Germany","35.92","25","3195","10","15","46","74","200","34.7","37.14","1","540","25","25"
"2017","East Germany","","","","","","","","","","","","","",""
"2017","West Germany","","","","","","","","","","","","","",""
"2018","East Germany","19.69","16","790","4","10","26","35","100","18.37","21.01","1","218","15","18"
"2018","West Germany","37.1","26","3456","10","15","48","75","200","35.93","38.27","1","400","25","28"
