"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","16-34 y.","25.23","16.77","237","5","10","32","49","153","19.52","30.94","1","511","14","23"
"1999","35-65 y.","55.56","41","451","11","20","66","111","256","50.27","60.85","1","614","31","38"
"1999","66 and older","77.77","77","96","17","51","95","128","297","67.22","88.32","1","297","62","84"
"2000","16-34 y.","27.99","18","374","5","10","36","51","143","24.89","31.09","1","291","15","20"
"2000","35-65 y.","54.4","41","957","10","18","69","117","258","50.9","57.9","1","511","36","41"
"2000","66 and older","89.93","80","186","10","51","102","164","383","80.3","99.56","1","501","77","92"
"2001","16-34 y.","26.84","19","345","5","10","36","51","127","24.14","29.54","1","205","15","20"
"2001","35-65 y.","45.78","38","887","8","15","61","84","205","42.66","48.9","1","463","31","36"
"2001","66 and older","90.1","82","187","15","51","102","153","348","81.64","98.56","2","348","72","89"
"2002","16-34 y.","25.29","17","377","6","10","35","50","100","21.29","29.29","1","636","15","20"
"2002","35-65 y.","48.01","36","1138","10","16","60","95","250","44.95","51.07","1","510","35","40"
"2002","66 and older","87.13","79.06","261","15","45","103","170","300","78.1","96.16","2","500","80","95"
"2003","16-34 y.","25.79","16","384","4","10","30","55","164","22.9","28.68","1","200","15","20"
"2003","35-65 y.","46.16","38","1083","8","16","60","90","200","43.25","49.07","1","600","35","40"
"2003","66 and older","99.06","80.25","262","8","50","108","183","776","88.98","109.14","1","776","80","95"
"2004","16-34 y.","24.52","18","390","6","10","30","50","150","22.02","27.02","1","200","15","20"
"2004","35-65 y.","46.15","34","1132","9","15","60","85","250","42.61","49.69","1","800","32","40"
"2004","66 and older","84.96","79","291","6","50","100","155","381","76.57","93.35","1","486","75","85"
"2005","16-34 y.","24.12","16","437","4","10","28","50","140","21.56","26.68","1","232","15","18"
"2005","35-65 y.","44.42","30","1175","9","15","55","80","300","41.05","47.79","1","730","30","32"
"2005","66 and older","79.9","68","326","10","30","100","167","394","71.96","87.84","1","495","65","79"
"2006","16-34 y.","22.74","17","478","5","10","30","50","80","20.76","24.72","1","220","15","18"
"2006","35-65 y.","39.7","27","1539","8","13","50","80","193","37.25","42.15","1","550","25","30"
"2006","66 and older","77.08","64.92","419","10","18","98","150","360","69.24","84.92","1","681","63","74"
"2007","16-34 y.","23.97","20","450","5","10","30","50","100","21.92","26.02","1","177","15","20"
"2007","35-65 y.","38.93","25","1539","9","13","50","80","200","35.72","42.14","1","1725","24","28"
"2007","66 and older","64.1","59.17","479","9","14","86","140","300","57.8","70.4","1","450","50","64"
"2008","16-34 y.","22.95","16","474","5","10","30","50","116","21.05","24.85","1","161","15","18"
"2008","35-65 y.","32.74","20","1642","8","11","43","72","161","31.01","34.47","1","450","20","23"
"2008","66 and older","64.17","50","576","10","15","83","130","389","59.01","69.33","1","530","40","54"
"2009","16-34 y.","","","","","","","","","","","","","",""
"2009","35-65 y.","","","","","","","","","","","","","",""
"2009","66 and older","","","","","","","","","","","","","",""
"2010","16-34 y.","21.86","18","431","6","10","28","45","80","19.95","23.77","1","160","15","20"
"2010","35-65 y.","32.09","20","1595","8","12","40","65","185","29.6","34.58","1","1600","20","24"
"2010","66 and older","60.6","44.44","582","10","17","80","120","310","54.56","66.64","0","870","30","50"
"2011","16-34 y.","21.91","17","545","6","10","26","45","100","20.21","23.61","1","200","15","18"
"2011","35-65 y.","32.86","22","2083","8","13","40","70","163","31.33","34.39","1","450","20","24"
"2011","66 and older","53.04","30","787","10","15","70","110","350","48.61","57.47","1","600","29","37"
"2012","16-34 y.","24.32","18","537","5","9","30","45","170","22.37","26.27","1","208","15","19"
"2012","35-65 y.","31.01","22","2274","9","13","38","63","150","29.67","32.35","1","400","20","24"
"2012","66 and older","49.68","30","842","10","15","70","100","204","45.22","54.14","1","1200","27","35"
"2013","16-34 y.","23.95","18","494","5","10","32","50","120","22.06","25.84","1","180","15","20"
"2013","35-65 y.","31.26","23","2200","9","14","40","60","150","30.03","32.49","1","300","21","24"
"2013","66 and older","52.83","35","875","10","17","70","100","300","49.13","56.53","0","500","30","36"
"2014","16-34 y.","23.24","18","724","5","10","28","45","109","21.54","24.94","1","300","15","18"
"2014","35-65 y.","30.52","23","3164","8","13","39","60","140","29.49","31.55","1","428","22","24"
"2014","66 and older","43.51","29.22","942","10","15","60","90","213","40.46","46.56","1","500","25","31"
"2015","16-34 y.","","","","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","","","","",""
"2016","16-34 y.","24.68","18","473","5","10","28","46","130","22.49","26.87","1","350","16","20"
"2016","35-65 y.","30.32","24","2587","9","14","38","60","130","29.29","31.35","1","300","22","24"
"2016","66 and older","48.82","35","755","11","18","66","90","300","45.3","52.34","1","540","30","38"
"2017","16-34 y.","","","","","","","","","","","","","",""
"2017","35-65 y.","","","","","","","","","","","","","",""
"2017","66 and older","","","","","","","","","","","","","",""
"2018","16-34 y.","24.99","18","542","6","10","30","50","135","22.91","27.07","1","320","16","20"
"2018","35-65 y.","33.02","25","2871","8","14","40","65","180","31.88","34.16","1","375","24","25"
"2018","66 and older","45.16","30","833","12","17","60","91","217","42.36","47.96","1","400","28","35"
