"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","general elemantary","41.9","31","77","8","15","60","86","205","33.21","50.59","3","205","18","36"
"1999","higher education","49.89","36","148","8","14","77","111","205","42.31","57.47","1","215","26","36"
"1999","higher vocational","55.32","43.21","62","10","20","63","123","256","35.68","74.96","1","511","20","49"
"1999","in school","","","","","","","","","","","","","",""
"1999","inadequately","","","","","","","","","","","","","",""
"1999","middle vocational","56.68","41","411","10","18","77","101","297","51.13","62.23","1","614","27","38"
"1999","vocational + Abi","47.88","32.74","49","13","26","56","92","281","34.16","61.6","1","281","20","41"
"2000","general elemantary","48.11","28","90","5","10","77","107","268","38.09","58.13","1","268","15","34"
"2000","higher education","58.45","41","350","8","20","75","128","307","51.84","65.06","1","501","33","41"
"2000","higher vocational","66","41","141","8","18","66","153","511","54.78","77.22","1","511","26","49"
"2000","in school","","","","","","","","","","","","","",""
"2000","inadequately","","","","","","","","","","","","","",""
"2000","middle vocational","51.57","36","813","8","15","74","104","258","48.2","54.94","1","501","31","36"
"2000","vocational + Abi","56.01","43","103","8","20","75","128","256","45.01","67.01","1","358","28","46"
"2001","general elemantary","44.22","26.18","71","3","10","65","102","271","32.19","56.25","1","271","14","33"
"2001","higher education","50.65","35.42","322","8","15","66","118","217","44.67","56.63","1","463","28","41"
"2001","higher vocational","51.79","41.05","137","10","18","61","92","343","44.11","59.47","1","343","31","43"
"2001","in school","","","","","","","","","","","","","",""
"2001","inadequately","","","","","","","","","","","","","",""
"2001","middle vocational","48.39","36","766","7","15","66","102","200","45.22","51.56","1","460","26","35"
"2001","vocational + Abi","51.6","42.08","109","10","17","75","102","179","41.42","61.78","1","460","26","42"
"2002","general elemantary","61.73","48.71","82","8","15","100","171","200","49.9","73.56","2","250","20","50"
"2002","higher education","58.14","45","466","10","20","80","120","300","52.2","64.08","1","510","43","50"
"2002","higher vocational","52.56","35","163","10","16","60","102","300","44.26","60.86","1","350","30","50"
"2002","in school","","","","","","","","","","","","","",""
"2002","inadequately","","","","","","","","","","","","","",""
"2002","middle vocational","46.44","30","917","9","14","65","100","220","42.81","50.07","1","636","30","35"
"2002","vocational + Abi","54.26","43.94","131","11","20","75","100","200","45.31","63.21","1","290","35","50"
"2003","general elemantary","48.29","30","73","5","8","65","140","185","37.51","59.07","2","200","11","30"
"2003","higher education","53.09","38.5","436","6","15","73","120","250","46.89","59.29","1","600","39","50"
"2003","higher vocational","58.26","45","151","10","20","76","134","317","50.15","66.37","1","317","30","50"
"2003","in school","","","","","","","","","","","","","",""
"2003","inadequately","","","","","","","","","","","","","",""
"2003","middle vocational","51.25","30.17","908","6","15","70","100","300","47.7","54.8","1","776","30","38"
"2003","vocational + Abi","53.4","39.44","132","8","15","70","164","200","44.62","62.18","1","320","30","50"
"2004","general elemantary","39.02","24","90","5","8","61","100","150","31.32","46.72","1","150","17","38"
"2004","higher education","54.13","38","465","7","18","73","100","360","46.94","61.32","1","800","38","50"
"2004","higher vocational","55.78","37.18","166","10","18","65","142","312","47.78","63.78","1","312","25","45"
"2004","in school","","","","","","","","","","","","","",""
"2004","inadequately","","","","","","","","","","","","","",""
"2004","middle vocational","49.03","30","922","8","15","70","100","250","45.62","52.44","1","560","29","34"
"2004","vocational + Abi","45.61","30","141","6","13","60","81","250","35.47","55.75","1","479","25","40"
"2005","general elemantary","49.24","25","77","3","10","60","110","250","34.2","64.28","2","335","20","50"
"2005","higher education","51.07","35","469","8","15","60","100","320","44.37","57.77","1","730","30","46"
"2005","higher vocational","47.73","27.68","175","9","15","60","110","235","40.12","55.34","1","280","21","40"
"2005","in school","","","","","","","","","","","","","",""
"2005","inadequately","","","","","","","","","","","","","",""
"2005","middle vocational","45.51","26","1022","8","13","59","92","300","42.27","48.75","1","573","25","30"
"2005","vocational + Abi","48.06","27","164","8","15","65","120","200","39.53","56.59","1","380","25","37"
"2006","general elemantary","38.85","20.24","104","4","10","60","93","200","29.91","47.79","2","245","15","28"
