"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","Rural Area","51.24","34.77","222","8","13","61","102","256","43.79","58.69","1","511","20","31"
"1999","Urban Area","53.14","38","562","10","18","74","102","289","48.65","57.63","1","614","29","36"
"2000","Rural Area","46.4","31","354","8","12","66","100","256","40.67","52.13","1","501","24","31"
"2000","Urban Area","56.65","41","1163","8","16","76","128","268","53.5","59.8","1","511","33","41"
"2001","Rural Area","39.8","26","362","6","13","51","82","186","34.32","45.28","1","463","18","26"
"2001","Urban Area","51.85","41","1057","8","15","67","110","225","49.07","54.63","1","348","31","37"
"2002","Rural Area","39.67","26","438","7","12","55","85","200","35.5","43.84","1","250","22","30"
"2002","Urban Area","54.23","40","1338","10","17","70","110","250","50.93","57.53","1","636","40","46"
"2003","Rural Area","38.54","27.45","437","5","10","50","87","200","34.45","42.63","1","250","20","30"
"2003","Urban Area","56.13","40","1292","8","16","72","120","317","52.85","59.41","1","776","39","42"
"2004","Rural Area","40.58","28.08","467","6","12","53","100","190","36.26","44.9","1","479","20","29"
"2004","Urban Area","52.62","38","1346","8","15","70","100","312","49.19","56.05","1","800","35","40"
"2005","Rural Area","35.43","20","527","5","10","50","80","232","30.37","40.49","1","730","19","24"
"2005","Urban Area","50.54","30","1411","9","15","63","100","300","47.46","53.62","1","573","30","38"
"2006","Rural Area","34.6","20","680","5","10","45","80","220","31.34","37.86","1","307","18","22"
"2006","Urban Area","46.24","30","1756","8","15","60","100","250","43.46","49.02","1","681","28","31"
"2007","Rural Area","35.06","20","688","7","10","45","85","180","31.67","38.45","1","560","18","21"
"2007","Urban Area","43.07","26","1780","8","13","57","90","230","39.97","46.17","1","1725","25","30"
"2008","Rural Area","28.85","16","743","6","10","34","67","163","26.44","31.26","1","300","15","20"
"2008","Urban Area","41.27","25","1949","8","13","54","89","250","39.22","43.32","1","530","24","26"
"2009","Rural Area","","","","","","","","","","","","","",""
"2009","Urban Area","","","","","","","","","","","","","",""
"2010","Rural Area","34.05","20","704","8","11","40","70","224","28.95","39.15","1","1600","18","20"
"2010","Urban Area","38.17","22","1904","8","13","50","80","230","35.98","40.36","0","870","22","25"
"2011","Rural Area","28.47","20","1005","8","12","30","63","160","26.49","30.45","1","300","18","20"
"2011","Urban Area","38.68","25","2410","8","13","50","80","250","36.8","40.56","1","600","24","25"
"2012","Rural Area","29.28","19","1105","7","10","35","63","180","26.37","32.19","1","1200","18","20"
"2012","Urban Area","36.22","25","2548","8","14","45","80","180","34.69","37.75","1","480","24","25"
"2013","Rural Area","30.45","21","1088","8","12","38","65","150","28.65","32.25","1","280","20","23"
"2013","Urban Area","38","25","2481","9","14","50","80","240","36.39","39.61","0","500","24","25"
"2014","Rural Area","27.19","20","1550","7","11","31","54","138","25.7","28.68","1","428","20","20"
"2014","Urban Area","34.54","25","3280","9","15","45","73","150","33.33","35.75","1","500","23","25"
"2015","Rural Area","","","","","","","","","","","","","",""
"2015","Urban Area","","","","","","","","","","","","","",""
"2016","Rural Area","27.77","20","1217","8","12","35","58","100","26.29","29.25","1","333","20","20"
"2016","Urban Area","36.3","25","2598","10","15","46","75","212","34.93","37.67","1","540","25","25"
"2017","Rural Area","","","","","","","","","","","","","",""
"2017","Urban Area","","","","","","","","","","","","","",""
"2018","Rural Area","29.47","20","1473","8","12","35","60","154","27.82","31.12","1","400","20","23"
"2018","Urban Area","37.01","26","2773","10","15","49","76","200","35.76","38.26","1","375","25","28"
