"year","e11102","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","Employed","Full Time","45.64","31","392","8","14","56","82","215","39.77","51.51","1","614","23","31"
"1999","Employed","Not Working","","","","","","","","","","","","","",""
"1999","Employed","Part Time","45.51","31","191","9","15","57","92","297","39.14","51.88","2","297","26","36"
"1999","Not Employed","Full Time","","","","","","","","","","","","","",""
"1999","Not Employed","Not Working","68.09","60.15","201","10","27","88","128","256","60.68","75.5","1","289","36","57"
"1999","Not Employed","Part Time","","","","","","","","","","","","","",""
"2000","Employed","Full Time","47.15","31","732","7","13","60","102","268","42.94","51.36","1","511","26","31"
"2000","Employed","Not Working","","","","","","","","","","","","","",""
"2000","Employed","Part Time","46.44","36","360","8","15","61","92","256","42.19","50.69","1","314","29","36"
"2000","Not Employed","Full Time","","","","","","","","","","","","","",""
"2000","Not Employed","Not Working","71.39","66","425","10","26","97","138","258","66.03","76.75","1","501","51","66"
"2000","Not Employed","Part Time","","","","","","","","","","","","","",""
"2001","Employed","Full Time","39.26","28.43","686","8","14","51","77","205","36.01","42.51","1","463","24","28"
"2001","Employed","Not Working","","","","","","","","","","","","","",""
"2001","Employed","Part Time","39.58","27","342","8","14","53","82","200","35.57","43.59","1","343","22","31"
"2001","Not Employed","Full Time","","","","","","","","","","","","","",""
"2001","Not Employed","Not Working","71.92","65","391","7","31","99","145","348","66.21","77.63","1","460","51","61"
"2001","Not Employed","Part Time","","","","","","","","","","","","","",""
"2002","Employed","Full Time","40.42","28","826","8","14","50","80","200","36.66","44.18","1","636","28","32"
"2002","Employed","Not Working","","","","","","","","","","","","","",""
"2002","Employed","Part Time","40.16","30","446","8","13","51","80","200","36.03","44.29","1","400","30","40"
"2002","Not Employed","Full Time","","","","","","","","","","","","","",""
"2002","Not Employed","Not Working","72.6","65","504","10","25","95","150","300","66.71","78.49","1","500","60","70"
"2002","Not Employed","Part Time","","","","","","","","","","","","","",""
"2003","Employed","Full Time","38.88","25","763","7","13","50","80","200","35.65","42.11","1","450","25","30"
"2003","Employed","Not Working","","","","","","","","","","","","","",""
"2003","Employed","Part Time","49.58","30","457","6","15","60","90","600","44.01","55.15","1","776","27","37"
"2003","Not Employed","Full Time","","","","","","","","","","","","","",""
"2003","Not Employed","Not Working","70.53","63","509","7","20","95","144","317","65.04","76.02","1","380","55","67"
"2003","Not Employed","Part Time","","","","","","","","","","","","","",""
"2004","Employed","Full Time","40.54","25","815","8","15","50","85","230","36.61","44.47","1","800","25","30"
"2004","Employed","Not Working","","","","","","","","","","","","","",""
"2004","Employed","Part Time","42.93","30","475","7","14","57","80","250","38.22","47.64","1","600","27","35"
"2004","Not Employed","Full Time","","","","","","","","","","","","","",""
"2004","Not Employed","Not Working","66.78","60","523","6","20","86","120","381","60.88","72.68","1","500","55","65"
"2004","Not Employed","Part Time","","","","","","","","","","","","","",""
"2005","Employed","Full Time","39.91","23","841","7","13","50","75","300","36.1","43.72","1","730","23","26"
"2005","Employed","Not Working","","","","","","","","","","","","","",""
"2005","Employed","Part Time","36.79","25","520","8","12","50","80","200","32.9","40.68","1","495","25","30"
"2005","Not Employed","Full Time","","","","","","","","","","","","","",""
"2005","Not Employed","Not Working","64.31","55","577","9","18","85","140","350","58.63","69.99","1","560","50","60"
"2005","Not Employed","Part Time","","","","","","","","","","","","","",""
"2006","Employed","Full Time","36.04","24","1071","7","12","48","80","220","33.23","38.85","1","550","20","25"
