"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","inadequately","East Germany","","","","","","","","","","","","","",""
"2004","inadequately","West Germany","","","","","","","","","","","","","",""
"2004","middle vocational","East Germany","20.94","12","106","3","7","24","37","250","11.78","30.1","1","390","12","15"
"2004","middle vocational","West Germany","51.54","39","816","10","15","71","100","250","47.92","55.16","1","560","30","40"
"2004","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2004","vocational + Abi","West Germany","47.45","33.67","128","6","14","60","81","250","36.45","58.45","1","479","30","45"
"2005","general elemantary","East Germany","","","","","","","","","","","","","",""
"2005","general elemantary","West Germany","50.21","25","73","3","10","60","113","250","34.54","65.88","2","335","20","53"
"2005","higher education","East Germany","20.63","11.84","107","1","6","20","32","105","6.7","34.56","1","730","10","15"
"2005","higher education","West Germany","57.37","41.08","362","12","20","70","110","320","50","64.74","1","560","46","58"
"2005","higher vocational","East Germany","","","","","","","","","","","","","",""
"2005","higher vocational","West Germany","50.26","30","154","9","15","65","115","235","41.85","58.67","1","280","25","47"
"2005","in school","East Germany","","","","","","","","","","","","","",""
"2005","in school","West Germany","","","","","","","","","","","","","",""
"2005","inadequately","East Germany","","","","","","","","","","","","","",""
"2005","inadequately","West Germany","","","","","","","","","","","","","",""
"2005","middle vocational","East Germany","13.82","10","124","2","5","20","30","55","11.06","16.58","1","117","10","14"
"2005","middle vocational","West Germany","48.34","30","898","10","15","60","100","300","44.75","51.93","1","573","30","35"
"2005","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2005","vocational + Abi","West Germany","49.79","30","148","8","15","70","120","200","40.5","59.08","1","380","27","40"
"2006","general elemantary","East Germany","","","","","","","","","","","","","",""
"2006","general elemantary","West Germany","40.18","25","95","4","11","64","100","200","30.51","49.85","2","245","15","30"
"2006","higher education","East Germany","20.58","10","129","1","6","23","39","191","14.34","26.82","1","300","10","15"
"2006","higher education","West Germany","52.61","39","484","10","16","70","100","230","46.12","59.1","1","681","40","50"
