"year","e11103","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","Full Time","Rural Area","41.34","29.22","115","7","12","51","77","205","30.17","52.51","1","511","18","31"
"1999","Full Time","Urban Area","46.91","31","277","8","15","56","92","501","39.97","53.85","1","614","23","32"
"1999","Not Working","Rural Area","73.37","47.9","56","10","20","93","203","256","57.64","89.1","1","256","15","51"
"1999","Not Working","Urban Area","66.29","64","145","10","31","86","112","281","57.92","74.66","1","289","41","64"
"1999","Part Time","Rural Area","37.43","26.53","51","8","10","56","77","203","25.57","49.29","7","203","18","51"
"1999","Part Time","Urban Area","47.98","31.87","140","10","18","61","92","297","40.35","55.61","2","297","26","36"
"2000","Full Time","Rural Area","43.67","26","195","7","10","56","89","256","34.69","52.65","1","501","20","30"
"2000","Full Time","Urban Area","48.26","31","537","7","15","61","108","281","43.52","53","1","511","26","32"
"2000","Not Working","Rural Area","62.72","51","81","10","19","92","123","184","51.74","73.7","2","256","31","61"
"2000","Not Working","Urban Area","73.3","66","344","10","28","97","147","258","67.2","79.4","1","501","52","66"
"2000","Part Time","Rural Area","34.38","26","78","7","12","49","77","92","28.53","40.23","3","123","15","33"
"2000","Part Time","Urban Area","49.81","38.3","282","8","15","61","102","256","44.67","54.95","1","314","31","40"
"2001","Full Time","Rural Area","34.46","26","201","7","14","46","66","192","27.05","41.87","1","463","18","26"
"2001","Full Time","Urban Area","40.87","31","485","8","15","53","78","205","37.44","44.3","1","271","26","31"
"2001","Not Working","Rural Area","57.78","44.8","86","7","13","82","128","205","43.75","71.81","1","460","21","51"
"2001","Not Working","Urban Area","75.49","67.36","305","10","36","102","148","348","69.31","81.67","1","348","51","66"
"2001","Part Time","Rural Area","29.96","17","75","1","10","41","82","92","24.27","35.65","1","92","15","27"
"2001","Part Time","Urban Area","42.04","31","267","9","15","53","79","256","37.19","46.89","1","343","26","33"
"2002","Full Time","Rural Area","33.46","21.36","233","6","10","50","75","150","28.19","38.73","1","250","20","30"
"2002","Full Time","Urban Area","43.29","30","593","10","15","55","89","200","38.49","48.09","1","636","30","36"
"2002","Not Working","Rural Area","64.44","63.44","109","10","18","85","130","250","54.4","74.48","2","250","30","63"
"2002","Not Working","Urban Area","74.36","65","395","10","25","98","150","300","67.42","81.3","1","500","60","75"
"2002","Part Time","Rural Area","26.22","15.1","96","6","10","40","50","115","19.05","33.39","1","250","15","25"
"2002","Part Time","Urban Area","43.61","31.4","350","10","15","60","84","220","38.79","48.43","1","400","32","42"
"2003","Full Time","Rural Area","32.89","20","223","4","10","47","80","233","27.85","37.93","1","233","15","25"
"2003","Full Time","Urban Area","41.32","28","540","10","15","55","90","197","37.29","45.35","1","450","27","35"
"2003","Not Working","Rural Area","50.62","31.59","108","6","12","80","104","200","40.28","60.96","1","250","25","50"
"2003","Not Working","Urban Area","75.4","67.63","401","8","25","100","150","372","69.07","81.73","1","380","60","72"
