"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","college entrance qualification","Female","41.82","36","90","15","26","51","77","203","34.47","49.17","1","215","28","40"
"1999","college entrance qualification","Male","53.19","33","101","5","13","77","123","281","43.11","63.27","1","281","21","38"
"1999","lower secondary degree","Female","50.8","40.26","140","10","18","72","93","240","43.4","58.2","3","240","26","41"
"1999","lower secondary degree","Male","68.4","51","125","10","19","77","153","614","56.18","80.62","1","614","23","46"
"1999","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"1999","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"1999","Other degree","Female","","","","","","","","","","","","","",""
"1999","Other degree","Male","","","","","","","","","","","","","",""
"1999","secondary school degree","Female","47.72","44.56","166","10","18","66","82","137","42.23","53.21","1","289","31","41"
"1999","secondary school degree","Male","54.9","26","104","6","11","77","137","501","38.65","71.15","1","511","17","33"
"2000","college entrance qualification","Female","45.94","37.94","197","10","20","52","83","205","40.49","51.39","1","205","31","41"
"2000","college entrance qualification","Male","59.76","41","225","7","20","89","128","256","51.9","67.62","1","358","31","51"
"2000","lower secondary degree","Female","55.67","51","253","10","19","77","107","179","50.68","60.66","2","281","36","51"
"2000","lower secondary degree","Male","60.4","30.11","229","8","13","77","131","501","51.04","69.76","1","511","25","36"
"2000","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2000","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2000","Other degree","Female","","","","","","","","","","","","","",""
"2000","Other degree","Male","","","","","","","","","","","","","",""
"2000","secondary school degree","Female","49.54","41","352","9","15","70","102","230","44.88","54.2","1","383","31","40"
"2000","secondary school degree","Male","57.02","31","203","6","13","72","148","268","47.42","66.62","1","458","22","36"
"2001","college entrance qualification","Female","40.92","33","207","8","15","53","82","171","34.86","46.98","1","460","26","34"
"2001","college entrance qualification","Male","56.6","41","211","9","20","78","127","222","48.69","64.51","1","463","28","43"
"2001","lower secondary degree","Female","51.19","49","228","11","18","71","101","187","46.01","56.37","1","205","31","49"
"2001","lower secondary degree","Male","45.87","26.8","211","6","13","63","102","179","38.86","52.88","1","460","21","36"
"2001","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2001","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2001","Other degree","Female","","","","","","","","","","","","","",""
"2001","Other degree","Male","","","","","","","","","","","","","",""
"2001","secondary school degree","Female","48.64","36","328","7","14","66","97","348","44.05","53.23","1","348","26","36"
"2001","secondary school degree","Male","48.72","31","192","5","13","67","118","225","41.47","55.97","1","271","19","36"
"2002","college entrance qualification","Female","41.57","35","281","10","17","55","80","150","36.98","46.16","1","290","33","44"
"2002","college entrance qualification","Male","61.12","50","311","10","20","80","140","300","53.4","68.84","1","510","45","60"
"2002","lower secondary degree","Female","51.02","40","261","10","15","70","100","200","44.33","57.71","2","500","33","46"
"2002","lower secondary degree","Male","48.23","26","233","10","15","60","120","200","40.08","56.38","2","636","25","40"
"2002","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2002","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2002","Other degree","Female","","","","","","","","","","","","","",""
"2002","Other degree","Male","","","","","","","","","","","","","",""
"2002","secondary school degree","Female","49.54","40","408","9","14","70","100","250","44.96","54.12","1","380","30","43"
"2002","secondary school degree","Male","53.44","30","224","6","15","67","130","350","43.92","62.96","1","500","25","41"
"2003","college entrance qualification","Female","47.28","38.85","277","8","15","63","90","200","41.19","53.37","1","450","31","42"
"2003","college entrance qualification","Male","55.12","35","286","10","15","80","130","250","47.33","62.91","1","600","35","50"
"2003","lower secondary degree","Female","60.56","40","259","10","19","70","104","776","52.62","68.5","1","776","28","44"
"2003","lower secondary degree","Male","45.59","30","228","6","12","60","102","260","38.98","52.2","1","300","25","40"
"2003","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2003","Other degree","Female","","","","","","","","","","","","","",""
"2003","Other degree","Male","","","","","","","","","","","","","",""
"2003","secondary school degree","Female","49.12","38","408","5","13","70","100","372","44.84","53.4","1","372","30","40"
"2003","secondary school degree","Male","54.03","35","210","5","12","73","144","250","45.24","62.82","1","400","20","40"
"2004","college entrance qualification","Female","43.2","35","287","8","15","60","80","180","37.77","48.63","1","479","30","45"
"2004","college entrance qualification","Male","58.19","40","319","8","19","75","120","360","48.82","67.56","1","800","36","50"
"2004","lower secondary degree","Female","48.64","40","273","10","16","70","100","170","43.42","53.86","1","320","30","43"
"2004","lower secondary degree","Male","43.49","25","250","6","13","53","103","250","36.25","50.73","1","560","23","33"
"2004","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2004","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2004","Other degree","Female","","","","","","","","","","","","","",""
"2004","Other degree","Male","","","","","","","","","","","","","",""
"2004","secondary school degree","Female","53.2","38","407","8","15","73","100","381","47.82","58.58","1","500","30","40"
"2004","secondary school degree","Male","52.25","30.5","212","6","12","70","130","250","43.45","61.05","1","390","23","35"
"2005","college entrance qualification","Female","45.21","30.25","314","10","17","60","85","200","38.4","52.02","1","730","28","37"
"2005","college entrance qualification","Male","52.33","35","317","8","15","62","110","300","44.55","60.11","1","560","30","48"
"2005","lower secondary degree","Female","45.48","30","295","9","15","60","90","230","38.74","52.22","1","520","27","42"
"2005","lower secondary degree","Male","48.44","24.66","245","8","10","50","100","573","40.75","56.13","1","573","20","30"
"2005","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2005","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2005","Other degree","Female","","","","","","","","","","","","","",""
"2005","Other degree","Male","","","","","","","","","","","","","",""
"2005","secondary school degree","Female","48.31","30","457","9","14","60","100","290","43.68","52.94","1","500","26","33"
"2005","secondary school degree","Male","44.26","22.86","235","5","12","55","100","300","37.17","51.35","1","300","20","30"
"2006","college entrance qualification","Female","40.15","28","405","7","13","50","90","191","35.36","44.94","1","400","25","32"
"2006","college entrance qualification","Male","46.85","30","382","8","14","60","100","340","38.87","54.83","1","681","30","42"
"2006","lower secondary degree","Female","40.64","25","355","10","14","60","85","190","36.26","45.02","1","250","20","30"
"2006","lower secondary degree","Male","43.26","21.94","318","6","12","50","110","225","37.86","48.66","1","250","20","25"
"2006","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2006","Other degree","Female","40.36","19.98","32","10","15","47","76","340","17.6","63.12","1","340","15","60"
"2006","Other degree","Male","","","","","","","","","","","","","",""
"2006","secondary school degree","Female","42.23","28","587","7","12","60","93","230","38.7","45.76","1","429","23","30"
"2006","secondary school degree","Male","46.86","20","290","7","12","50","98","300","39.35","54.37","1","540","20","26"
"2007","college entrance qualification","Female","38.84","29","415","8","13","50","80","180","34.45","43.23","1","380","25","33"
"2007","college entrance qualification","Male","50.49","30","389","10","15","60","100","300","43.26","57.72","1","600","30","40"
"2007","lower secondary degree","Female","39.25","25","359","9","12","55","85","180","34.39","44.11","1","560","20","29"
"2007","lower secondary degree","Male","38.39","20","315","8","12","48","87","230","33.19","43.59","1","398","19","24"
"2007","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2007","Other degree","Female","45.84","19.21","34","8","13","60","150","300","25.22","66.46","2","300","17","60"
"2007","Other degree","Male","","","","","","","","","","","","","",""
"2007","secondary school degree","Female","41.8","25","596","8","12","60","90","189","35.22","48.38","1","1725","22","30"
"2007","secondary school degree","Male","36.7","20","298","7","10","50","89","250","30.92","42.48","1","350","20","26"
"2008","college entrance qualification","Female","35.43","25","450","7","13","50","80","180","31.78","39.08","1","380","20","27"
"2008","college entrance qualification","Male","46.58","30","402","8","15","55","97","280","40.73","52.43","1","530","25","38"
"2008","lower secondary degree","Female","34.85","20","418","9","12","50","80","170","31.3","38.4","1","258","19","23"
"2008","lower secondary degree","Male","38.54","20","353","9","11","40","87","389","34.04","43.04","1","389","17","20"
"2008","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2008","Other degree","Female","33.82","17","33","6","15","48","100","150","22.15","45.49","1","150","13","32"
"2008","Other degree","Male","","","","","","","","","","","","","",""
"2008","secondary school degree","Female","35.63","21","645","7","12","53","80","161","32.89","38.37","1","258","20","25"
"2008","secondary school degree","Male","43.22","20","323","6","12","50","90","400","37.93","48.51","1","400","18","22"
"2009","college entrance qualification","Female","","","","","","","","","","","","","",""
"2009","college entrance qualification","Male","","","","","","","","","","","","","",""
"2009","lower secondary degree","Female","","","","","","","","","","","","","",""
"2009","lower secondary degree","Male","","","","","","","","","","","","","",""
"2009","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2009","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2009","Other degree","Female","","","","","","","","","","","","","",""
"2009","Other degree","Male","","","","","","","","","","","","","",""
"2009","secondary school degree","Female","","","","","","","","","","","","","",""
"2009","secondary school degree","Male","","","","","","","","","","","","","",""
