"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","52.69","37","784","9","16","72","102","256","48.85","56.53","1","614","27","33"
"2000","54.42","38.22","1517","8","15","74","123","258","51.66","57.18","1","511","31","36"
"2001","49.14","36","1419","8","15","66","102","217","46.64","51.64","1","463","28","33"
"2002","50.85","36","1776","9","15","70","100","250","48.14","53.56","1","636","35","40"
"2003","51.83","35","1729","7","15","70","104","260","49.15","54.51","1","776","30","40"
"2004","49.63","34","1813","7","15","70","100","270","46.83","52.43","1","800","30","36"
"2005","46.7","28","1938","8","14","60","100","300","44.06","49.34","1","730","28","30"
"2006","43.1","27","2436","8","13","59","95","250","40.89","45.31","1","681","25","28"
"2007","40.99","25","2468","8","12","54","89","230","38.55","43.43","1","1725","24","26"
"2008","37.94","21","2692","8","12","50","84","230","36.3","39.58","1","530","20","23"
"2009","","","","","","","","","","","","","",""
"2010","37.14","21","2608","8","12","50","80","224","35.03","39.25","0","1600","20","24"
"2011","36.01","22","3415","8","12","45","80","227","34.56","37.46","1","600","20","24"
"2012","34.38","23","3653","8","12","42","76","180","32.99","35.77","1","1200","21","24"
"2013","35.9","24","3569","8","13","45","80","193","34.65","37.15","0","500","23","25"
"2014","32.41","23","4830","8","13","40","70","150","31.46","33.36","1","500","21","23"
"2015","","","","","","","","","","","","","",""
"2016","33.78","24","3815","9","15","40","70","187","32.73","34.83","1","540","23","25"
"2017","","","","","","","","","","","","","",""
"2018","34.67","25","4246","9","14","43","70","185","33.67","35.67","1","400","24","25"
