"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","16-34 y.","Female","28.64","23","131","9","11","37","51","153","22.96","34.32","1","230","15","31"
"1999","16-34 y.","Male","21.19","13","106","1","6","26","33","153","10.41","31.97","1","511","11","20"
"1999","35-65 y.","Female","47.38","40","244","12","20","57","82","240","42.28","52.48","1","289","31","40"
"1999","35-65 y.","Male","65.07","41.39","207","10","18","77","137","501","55.25","74.89","1","614","26","41"
"1999","66 and older","Female","63.78","70.6","53","17","40","87","98","139","53.79","73.77","8","153","51","79"
"1999","66 and older","Male","98.9","88.5","43","26","61","108","189","297","79.04","118.76","1","297","67","97"
"2000","16-34 y.","Female","29.61","17.08","210","6","10","36","61","143","26.22","33","1","143","14","21"
"2000","16-34 y.","Male","26.19","20","164","5","8","31","51","205","20.56","31.82","1","291","15","23"
"2000","35-65 y.","Female","49.01","41","527","10","20","66","92","205","45.75","52.27","1","281","36","43"
"2000","35-65 y.","Male","60.91","36","430","8","15","77","143","307","54.26","67.56","1","511","30","41"
"2000","66 and older","Female","80.77","77","97","10","51","102","147","205","68.93","92.61","2","383","69","92"
"2000","66 and older","Male","102.05","92","89","10","51","128","189","501","86.45","117.65","1","501","77","97"
"2001","16-34 y.","Female","24.32","18","217","5","10","34","51","78","21.54","27.1","1","170","14","18"
"2001","16-34 y.","Male","30.57","20","128","5","10","41","59","205","25.03","36.11","1","205","15","23"
"2001","35-65 y.","Female","44.79","41","482","9","15","61","79","164","41.15","48.43","1","460","31","41"
"2001","35-65 y.","Male","46.89","34.54","405","6","15","61","102","222","41.58","52.2","1","463","26","36"
"2001","66 and older","Female","86.27","77","96","18","51","102","145","348","75.31","97.23","3","348","69","87"
"2001","66 and older","Male","95.03","92","91","15","51","128","176","343","81.86","108.2","2","343","66","97"
"2002","16-34 y.","Female","23.64","15","226","5","10","35","50","100","20.54","26.74","1","150","15","20"
"2002","16-34 y.","Male","27.44","20","151","6","12","35","60","100","18.57","36.31","1","636","15","25"
"2002","35-65 y.","Female","45.77","38","621","10","17","60","80","250","42.28","49.26","1","380","35","44"
"2002","35-65 y.","Male","50.59","35","517","10","16","60","100","250","45.31","55.87","1","510","30","40"
"2002","66 and older","Female","76.01","74.48","138","17","40","99","140","185","65.25","86.77","7","500","70","90"
"2002","66 and older","Male","106.6","90","123","10","60","150","180","300","92.1","121.1","2","500","90","125"
"2003","16-34 y.","Female","27.01","16","217","4","10","30","63","164","23.34","30.68","1","170","15","20"
"2003","16-34 y.","Male","23.83","17.76","167","5","10","30","50","100","19.15","28.51","1","200","13","22"
"2003","35-65 y.","Female","46.41","40","621","9","19","65","88","187","42.95","49.87","1","450","37","40"
"2003","35-65 y.","Male","45.85","30","462","6","15","60","100","233","40.83","50.87","1","600","30","40"
"2003","66 and older","Female","97.69","78.5","138","13","47","102","172","776","83.49","111.89","1","776","70","90"
"2003","66 and older","Male","101.11","90","124","6","60","140","186","320","86.97","115.25","1","400","90","110"
"2004","16-34 y.","Female","22.8","17.58","216","5","10","27","50","100","19.82","25.78","1","200","15","20"
"2004","16-34 y.","Male","26.69","18","174","6","9","30","56","150","22.47","30.91","1","160","13","20"
"2004","35-65 y.","Female","45.61","37.6","648","10","16","60","81","230","41.8","49.42","1","500","34","40"
"2004","35-65 y.","Male","46.83","30","484","8","15","60","90","250","40.3","53.36","1","800","30","38"
