"plh0177","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","in school","Male","1","","","","0"
"0 Completely dissatisfied","1984","in school","Female","2","","","","0"
"0 Completely dissatisfied","1984","inadequately","Male","26","","","","0"
"0 Completely dissatisfied","1984","inadequately","Female","31","0.0565874243658357","0.0379909104947517","0.0751839382369198","0"
"0 Completely dissatisfied","1984","general elemantary","Male","41","0.0222003974056526","0.013636466371001","0.0307643284403041","0"
"0 Completely dissatisfied","1984","general elemantary","Female","46","0.0113363269561227","0.00700974790597805","0.0156629060062674","0"
"0 Completely dissatisfied","1984","middle vocational","Male","55","0.0108594574530156","0.00724416141196639","0.0144747534940648","0"
"0 Completely dissatisfied","1984","middle vocational","Female","45","0.0113002637464031","0.00718721026562163","0.0154133172271846","0"
"0 Completely dissatisfied","1984","vocational + Abi","Male","5","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","Female","3","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Male","1","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Female","2","","","","0"
"0 Completely dissatisfied","1984","higher education","Male","3","","","","0"
"0 Completely dissatisfied","1984","higher education","Female","2","","","","0"
"1 on Scale 1 to 10","1984","higher education","Male","4","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Female","17","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","Male","24","","","","1"
"1 on Scale 1 to 10","1984","higher education","Female","4","","","","1"
"1 on Scale 1 to 10","1984","in school","Male","","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Male","2","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Female","3","","","","1"
"1 on Scale 1 to 10","1984","in school","Female","","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Male","10","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Male","12","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Female","36","0.0140339764944705","0.00922662895273679","0.0188413240362043","1"
"1 on Scale 1 to 10","1984","middle vocational","Female","23","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Male","8","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Female","1","","","","1"
"10 Completely satisfied","1984","middle vocational","Male","984","0.333818991511594","0.317369122491573","0.350268860531615","10"
"10 Completely satisfied","1984","vocational + Abi","Male","52","0.293856425989156","0.229920510653656","0.357792341324655","10"
"10 Completely satisfied","1984","higher education","Female","91","0.378844677594068","0.319421098090352","0.438268257097783","10"
"10 Completely satisfied","1984","middle vocational","Female","892","0.367228029066722","0.348470337732974","0.385985720400469","10"
"10 Completely satisfied","1984","higher vocational","Male","132","0.356814011361387","0.308773718415273","0.404854304307502","10"
"10 Completely satisfied","1984","in school","Male","34","0.363654755885011","0.265886548143532","0.46142296362649","10"
"10 Completely satisfied","1984","in school","Female","33","0.371810987302244","0.269668802488943","0.473953172115544","10"
"10 Completely satisfied","1984","inadequately","Male","85","0.213884216544802","0.174946012363285","0.252822420726319","10"
"10 Completely satisfied","1984","general elemantary","Male","318","0.31969717978882","0.292589746545311","0.346804613032328","10"
"10 Completely satisfied","1984","general elemantary","Female","772","0.366256668618594","0.346567215906043","0.385946121331145","10"
"10 Completely satisfied","1984","vocational + Abi","Female","35","0.346658062288801","0.260424548895478","0.432891575682124","10"
"10 Completely satisfied","1984","higher education","Male","165","0.316378359270841","0.277007310651605","0.355749407890076","10"
"10 Completely satisfied","1984","inadequately","Female","130","0.194449168163151","0.162594706909331","0.226303629416971","10"
"10 Completely satisfied","1984","higher vocational","Female","104","0.394675660086691","0.336801186984473","0.452550133188908","10"
"2 on Scale 1 to 10","1984","in school","Male","","","","","2"
"2 on Scale 1 to 10","1984","inadequately","Male","17","","","","2"
"2 on Scale 1 to 10","1984","middle vocational","Female","42","0.0139677588035018","0.00940111877879451","0.0185343988282091","2"
"2 on Scale 1 to 10","1984","middle vocational","Male","59","0.0130449225362991","0.00908688193232301","0.0170029631402753","2"
"2 on Scale 1 to 10","1984","in school","Female","1","","","","2"
"2 on Scale 1 to 10","1984","vocational + Abi","Male","3","","","","2"
"2 on Scale 1 to 10","1984","higher education","Female","4","","","","2"
"2 on Scale 1 to 10","1984","general elemantary","Female","32","0.0090328645958995","0.00516628861366879","0.0128994405781302","2"
"2 on Scale 1 to 10","1984","inadequately","Female","24","","","","2"
"2 on Scale 1 to 10","1984","general elemantary","Male","37","0.022779946971435","0.0141075250563563","0.0314523688865138","2"
"2 on Scale 1 to 10","1984","vocational + Abi","Female","3","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","Male","4","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","Female","1","","","","2"
"2 on Scale 1 to 10","1984","higher education","Male","9","","","","2"
"3 on Scale 1 to 10","1984","in school","Female","2","","","","3"
"3 on Scale 1 to 10","1984","in school","Male","2","","","","3"
"3 on Scale 1 to 10","1984","inadequately","Male","28","","","","3"
"3 on Scale 1 to 10","1984","inadequately","Female","34","0.0541502909693882","0.0359351637456228","0.0723654181931536","3"
"3 on Scale 1 to 10","1984","general elemantary","Male","37","0.0198501509658595","0.0117424820722313","0.0279578198594878","3"
"3 on Scale 1 to 10","1984","general elemantary","Female","69","0.0248049576369506","0.0184487341282178","0.0311611811456834","3"
"3 on Scale 1 to 10","1984","vocational + Abi","Male","7","","","","3"
"3 on Scale 1 to 10","1984","vocational + Abi","Female","3","","","","3"
"3 on Scale 1 to 10","1984","higher vocational","Male","5","","","","3"
"3 on Scale 1 to 10","1984","higher vocational","Female","10","","","","3"
"3 on Scale 1 to 10","1984","middle vocational","Male","83","0.0210815955021769","0.0160704641690946","0.0260927268352591","3"
"3 on Scale 1 to 10","1984","middle vocational","Female","73","0.0224642629772254","0.0166979227073562","0.0282306032470945","3"
"3 on Scale 1 to 10","1984","higher education","Male","15","","","","3"
"3 on Scale 1 to 10","1984","higher education","Female","10","","","","3"
"4 on Scale 1 to 10","1984","middle vocational","Male","95","0.0259908328011948","0.0204407122028541","0.0315409533995355","4"
"4 on Scale 1 to 10","1984","higher education","Male","16","","","","4"
"4 on Scale 1 to 10","1984","general elemantary","Female","67","0.0215767540332738","0.0156387483406934","0.0275147597258542","4"
"4 on Scale 1 to 10","1984","higher vocational","Female","14","","","","4"
"4 on Scale 1 to 10","1984","higher vocational","Male","10","","","","4"
"4 on Scale 1 to 10","1984","in school","Female","2","","","","4"
"4 on Scale 1 to 10","1984","inadequately","Male","29","","","","4"
"4 on Scale 1 to 10","1984","inadequately","Female","40","0.074427067168576","0.053302319985603","0.0955518143515489","4"
"4 on Scale 1 to 10","1984","general elemantary","Male","44","0.0320837967643712","0.0218407391133176","0.0423268544154249","4"
"4 on Scale 1 to 10","1984","middle vocational","Female","67","0.0225625563021177","0.0167839049199577","0.0283412076842776","4"
"4 on Scale 1 to 10","1984","vocational + Abi","Male","8","","","","4"
"4 on Scale 1 to 10","1984","higher education","Female","13","","","","4"
"4 on Scale 1 to 10","1984","in school","Male","1","","","","4"
"4 on Scale 1 to 10","1984","vocational + Abi","Female","8","","","","4"
"5 on Scale 1 to 10","1984","in school","Male","5","","","","5"
"5 on Scale 1 to 10","1984","in school","Female","8","","","","5"
"5 on Scale 1 to 10","1984","middle vocational","Male","321","0.0928640536846965","0.0827396184360605","0.102988488933333","5"
"5 on Scale 1 to 10","1984","middle vocational","Female","215","0.0793658409812057","0.06884747661586","0.0898842053465514","5"
"5 on Scale 1 to 10","1984","vocational + Abi","Male","21","","","","5"
"5 on Scale 1 to 10","1984","vocational + Abi","Female","9","","","","5"
"5 on Scale 1 to 10","1984","higher vocational","Female","23","","","","5"
"5 on Scale 1 to 10","1984","higher education","Male","34","0.0594625160033222","0.0394419942646761","0.0794830377419683","5"
"5 on Scale 1 to 10","1984","higher education","Female","26","","","","5"
"5 on Scale 1 to 10","1984","inadequately","Male","58","0.126832752836277","0.0952312512476851","0.158434254424869","5"
"5 on Scale 1 to 10","1984","inadequately","Female","67","0.110860643855211","0.0855912770506236","0.136130010659799","5"
"5 on Scale 1 to 10","1984","general elemantary","Male","114","0.0859063011063869","0.0696180023583866","0.102194599854387","5"
"5 on Scale 1 to 10","1984","general elemantary","Female","208","0.0812290209398955","0.0700644145447232","0.0923936273350677","5"
"5 on Scale 1 to 10","1984","higher vocational","Male","35","0.087747984489229","0.0593758244935595","0.116120144484899","5"
"6 on Scale 1 to 10","1984","in school","Female","5","","","","6"
"6 on Scale 1 to 10","1984","higher education","Female","13","","","","6"
"6 on Scale 1 to 10","1984","in school","Male","8","","","","6"
"6 on Scale 1 to 10","1984","inadequately","Male","30","0.0768473174716111","0.051554662741257","0.102139972201965","6"
"6 on Scale 1 to 10","1984","inadequately","Female","46","0.103747704948718","0.0792048469932762","0.12829056290416","6"
"6 on Scale 1 to 10","1984","general elemantary","Male","68","0.0517712750741215","0.0388926694843388","0.0646498806639042","6"
"6 on Scale 1 to 10","1984","middle vocational","Female","137","0.052280776052501","0.0436191642555362","0.0609423878494658","6"
"6 on Scale 1 to 10","1984","vocational + Abi","Male","10","","","","6"
"6 on Scale 1 to 10","1984","vocational + Abi","Female","6","","","","6"
"6 on Scale 1 to 10","1984","higher vocational","Male","13","","","","6"
"6 on Scale 1 to 10","1984","higher vocational","Female","9","","","","6"
"6 on Scale 1 to 10","1984","higher education","Male","32","0.0564205350638577","0.0368873287678714","0.075953741359844","6"
"6 on Scale 1 to 10","1984","general elemantary","Female","118","0.0466731428034889","0.0380525206538509","0.0552937649531268","6"
"6 on Scale 1 to 10","1984","middle vocational","Male","192","0.0586273428059428","0.050432479845754","0.0668222057661316","6"
"7 on Scale 1 to 10","1984","inadequately","Male","45","0.0838692425537274","0.0575469698677695","0.110191515239685","7"
"7 on Scale 1 to 10","1984","in school","Female","10","","","","7"
"7 on Scale 1 to 10","1984","higher vocational","Male","34","0.0883638910080477","0.0599019453826883","0.116825836633407","7"
"7 on Scale 1 to 10","1984","in school","Male","13","","","","7"
"7 on Scale 1 to 10","1984","inadequately","Female","61","0.0860984714079649","0.0635213708809133","0.108675571935017","7"
"7 on Scale 1 to 10","1984","general elemantary","Male","116","0.102177543478259","0.0845723493109894","0.119782737645529","7"
"7 on Scale 1 to 10","1984","general elemantary","Female","196","0.083591138153173","0.072279931618102","0.0949023446882441","7"
"7 on Scale 1 to 10","1984","middle vocational","Male","343","0.10548215395752","0.0947670892136335","0.116197218701406","7"
"7 on Scale 1 to 10","1984","higher education","Male","56","0.112071712927944","0.0853660940411202","0.138777331814769","7"
"7 on Scale 1 to 10","1984","higher education","Female","17","","","","7"
"7 on Scale 1 to 10","1984","middle vocational","Female","230","0.0892718527521439","0.0781765409553789","0.100367164548909","7"
"7 on Scale 1 to 10","1984","vocational + Abi","Male","21","","","","7"
"7 on Scale 1 to 10","1984","vocational + Abi","Female","15","","","","7"
"7 on Scale 1 to 10","1984","higher vocational","Female","27","","","","7"
"8 on Scale 1 to 10","1984","general elemantary","Male","208","0.194178536423692","0.171185946916057","0.217171125931327","8"
"8 on Scale 1 to 10","1984","higher vocational","Female","47","0.159192718898188","0.115873298059309","0.202512139737067","8"
"8 on Scale 1 to 10","1984","inadequately","Female","90","0.158479604201112","0.12908688562521","0.187872322777013","8"
"8 on Scale 1 to 10","1984","in school","Male","12","","","","8"
"8 on Scale 1 to 10","1984","in school","Female","15","","","","8"
