"plh0177","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Not Employed","1-pers.-HH","8","","","","0"
"0 Completely dissatisfied","1984","Not Employed","(Married) couple without C. ","7","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Single parent ","6","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Couple + C. LE 16 ","33","0.0285715082715314","0.0176139545077621","0.0395290620353007","0"
"0 Completely dissatisfied","1984","Not Employed","Couple + C. GT 16 ","14","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Couple + C. LE and GT 16","14","","","","0"
"0 Completely dissatisfied","1984","Employed","1-pers.-HH","13","","","","0"
"0 Completely dissatisfied","1984","Employed","(Married) couple without C. ","27","","","","0"
"0 Completely dissatisfied","1984","Employed","Single parent ","11","","","","0"
"0 Completely dissatisfied","1984","Employed","Couple + C. LE 16 ","56","0.0141251348416778","0.00917487014767712","0.0190753995356785","0"
"0 Completely dissatisfied","1984","Employed","Couple + C. GT 16 ","20","","","","0"
"0 Completely dissatisfied","1984","Employed","Couple + C. LE and GT 16","29","","","","0"
"1 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","8","","","","1"
"1 on Scale 1 to 10","1984","Employed","Single parent ","1","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","16","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","10","","","","1"
"1 on Scale 1 to 10","1984","Employed","1-pers.-HH","14","","","","1"
"1 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","13","","","","1"
"1 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","37","0.0110372274735484","0.00665453304498664","0.0154199219021101","1"
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","9","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","8","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","9","","","","1"
"1 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","9","","","","1"
"10 Completely satisfied","1984","Employed","1-pers.-HH","179","0.277458279040708","0.243705848536826","0.311210709544589","10"
"10 Completely satisfied","1984","Employed","(Married) couple without C. ","505","0.372717394302673","0.348174220527282","0.397260568078065","10"
"10 Completely satisfied","1984","Employed","Single parent ","90","0.27136027565925","0.224507038768716","0.318213512549784","10"
"10 Completely satisfied","1984","Employed","Couple + C. LE 16 ","645","0.32622521161644","0.306558245838211","0.345892177394668","10"
"10 Completely satisfied","1984","Employed","Couple + C. GT 16 ","437","0.36013110133994","0.333925299804498","0.386336902875383","10"
"10 Completely satisfied","1984","Employed","Couple + C. LE and GT 16","307","0.297770452330135","0.270772076182839","0.32476882847743","10"
"10 Completely satisfied","1984","Not Employed","1-pers.-HH","233","0.374998008219556","0.337809155723156","0.412186860715955","10"
"10 Completely satisfied","1984","Not Employed","(Married) couple without C. ","511","0.438972480731278","0.410999054003966","0.46694590745859","10"
"10 Completely satisfied","1984","Not Employed","Single parent ","60","0.272522769175716","0.214727569748767","0.330317968602666","10"
"10 Completely satisfied","1984","Not Employed","Couple + C. LE 16 ","263","0.341202009812626","0.310018605097643","0.37238541452761","10"
"10 Completely satisfied","1984","Not Employed","Couple + C. GT 16 ","218","0.350821332621716","0.314952375353586","0.386690289889846","10"
"10 Completely satisfied","1984","Not Employed","Couple + C. LE and GT 16","173","0.318467740100129","0.281127815992871","0.355807664207386","10"
"2 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","16","","","","2"
"2 on Scale 1 to 10","1984","Employed","1-pers.-HH","12","","","","2"
"2 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","33","0.0179301715293856","0.0111946275564163","0.0246657155023549","2"
"2 on Scale 1 to 10","1984","Employed","Single parent ","6","","","","2"
"2 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","54","0.0160145712776421","0.0107486639100705","0.0212804786452136","2"
"2 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","19","","","","2"
"2 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","24","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","8","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","Single parent ","6","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","16","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","6","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","18","","","","2"
"3 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","37","0.0308743752040656","0.020661537719939","0.0410872126881921","3"
"3 on Scale 1 to 10","1984","Employed","1-pers.-HH","28","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","22","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","16","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","13","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","Single parent ","11","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","38","0.0308033547912072","0.0194389533049262","0.0421677562774883","3"
"3 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","24","","","","3"
"3 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","44","0.0199348929292867","0.0128400352721444","0.0270297505864289","3"
"3 on Scale 1 to 10","1984","Employed","Single parent ","18","","","","3"
"3 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","77","0.0267262008447271","0.0199605847124209","0.0334918169770334","3"
"3 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","31","0.0204810938674508","0.0127488664686689","0.0282133212662326","3"
"4 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","25","","","","4"
"4 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","35","0.0319073061371798","0.0203476437819748","0.0434669684923848","4"
"4 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","24","","","","4"
"4 on Scale 1 to 10","1984","Employed","1-pers.-HH","39","0.0550071087291899","0.0378201741861966","0.0721940432721833","4"
"4 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","43","0.0218193591389031","0.0144038701157992","0.029234848162007","4"
"4 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","18","","","","4"
"4 on Scale 1 to 10","1984","Not Employed","Single parent ","5","","","","4"
"4 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","72","0.0267537438230569","0.019984738179785","0.0335227494663288","4"
"4 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","21","","","","4"
"4 on Scale 1 to 10","1984","Employed","Single parent ","18","","","","4"
"4 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","46","0.0378602920995288","0.026591734130572","0.0491288500684856","4"
"4 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","41","0.0227591553816635","0.014617728853448","0.0309005819098791","4"
"5 on Scale 1 to 10","1984","Not Employed","Single parent ","27","","","","5"
