"plh0177","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Employed","Female","68","0.0141298954904228","0.00981411247540344","0.0184456785054421","0"
"0 Completely dissatisfied","1984","Employed","Male","103","0.0119617406033221","0.00883705961027039","0.0150864215963738","0"
"0 Completely dissatisfied","1984","Not Employed","Female","64","0.010405682388394","0.00695442354426841","0.0138569412325195","0"
"0 Completely dissatisfied","1984","Not Employed","Male","29","","","","0"
"1 on Scale 1 to 10","1984","Employed","Female","43","0.0152880125698246","0.010801484326784","0.0197745408128651","1"
"1 on Scale 1 to 10","1984","Employed","Male","47","0.00579843406220597","0.00361613534469175","0.0079807327797202","1"
"1 on Scale 1 to 10","1984","Not Employed","Female","42","0.00759796939681719","0.00464467837361512","0.0105512604200193","1"
"1 on Scale 1 to 10","1984","Not Employed","Male","15","","","","1"
"10 Completely satisfied","1984","Employed","Female","917","0.343295162328751","0.325933183291106","0.360657141366396","10"
"10 Completely satisfied","1984","Employed","Male","1359","0.317546807295144","0.304166628254128","0.33092698633616","10"
"10 Completely satisfied","1984","Not Employed","Female","1150","0.378954803996587","0.362455373084398","0.395454234908776","10"
"10 Completely satisfied","1984","Not Employed","Male","420","0.357783353160183","0.331815914639759","0.383750791680607","10"
"2 on Scale 1 to 10","1984","Employed","Female","57","0.0146624844998871","0.0102673054679235","0.0190576635318507","2"
"2 on Scale 1 to 10","1984","Employed","Male","101","0.014761998829553","0.0112957097806405","0.0182282878784654","2"
"2 on Scale 1 to 10","1984","Not Employed","Female","51","0.0106758079029371","0.00718051686787248","0.0141710989380016","2"
"2 on Scale 1 to 10","1984","Not Employed","Male","30","0.016070423557495","0.00925843457100615","0.0228824125439839","2"
"3 on Scale 1 to 10","1984","Employed","Female","103","0.0305863795496186","0.024289884396081","0.0368828747031562","3"
"3 on Scale 1 to 10","1984","Employed","Male","144","0.023986332609189","0.0195885729618112","0.0283840922565669","3"
"3 on Scale 1 to 10","1984","Not Employed","Male","33","0.0153786439026453","0.00871254252994207","0.0220447452753485","3"
"3 on Scale 1 to 10","1984","Not Employed","Female","100","0.0217694323565621","0.0168062775633631","0.0267325871497611","3"
"4 on Scale 1 to 10","1984","Employed","Female","108","0.0346353635478796","0.0279490637401016","0.0413216633556575","4"
"4 on Scale 1 to 10","1984","Employed","Male","168","0.0292678317652238","0.0244231349880054","0.0341125285424421","4"
"4 on Scale 1 to 10","1984","Not Employed","Female","104","0.0223822528169491","0.0173513017853358","0.0274132038485624","4"
"4 on Scale 1 to 10","1984","Not Employed","Male","36","0.0254339991393025","0.0169051344958932","0.0339628637827118","4"
"5 on Scale 1 to 10","1984","Employed","Male","472","0.0899592545497202","0.081735408772977","0.0981831003264633","5"
"5 on Scale 1 to 10","1984","Not Employed","Female","267","0.073237578821828","0.0643769437538205","0.0820982138898355","5"
"5 on Scale 1 to 10","1984","Not Employed","Male","118","0.0811258137375782","0.0663352125704765","0.0959164149046799","5"
"5 on Scale 1 to 10","1984","Employed","Female","291","0.0919807365247368","0.0814131393404745","0.102548333708999","5"
"6 on Scale 1 to 10","1984","Employed","Male","275","0.0564559557979045","0.049822228939816","0.0630896826559929","6"
"6 on Scale 1 to 10","1984","Employed","Female","163","0.0576469160350343","0.0491242563841447","0.066169575685924","6"
"6 on Scale 1 to 10","1984","Not Employed","Female","171","0.0457070079302222","0.0386039408396743","0.0528100750207701","6"
