"plh0177","year","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","264","0.0122531899518455","0.0102972579923926","0.0142091219112985","0"
"1 on Scale 1 to 10","1984","147","0.00898120726898301","0.00730389220763966","0.0106585223303264","1"
"10 Completely satisfied","1984","3846","0.347432940676055","0.338967405631471","0.355898475720639","10"
"2 on Scale 1 to 10","1984","239","0.0136313403087185","0.011569783748135","0.015692896869302","2"
"3 on Scale 1 to 10","1984","380","0.0236423896598633","0.0209411912500833","0.0263435880696434","3"
"4 on Scale 1 to 10","1984","416","0.0278040525099483","0.0248809954355185","0.0307271095843781","4"
"5 on Scale 1 to 10","1984","1148","0.0840616798889599","0.079128368953729","0.0889949908241908","5"
"6 on Scale 1 to 10","1984","691","0.0531759737761205","0.0491866553512503","0.0571652922009906","6"
"7 on Scale 1 to 10","1984","1193","0.0956435188064345","0.0904146957847542","0.100872341828115","7"
"8 on Scale 1 to 10","1984","2231","0.189402070234718","0.182435781866516","0.196368358602919","8"
"9 on Scale 1 to 10","1984","1598","0.143971636918354","0.137730138129348","0.150213135707359","9"
"0 Completely dissatisfied","1985","163","0.00884497695756805","0.00709333561116589","0.0105966183039702","0"
"1 on Scale 1 to 10","1985","101","0.00657612607258206","0.00506403341868067","0.00808821872648345","1"
"10 Completely satisfied","1985","3010","0.300017588223342","0.291444388061336","0.308590788385349","10"
"2 on Scale 1 to 10","1985","200","0.0136014775744873","0.0114345455234671","0.0157684096255075","2"
"3 on Scale 1 to 10","1985","361","0.0253270595564273","0.022387732704227","0.0282663864086276","3"
"4 on Scale 1 to 10","1985","347","0.0247726156920533","0.0218648131066036","0.0276804182775029","4"
"5 on Scale 1 to 10","1985","1021","0.0845771901823345","0.0793716772094589","0.0897827031552102","5"
"6 on Scale 1 to 10","1985","696","0.057468864674861","0.0531148468431824","0.0618228825065395","6"
"7 on Scale 1 to 10","1985","1230","0.113755322975402","0.10781529178219","0.119695354168615","7"
"8 on Scale 1 to 10","1985","2259","0.213404196168857","0.20573935196394","0.221069040373774","8"
"9 on Scale 1 to 10","1985","1588","0.151654581922085","0.144944309233175","0.158364854610995","9"
"0 Completely dissatisfied","1986","144","0.00937944775492434","0.00754314214430804","0.0112157533655406","0"
"1 on Scale 1 to 10","1986","84","0.0053928126294058","0.00399761373937966","0.00678801151943195","1"
"10 Completely satisfied","1986","2581","0.266981568920525","0.258554030373455","0.275409107467594","10"
"2 on Scale 1 to 10","1986","197","0.0142044912342688","0.011950205726904","0.0164587767416335","2"
"3 on Scale 1 to 10","1986","287","0.020711913342838","0.0179987995724579","0.023425027113218","3"
"4 on Scale 1 to 10","1986","316","0.0253628145325966","0.0223676349173497","0.0283579941478434","4"
"5 on Scale 1 to 10","1986","996","0.0856166083655766","0.0802863797776832","0.0909468369534701","5"
"6 on Scale 1 to 10","1986","726","0.0632315425117907","0.0585950914779615","0.0678679935456199","6"
"7 on Scale 1 to 10","1986","1343","0.124776206177194","0.118480736939006","0.131071675415381","7"
"8 on Scale 1 to 10","1986","2340","0.231229726901037","0.22319774384216","0.239261709959915","8"
"9 on Scale 1 to 10","1986","1571","0.153112867629844","0.146252912545548","0.159972822714139","9"
"0 Completely dissatisfied","1987","51","0.00627770671026998","0.00454064128115786","0.00801477213938209","0"
"1 on Scale 1 to 10","1987","41","0.00570285976162537","0.00404675581995618","0.00735896370329456","1"
"10 Completely satisfied","1987","2151","0.274967636277233","0.26514783642051","0.284787436133955","10"
"2 on Scale 1 to 10","1987","103","0.012344488106215","0.00991607572562482","0.0147729004868052","2"
"3 on Scale 1 to 10","1987","166","0.0211724745867964","0.0180063934042078","0.024338555769385","3"
"4 on Scale 1 to 10","1987","224","0.0271036224842429","0.0235322914098673","0.0306749535586184","4"
"5 on Scale 1 to 10","1987","563","0.0732526352353087","0.0675223603485952","0.0789829101220221","5"
"6 on Scale 1 to 10","1987","468","0.0585553620273916","0.0533916278410394","0.0637190962137438","6"
"7 on Scale 1 to 10","1987","913","0.113243051812973","0.106273718554053","0.120212385071893","7"
"8 on Scale 1 to 10","1987","1862","0.233240182408208","0.223939506556561","0.242540858259856","8"
"9 on Scale 1 to 10","1987","1400","0.174139980589736","0.165799604846276","0.182480356333196","9"
"0 Completely dissatisfied","1988","115","0.00549995130885677","0.00404881513629524","0.00695108748141829","0"
"1 on Scale 1 to 10","1988","81","0.00563012852194714","0.00416201555620207","0.00709824148769222","1"
"10 Completely satisfied","1988","2188","0.244592563224132","0.236158466187784","0.25302666026048","10"
"2 on Scale 1 to 10","1988","184","0.0125724495447025","0.0103862544670724","0.0147586446223327","2"
"3 on Scale 1 to 10","1988","270","0.0219739257975898","0.0190974853657242","0.0248503662294555","3"
"4 on Scale 1 to 10","1988","319","0.0296998237283837","0.0263689640883503","0.0330306833684171","4"
"5 on Scale 1 to 10","1988","871","0.0863149463885143","0.0808047433223728","0.0918251494546558","5"
"6 on Scale 1 to 10","1988","753","0.0675377336854508","0.0626137657517095","0.0724617016191921","6"
"7 on Scale 1 to 10","1988","1366","0.132835687799133","0.12617629819528","0.139495077402985","7"
"8 on Scale 1 to 10","1988","2307","0.23295033981483","0.224656230474757","0.241244449154903","8"
"9 on Scale 1 to 10","1988","1524","0.16039245018646","0.153192052732121","0.167592847640799","9"
"0 Completely dissatisfied","1989","123","0.00656621218686853","0.00495494948425622","0.00817747488948084","0"
"1 on Scale 1 to 10","1989","63","0.00364878096449806","0.00244590856631159","0.00485165336268454","1"
"10 Completely satisfied","1989","2015","0.23343739744506","0.224998252137641","0.24187654275248","10"
"2 on Scale 1 to 10","1989","184","0.0140902952487527","0.0117389410638211","0.0164416494336843","2"
"3 on Scale 1 to 10","1989","265","0.0204743744016941","0.0176491519048078","0.0232995968985803","3"
"4 on Scale 1 to 10","1989","314","0.0288130891004259","0.0254758620450346","0.0321503161558172","4"
"5 on Scale 1 to 10","1989","933","0.0931339703146607","0.0873361458822428","0.0989317947470786","5"
"6 on Scale 1 to 10","1989","702","0.0676277092788381","0.0626181853894162","0.0726372331682599","6"
"7 on Scale 1 to 10","1989","1259","0.124960197205166","0.118363308011012","0.13155708639932","7"
"8 on Scale 1 to 10","1989","2301","0.240278652343403","0.231755030118872","0.248802274567935","8"
"9 on Scale 1 to 10","1989","1493","0.166969321510632","0.159529058748767","0.174409584272496","9"
"0 Completely dissatisfied","1990","309","0.0144936025661434","0.0125058525241562","0.0164813526081306","0"
"1 on Scale 1 to 10","1990","151","0.00835609334321286","0.00684210201223196","0.00987008467419377","1"
"10 Completely satisfied","1990","2941","0.224676413959682","0.217734741577677","0.231618086341688","10"
"2 on Scale 1 to 10","1990","289","0.0159602896020214","0.0138759399734888","0.018044639230554","2"
"3 on Scale 1 to 10","1990","425","0.0263812932816582","0.0237157461311554","0.029046840432161","3"
"4 on Scale 1 to 10","1990","541","0.0351776229988462","0.0321135380459253","0.038241707951767","4"
"5 on Scale 1 to 10","1990","1388","0.0931178388761924","0.0882846279688639","0.097951049783521","5"
"6 on Scale 1 to 10","1990","1026","0.0700837670107681","0.0658378206211828","0.0743297134003534","6"
"7 on Scale 1 to 10","1990","1873","0.131897135612605","0.12626922553156","0.13752504569365","7"
"8 on Scale 1 to 10","1990","3046","0.224747848528336","0.217805392545979","0.231690304510693","8"
"9 on Scale 1 to 10","1990","1898","0.155108094220535","0.149087190549854","0.161128997891215","9"
"0 Completely dissatisfied","1991","225","0.010610321988728","0.0088896758512389","0.012330968126217","0"
"1 on Scale 1 to 10","1991","132","0.00677666661512883","0.00539890173016028","0.00815443150009738","1"
"10 Completely satisfied","1991","2501","0.210090527127458","0.203249276657941","0.216931777596976","10"
"2 on Scale 1 to 10","1991","259","0.0151090232310885","0.013060429363486","0.017157617098691","2"
"3 on Scale 1 to 10","1991","480","0.0281199173246505","0.0253436776568047","0.0308961569924964","3"
"4 on Scale 1 to 10","1991","496","0.0307441366696397","0.0278451650479666","0.0336431082913128","4"
"5 on Scale 1 to 10","1991","1323","0.0870094754957502","0.0822762193767875","0.0917427316147129","5"
"6 on Scale 1 to 10","1991","1112","0.0767237457591846","0.0722540874257346","0.0811934040926346","6"
"7 on Scale 1 to 10","1991","1882","0.13360923002984","0.127895512929557","0.139322947130124","7"
"8 on Scale 1 to 10","1991","3143","0.235385081327688","0.228260580435311","0.242509582220065","8"
"9 on Scale 1 to 10","1991","2068","0.165821874430843","0.159575990588138","0.172067758273547","9"
"0 Completely dissatisfied","1992","194","0.00846870636506848","0.00691142282076688","0.0100259899093701","0"
"1 on Scale 1 to 10","1992","132","0.00755496948630394","0.0060834177607435","0.00902652121186439","1"
"10 Completely satisfied","1992","2094","0.189886138904338","0.183220748258216","0.19655152955046","10"
"2 on Scale 1 to 10","1992","284","0.0148785697618269","0.0128211096678681","0.0169360298557858","2"
"3 on Scale 1 to 10","1992","518","0.0309513777915092","0.0280081849289289","0.0338945706540896","3"
"4 on Scale 1 to 10","1992","603","0.0376345180892228","0.0344003011858101","0.0408687349926356","4"
"5 on Scale 1 to 10","1992","1372","0.0888935553728519","0.084057117182699","0.0937299935630049","5"
"6 on Scale 1 to 10","1992","1164","0.0791797752369113","0.0745909607433865","0.0837685897304361","6"
