"plh0177","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"3 on Scale 1 to 10","1984","higher education","West Germany","25","","","","3"
"3 on Scale 1 to 10","1984","higher education","East Germany","","","","","3"
"4 on Scale 1 to 10","1984","middle vocational","West Germany","162","0.0244078341282786","0.0203997379589313","0.0284159302976259","4"
"4 on Scale 1 to 10","1984","higher education","West Germany","29","","","","4"
"4 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","higher vocational","West Germany","24","","","","4"
"4 on Scale 1 to 10","1984","in school","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","inadequately","West Germany","69","0.0840431918924236","0.0670078926959181","0.101078491088929","4"
"4 on Scale 1 to 10","1984","inadequately","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","general elemantary","West Germany","111","0.0242862840108383","0.0191399251736601","0.0294326428480166","4"
"4 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","vocational + Abi","West Germany","16","","","","4"
"4 on Scale 1 to 10","1984","higher education","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","in school","West Germany","3","","","","4"
"4 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","4"
"5 on Scale 1 to 10","1984","in school","West Germany","13","","","","5"
"5 on Scale 1 to 10","1984","in school","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","middle vocational","West Germany","536","0.086631285469496","0.0793249467043235","0.0939376242346686","5"
"5 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","vocational + Abi","West Germany","30","0.0670469924832898","0.0392952453733308","0.0947987395932487","5"
"5 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","higher education","West Germany","60","0.0687218315416574","0.0511031837397576","0.0863404793435572","5"
"5 on Scale 1 to 10","1984","higher education","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","inadequately","West Germany","125","0.117934011688176","0.0981310077805037","0.137737015595848","5"
"5 on Scale 1 to 10","1984","inadequately","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","general elemantary","West Germany","322","0.082435186285266","0.0732405826474528","0.0916297899230792","5"
"5 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","higher vocational","West Germany","58","0.0870137456437433","0.0654451324097063","0.10858235887778","5"
"6 on Scale 1 to 10","1984","in school","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","higher education","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","in school","West Germany","13","","","","6"
"6 on Scale 1 to 10","1984","inadequately","West Germany","76","0.091834667309142","0.0741031137859852","0.109566220832299","6"
"6 on Scale 1 to 10","1984","inadequately","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","general elemantary","West Germany","186","0.0479878364399756","0.0408421301971423","0.0551335426828089","6"
"6 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","vocational + Abi","West Germany","16","","","","6"
"6 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","higher vocational","West Germany","22","","","","6"
"6 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","higher education","West Germany","45","0.056146344312393","0.0401139430604704","0.0721787455643156","6"
"6 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","middle vocational","West Germany","329","0.0556968304184569","0.0497400673827595","0.0616535934541543","6"
"7 on Scale 1 to 10","1984","inadequately","West Germany","106","0.0851112407492854","0.067978035969169","0.102244445529402","7"
"7 on Scale 1 to 10","1984","in school","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","higher vocational","West Germany","61","0.0893333637791413","0.0675069327267058","0.111159794831577","7"
"7 on Scale 1 to 10","1984","in school","West Germany","23","","","","7"
"7 on Scale 1 to 10","1984","inadequately","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","general elemantary","West Germany","312","0.0883841540085703","0.0788944763133978","0.0978738317037427","7"
"7 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","middle vocational","West Germany","573","0.0979970852057462","0.0902747275950353","0.105719442816457","7"
"7 on Scale 1 to 10","1984","higher education","West Germany","73","0.0972418040383784","0.0766071247227666","0.11787648335399","7"
"7 on Scale 1 to 10","1984","higher education","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","vocational + Abi","West Germany","36","0.127832058345255","0.0907818423125865","0.164882274377923","7"
"7 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","7"
"8 on Scale 1 to 10","1984","general elemantary","West Germany","629","0.190386933482596","0.177261439756196","0.203512427208996","8"
"8 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","inadequately","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","in school","West Germany","27","","","","8"
"8 on Scale 1 to 10","1984","in school","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","inadequately","West Germany","154","0.147345906123368","0.125583020642771","0.169108791603966","8"
"8 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","middle vocational","West Germany","1066","0.191905999300719","0.181677437423397","0.202134561178041","8"
"8 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","vocational + Abi","West Germany","55","0.195907225833004","0.151867044233237","0.239947407432771","8"
"8 on Scale 1 to 10","1984","higher vocational","West Germany","130","0.194566005957022","0.164272842310744","0.224859169603301","8"
"8 on Scale 1 to 10","1984","higher education","West Germany","156","0.186693308207336","0.159555357531659","0.213831258883014","8"
"8 on Scale 1 to 10","1984","higher education","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","8"
"9 on Scale 1 to 10","1984","in school","West Germany","25","","","","9"
"9 on Scale 1 to 10","1984","vocational + Abi","West Germany","39","0.128534353298107","0.0913974626946929","0.165671243901521","9"
"9 on Scale 1 to 10","1984","higher education","West Germany","122","0.164323668230184","0.138515652669367","0.190131683791002","9"
"9 on Scale 1 to 10","1984","in school","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","middle vocational","West Germany","748","0.14109079685304","0.132048842070645","0.150132751635435","9"
"9 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","general elemantary","West Germany","477","0.14999137866017","0.138054160284882","0.161928597035458","9"
"9 on Scale 1 to 10","1984","inadequately","West Germany","87","0.0964634007293281","0.0783368505418011","0.114589950916855","9"
"9 on Scale 1 to 10","1984","inadequately","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","higher vocational","West Germany","97","0.144219299509252","0.11733559543056","0.171103003587944","9"
"9 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","higher education","East Germany","","","","","9"
"0 Completely dissatisfied","1985","in school","West Germany","1","","","","0"
"0 Completely dissatisfied","1985","in school","East Germany","","","","","0"
"0 Completely dissatisfied","1985","inadequately","West Germany","38","0.0367598108765696","0.0240497984082847","0.0494698233448545","0"
"0 Completely dissatisfied","1985","inadequately","East Germany","","","","","0"
"0 Completely dissatisfied","1985","general elemantary","West Germany","62","0.0109852435410391","0.00727572012899622","0.0146947669530821","0"
"0 Completely dissatisfied","1985","general elemantary","East Germany","","","","","0"
"0 Completely dissatisfied","1985","middle vocational","West Germany","51","0.0075166637465839","0.00516000112598965","0.00987332636717816","0"
"0 Completely dissatisfied","1985","middle vocational","East Germany","","","","","0"
"0 Completely dissatisfied","1985","vocational + Abi","West Germany","6","","","","0"
"0 Completely dissatisfied","1985","vocational + Abi","East Germany","","","","","0"
"0 Completely dissatisfied","1985","higher vocational","West Germany","3","","","","0"
"0 Completely dissatisfied","1985","higher vocational","East Germany","","","","","0"
"0 Completely dissatisfied","1985","higher education","West Germany","1","","","","0"
"0 Completely dissatisfied","1985","higher education","East Germany","","","","","0"
"1 on Scale 1 to 10","1985","higher education","West Germany","5","","","","1"
"1 on Scale 1 to 10","1985","in school","West Germany","1","","","","1"
"1 on Scale 1 to 10","1985","inadequately","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","in school","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","inadequately","West Germany","15","","","","1"
"1 on Scale 1 to 10","1985","general elemantary","West Germany","21","","","","1"
"1 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","middle vocational","West Germany","50","0.00695697122703554","0.0046891052938756","0.00922483716019548","1"
"1 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","vocational + Abi","West Germany","5","","","","1"
"1 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","higher vocational","West Germany","1","","","","1"
"1 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","higher education","East Germany","","","","","1"
"10 Completely satisfied","1985","in school","West Germany","64","0.360905714816627","0.290549750157692","0.431261679475562","10"
"10 Completely satisfied","1985","in school","East Germany","","","","","10"
"10 Completely satisfied","1985","inadequately","West Germany","150","0.211452149623534","0.18387101528219","0.239033283964877","10"
"10 Completely satisfied","1985","general elemantary","West Germany","849","0.312751245506158","0.296251836420897","0.329250654591419","10"
"10 Completely satisfied","1985","general elemantary","East Germany","","","","","10"
"10 Completely satisfied","1985","middle vocational","West Germany","1460","0.29778914568263","0.285312109307219","0.310266182058041","10"
"10 Completely satisfied","1985","middle vocational","East Germany","","","","","10"
"10 Completely satisfied","1985","vocational + Abi","West Germany","64","0.234596397380174","0.184604517255866","0.284588277504483","10"
"10 Completely satisfied","1985","vocational + Abi","East Germany","","","","","10"
"10 Completely satisfied","1985","higher vocational","West Germany","199","0.336316207718619","0.299067744622158","0.373564670815081","10"
"10 Completely satisfied","1985","higher education","West Germany","192","0.267557317639555","0.235980391294543","0.299134243984566","10"
"10 Completely satisfied","1985","higher education","East Germany","","","","","10"
"10 Completely satisfied","1985","inadequately","East Germany","","","","","10"
"10 Completely satisfied","1985","higher vocational","East Germany","","","","","10"
"2 on Scale 1 to 10","1985","in school","West Germany","3","","","","2"
"2 on Scale 1 to 10","1985","inadequately","West Germany","28","","","","2"
"2 on Scale 1 to 10","1985","middle vocational","West Germany","74","0.0128312429805667","0.00976043043853289","0.0159020555226004","2"
"2 on Scale 1 to 10","1985","in school","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","inadequately","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","general elemantary","West Germany","59","0.0114894084688755","0.00769668320837149","0.0152821337293796","2"
"2 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","vocational + Abi","West Germany","7","","","","2"
"2 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","higher education","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","higher vocational","West Germany","9","","","","2"
"2 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","higher education","West Germany","16","","","","2"
"3 on Scale 1 to 10","1985","in school","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","in school","West Germany","5","","","","3"
"3 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","higher vocational","West Germany","10","","","","3"
"3 on Scale 1 to 10","1985","inadequately","West Germany","47","0.0582052882168493","0.0423909365857768","0.0740196398479218","3"
"3 on Scale 1 to 10","1985","inadequately","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","general elemantary","West Germany","110","0.0250818263604436","0.0195166933663713","0.0306469593545159","3"
"3 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","middle vocational","West Germany","148","0.0239294384828484","0.0197594956475802","0.0280993813181166","3"
"3 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","vocational + Abi","West Germany","19","","","","3"
"3 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","higher education","West Germany","19","","","","3"
"3 on Scale 1 to 10","1985","higher education","East Germany","","","","","3"
"4 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","middle vocational","West Germany","151","0.0258493170656128","0.0215195867477959","0.0301790473834298","4"
"4 on Scale 1 to 10","1985","in school","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","inadequately","West Germany","54","0.0633458784854832","0.0468930393619479","0.0797987176090186","4"
"4 on Scale 1 to 10","1985","inadequately","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","general elemantary","West Germany","90","0.0206796387242441","0.0156150317164398","0.0257442457320483","4"
"4 on Scale 1 to 10","1985","vocational + Abi","West Germany","5","","","","4"
"4 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","higher vocational","West Germany","15","","","","4"
"4 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","higher education","West Germany","25","","","","4"
"4 on Scale 1 to 10","1985","higher education","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","in school","West Germany","4","","","","4"
"5 on Scale 1 to 10","1985","in school","West Germany","9","","","","5"
"5 on Scale 1 to 10","1985","middle vocational","West Germany","473","0.0877830461295733","0.0800619735754987","0.0955041186836478","5"
"5 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","in school","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","inadequately","West Germany","107","0.132831217364349","0.109907030531348","0.155755404197349","5"
"5 on Scale 1 to 10","1985","inadequately","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","general elemantary","West Germany","293","0.0831774143348917","0.0733495931620485","0.0930052355077348","5"
"5 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","vocational + Abi","West Germany","19","","","","5"
"5 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","higher vocational","West Germany","45","0.068667519793141","0.0487295052348389","0.088605534351443","5"
"5 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","higher education","West Germany","64","0.0801526178059009","0.0607843242392607","0.0995209113725412","5"
"5 on Scale 1 to 10","1985","higher education","East Germany","","","","","5"
"6 on Scale 1 to 10","1985","in school","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","inadequately","West Germany","77","0.0737178547383626","0.0560676382803615","0.0913680711963636","6"
"6 on Scale 1 to 10","1985","inadequately","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","vocational + Abi","West Germany","23","","","","6"
"6 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","in school","West Germany","11","","","","6"
"6 on Scale 1 to 10","1985","general elemantary","West Germany","220","0.0648209356961887","0.0560586598391469","0.0735832115532304","6"
"6 on Scale 1 to 10","1985","higher education","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","middle vocational","West Germany","290","0.0526927949769951","0.0465968045244391","0.0587887854295511","6"
"6 on Scale 1 to 10","1985","higher vocational","West Germany","30","0.0505029633758352","0.0332382611853023","0.0677676655663681","6"
"6 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","higher education","West Germany","37","0.0507568243585431","0.0350997512977548","0.0664138974193313","6"
"7 on Scale 1 to 10","1985","inadequately","West Germany","87","0.0983282340412543","0.0782162275565125","0.118440240525996","7"
"7 on Scale 1 to 10","1985","in school","East Germany","","","","","7"
"7 on Scale 1 to 10","1985","in school","West Germany","13","","","","7"
"7 on Scale 1 to 10","1985","inadequately","East Germany","","","","","7"
"7 on Scale 1 to 10","1985","general elemantary","West Germany","333","0.114469143364479","0.103138411776915","0.125799874952043","7"
"7 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","7"
"7 on Scale 1 to 10","1985","middle vocational","West Germany","597","0.115661366620561","0.106935135749261","0.124387597491861","7"
"7 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","7"
"7 on Scale 1 to 10","1985","vocational + Abi","West Germany","31","0.102989745151349","0.067131482353781","0.138848007948916","7"
"7 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","7"
"7 on Scale 1 to 10","1985","higher vocational","West Germany","71","0.114289705158289","0.0892053318160358","0.139374078500543","7"
"7 on Scale 1 to 10","1985","higher education","West Germany","86","0.113936045551895","0.0912719850416017","0.136600106062187","7"
"7 on Scale 1 to 10","1985","higher education","East Germany","","","","","7"
