"plh0177","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","Male","63","0.0181465704963843","0.0126225654705277","0.0236705755222409","0"
"0 Completely dissatisfied","1984","16-34 y.","Female","74","0.0209937693148908","0.0151538004515496","0.026833738178232","0"
"0 Completely dissatisfied","1984","35-65 y.","Male","67","0.0108813523677375","0.00729245361355885","0.0144702511219162","0"
"0 Completely dissatisfied","1984","35-65 y.","Female","54","0.00947953123614812","0.00607503032223434","0.0128840321500619","0"
"0 Completely dissatisfied","1984","66 and older","Male","2","","","","0"
"0 Completely dissatisfied","1984","66 and older","Female","4","","","","0"
"1 on Scale 1 to 10","1984","16-34 y.","Male","28","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Female","47","0.0178524588925195","0.0124584708290533","0.0232464469559857","1"
"1 on Scale 1 to 10","1984","35-65 y.","Male","32","0.00482036720815618","0.00242436962235736","0.00721636479395501","1"
"1 on Scale 1 to 10","1984","35-65 y.","Female","35","0.00923760533933151","0.0058764177148019","0.0125987929638611","1"
"1 on Scale 1 to 10","1984","66 and older","Male","2","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Female","3","","","","1"
"10 Completely satisfied","1984","16-34 y.","Female","654","0.300130312874136","0.28146066548079","0.318799960267481","10"
"10 Completely satisfied","1984","16-34 y.","Male","544","0.255855539581594","0.237797961851294","0.273913117311894","10"
"10 Completely satisfied","1984","35-65 y.","Male","1006","0.345373569045341","0.328924667838315","0.361822470252367","10"
"10 Completely satisfied","1984","66 and older","Female","307","0.398929136481988","0.36427451770538","0.433583755258595","10"
"10 Completely satisfied","1984","35-65 y.","Female","1106","0.390161968787084","0.373024052534418","0.407299885039751","10"
"10 Completely satisfied","1984","66 and older","Male","229","0.453067392996166","0.409694225014013","0.496440560978318","10"
"2 on Scale 1 to 10","1984","16-34 y.","Male","64","0.0222239406848181","0.0161234651668689","0.0283244162027673","2"
"2 on Scale 1 to 10","1984","16-34 y.","Female","61","0.0215621512871994","0.0156453734895727","0.027478929084826","2"
"2 on Scale 1 to 10","1984","35-65 y.","Male","62","0.0116293832833249","0.00792057973436193","0.0153381868322878","2"
"2 on Scale 1 to 10","1984","35-65 y.","Female","42","0.00950534965014767","0.0060962600767897","0.0129144392235056","2"
"2 on Scale 1 to 10","1984","66 and older","Male","5","","","","2"
"2 on Scale 1 to 10","1984","66 and older","Female","5","","","","2"
"3 on Scale 1 to 10","1984","16-34 y.","Female","96","0.0373209244414687","0.0295996399241985","0.0450422089587389","3"
"3 on Scale 1 to 10","1984","35-65 y.","Male","84","0.0156431948215261","0.0113504549136027","0.0199359347294494","3"
"3 on Scale 1 to 10","1984","16-34 y.","Male","89","0.0358986757398097","0.0281996812632627","0.0435976702163567","3"
"3 on Scale 1 to 10","1984","35-65 y.","Female","98","0.0237609184036158","0.0184098807969589","0.0291119560102728","3"
"3 on Scale 1 to 10","1984","66 and older","Male","4","","","","3"
"3 on Scale 1 to 10","1984","66 and older","Female","9","","","","3"
"4 on Scale 1 to 10","1984","16-34 y.","Female","113","0.047729809213353","0.039045254864224","0.0564143635624821","4"
"4 on Scale 1 to 10","1984","35-65 y.","Female","88","0.020426330027672","0.015456494450461","0.0253961656048831","4"
"4 on Scale 1 to 10","1984","35-65 y.","Male","100","0.0235471425673266","0.0183016011339349","0.0287926840007184","4"
"4 on Scale 1 to 10","1984","16-34 y.","Male","95","0.0377084141519639","0.0298251526600843","0.0455916756438436","4"
"4 on Scale 1 to 10","1984","66 and older","Male","9","","","","4"
"4 on Scale 1 to 10","1984","66 and older","Female","11","","","","4"
"5 on Scale 1 to 10","1984","16-34 y.","Male","256","0.102752011391901","0.0901863640500661","0.115317658733735","5"
"5 on Scale 1 to 10","1984","16-34 y.","Female","265","0.111894940683968","0.0990536111606978","0.124736270207238","5"
"5 on Scale 1 to 10","1984","66 and older","Female","48","0.0611195586394457","0.044166593860072","0.0780725234188193","5"
"5 on Scale 1 to 10","1984","35-65 y.","Male","303","0.0843695755361288","0.0747545904625722","0.0939845606096854","5"
"5 on Scale 1 to 10","1984","35-65 y.","Female","245","0.0698464056209468","0.0608911567000552","0.0788016545418384","5"
"5 on Scale 1 to 10","1984","66 and older","Male","31","0.0601793429354961","0.0394579452090024","0.0809007406619898","5"
"6 on Scale 1 to 10","1984","35-65 y.","Female","173","0.051977528834757","0.0441784119939135","0.0597766456756005","6"
"6 on Scale 1 to 10","1984","16-34 y.","Female","133","0.0576262778627162","0.0481334750091592","0.0671190807162732","6"
"6 on Scale 1 to 10","1984","35-65 y.","Male","180","0.0499158034829513","0.0423823232158053","0.0574492837500973","6"
"6 on Scale 1 to 10","1984","16-34 y.","Male","157","0.0730995683113817","0.0623272940357523","0.0838718425870112","6"
"6 on Scale 1 to 10","1984","66 and older","Male","20","","","","6"
"6 on Scale 1 to 10","1984","66 and older","Female","28","","","","6"
"7 on Scale 1 to 10","1984","16-34 y.","Male","245","0.111192849598716","0.0981828987960228","0.12420280040141","7"
"7 on Scale 1 to 10","1984","16-34 y.","Female","197","0.0837598768152037","0.0724750405704951","0.0950447130599122","7"
"7 on Scale 1 to 10","1984","35-65 y.","Male","345","0.106584318579745","0.0959092907272346","0.117259346432256","7"
"7 on Scale 1 to 10","1984","35-65 y.","Female","303","0.0939338818395555","0.0836839877687282","0.104183775910383","7"
"7 on Scale 1 to 10","1984","66 and older","Male","43","0.0836980450365644","0.0595684631689526","0.107827626904176","7"
"7 on Scale 1 to 10","1984","66 and older","Female","60","0.0771768072888983","0.0582902385495491","0.0960633760282475","7"
"8 on Scale 1 to 10","1984","16-34 y.","Male","423","0.197697187854847","0.181215455503022","0.214178920206672","8"
"8 on Scale 1 to 10","1984","35-65 y.","Male","594","0.193204537561806","0.179546573699183","0.206862501424429","8"
"8 on Scale 1 to 10","1984","16-34 y.","Female","397","0.171766323199736","0.156401836858693","0.187130809540778","8"
"8 on Scale 1 to 10","1984","35-65 y.","Female","563","0.183491288123892","0.169891991924492","0.197090584323292","8"
"8 on Scale 1 to 10","1984","66 and older","Male","97","0.191795853720735","0.157491204976537","0.226100502464933","8"
"8 on Scale 1 to 10","1984","66 and older","Female","157","0.206691225816442","0.178034104754785","0.235348346878099","8"
"9 on Scale 1 to 10","1984","16-34 y.","Male","279","0.134132993201439","0.120029494658487","0.14823649174439","9"
"9 on Scale 1 to 10","1984","16-34 y.","Female","278","0.12936315541481","0.115692277196419","0.143034033633201","9"
"9 on Scale 1 to 10","1984","35-65 y.","Male","437","0.154030755545956","0.141543224387807","0.166518286704106","9"
"9 on Scale 1 to 10","1984","66 and older","Male","64","0.12868382046692","0.0995080257272202","0.15785961520662","9"
"9 on Scale 1 to 10","1984","35-65 y.","Female","405","0.138179192136849","0.126054852065266","0.150303532208432","9"
"9 on Scale 1 to 10","1984","66 and older","Female","135","0.179631866588539","0.152464565778262","0.206799167398817","9"
"0 Completely dissatisfied","1985","16-34 y.","Male","49","0.0146711299041675","0.00949416047224187","0.0198480993360931","0"
"0 Completely dissatisfied","1985","16-34 y.","Female","42","0.0152132058326523","0.0098991332753845","0.0205272783899201","0"
"0 Completely dissatisfied","1985","35-65 y.","Male","33","0.00598957830771041","0.00317545522100902","0.00880370139441179","0"
"0 Completely dissatisfied","1985","35-65 y.","Female","37","0.00838480922880881","0.0050476517896883","0.0117219666679293","0"
"0 Completely dissatisfied","1985","66 and older","Male","2","","","","0"
"0 Completely dissatisfied","1985","66 and older","Female","","","","","0"
"1 on Scale 1 to 10","1985","35-65 y.","Male","28","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","Female","22","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Male","22","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Female","28","","","","1"
