"plh0206i02","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","(0) in school","","","",""
"1 Strongly disagree","2005","Full Time","(1a) inadequately completed","8","","",""
"1 Strongly disagree","2005","Full Time","(1b) general elementary school","72","0.189971253551634","0.148815596697722","0.231126910405547"
"1 Strongly disagree","2005","Full Time","(1c) basic vocational qualification","329","0.185555826902078","0.167671288522691","0.203440365281464"
"1 Strongly disagree","2005","Full Time","(2b) intermediate general qualification","29","","",""
"1 Strongly disagree","2005","Full Time","(2a) intermediate vocational","347","0.141220556780077","0.127110461640218","0.155330651919937"
"1 Strongly disagree","2005","Full Time","(2c_gen) general maturity certificate","18","","",""
"1 Strongly disagree","2005","Full Time","(2c_voc) vocational maturity certificate","107","0.139522164257184","0.114283274060144","0.164761054454225"
"1 Strongly disagree","2005","Full Time","(3a) lower tertiary education","153","0.207244087552068","0.179882258622417","0.23460591648172"
"1 Strongly disagree","2005","Full Time","(3b) higher tertiary education","232","0.172913310665471","0.15302551281335","0.192801108517592"
"1 Strongly disagree","2005","Part Time","(0) in school","8","","",""
"1 Strongly disagree","2005","Part Time","(1a) inadequately completed","12","","",""
"1 Strongly disagree","2005","Part Time","(1b) general elementary school","84","0.24451896419307","0.199296792880371","0.289741135505769"
"1 Strongly disagree","2005","Part Time","(1c) basic vocational qualification","215","0.206903687726278","0.182789061719793","0.231018313732763"
"1 Strongly disagree","2005","Part Time","(2b) intermediate general qualification","26","","",""
"1 Strongly disagree","2005","Part Time","(2a) intermediate vocational","242","0.196312427381816","0.174860183455446","0.217764671308186"
"1 Strongly disagree","2005","Part Time","(2c_gen) general maturity certificate","35","0.116791060045142","0.0815467285148618","0.152035391575423"
"1 Strongly disagree","2005","Part Time","(2c_voc) vocational maturity certificate","78","0.247037792296944","0.205290871222372","0.288784713371515"
"1 Strongly disagree","2005","Part Time","(3a) lower tertiary education","70","0.227917305863828","0.183523580466519","0.272311031261137"
"1 Strongly disagree","2005","Part Time","(3b) higher tertiary education","110","0.218976565215342","0.185435834513044","0.252517295917641"
"1 Strongly disagree","2005","Not Working","(0) in school","81","0.152440862404698","0.122373341435841","0.182508383373554"
"1 Strongly disagree","2005","Not Working","(1a) inadequately completed","57","0.403348167560158","0.325868408037067","0.480827927083249"
"1 Strongly disagree","2005","Not Working","(1b) general elementary school","324","0.301953205897504","0.275476180634328","0.328430231160679"
"1 Strongly disagree","2005","Not Working","(1c) basic vocational qualification","732","0.279698231159093","0.263075834670864","0.296320627647323"
"1 Strongly disagree","2005","Not Working","(2b) intermediate general qualification","44","0.235834352443199","0.178142602579967","0.293526102306431"
"1 Strongly disagree","2005","Not Working","(2a) intermediate vocational","266","0.264295093506407","0.238618966651926","0.289971220360888"
"1 Strongly disagree","2005","Not Working","(2c_gen) general maturity certificate","47","0.157033971837226","0.117045355693206","0.197022587981245"
"1 Strongly disagree","2005","Not Working","(2c_voc) vocational maturity certificate","96","0.26399519413731","0.21949972896235","0.308490659312269"
"1 Strongly disagree","2005","Not Working","(3a) lower tertiary education","102","0.231162299254519","0.192720567699756","0.269604030809283"
"1 Strongly disagree","2005","Not Working","(3b) higher tertiary education","140","0.267707212671268","0.230397502712104","0.305016922630432"
"2 on scale 1-7 ","2005","Full Time","(0) in school","","","",""
"2 on scale 1-7 ","2005","Full Time","(1a) inadequately completed","13","","",""
"2 on scale 1-7 ","2005","Full Time","(1b) general elementary school","44","0.10975268143214","0.0769583875340328","0.142546975330247"
"2 on scale 1-7 ","2005","Full Time","(1c) basic vocational qualification","330","0.1775868349105","0.160005162382028","0.195168507438973"
"2 on scale 1-7 ","2005","Full Time","(2b) intermediate general qualification","35","0.132554136227054","0.0871224311300369","0.177985841324071"
"2 on scale 1-7 ","2005","Full Time","(2a) intermediate vocational","468","0.197257594462629","0.181134621287839","0.213380567637419"
"2 on scale 1-7 ","2005","Full Time","(2c_gen) general maturity certificate","36","0.165000530269794","0.107486491015427","0.222514569524162"
"2 on scale 1-7 ","2005","Full Time","(2c_voc) vocational maturity certificate","174","0.253727296070749","0.222030805343302","0.285423786798197"
"2 on scale 1-7 ","2005","Full Time","(3a) lower tertiary education","204","0.236679088800699","0.207986625948562","0.265371551652837"
"2 on scale 1-7 ","2005","Full Time","(3b) higher tertiary education","344","0.230611307287262","0.20845944888248","0.252763165692044"
"2 on scale 1-7 ","2005","Part Time","(0) in school","19","","",""
"2 on scale 1-7 ","2005","Part Time","(1a) inadequately completed","8","","",""
"2 on scale 1-7 ","2005","Part Time","(1b) general elementary school","45","0.120957831239166","0.0866490568599091","0.155266605618423"
"2 on scale 1-7 ","2005","Part Time","(1c) basic vocational qualification","210","0.172230971608945","0.149753696446268","0.194708246771622"
"2 on scale 1-7 ","2005","Part Time","(2b) intermediate general qualification","25","","",""
"2 on scale 1-7 ","2005","Part Time","(2a) intermediate vocational","269","0.208772599809935","0.186822191028917","0.230723008590953"
"2 on scale 1-7 ","2005","Part Time","(2c_gen) general maturity certificate","89","0.295260609702004","0.245203037921658","0.34531818148235"
"2 on scale 1-7 ","2005","Part Time","(2c_voc) vocational maturity certificate","102","0.194409348439964","0.156102895108967","0.232715801770961"
"2 on scale 1-7 ","2005","Part Time","(3a) lower tertiary education","85","0.252565035339978","0.20658446544248","0.298545605237477"
"2 on scale 1-7 ","2005","Part Time","(3b) higher tertiary education","135","0.250595604546466","0.215448746278873","0.285742462814059"
"2 on scale 1-7 ","2005","Not Working","(0) in school","98","0.14441273702936","0.115009386340111","0.173816087718609"
"2 on scale 1-7 ","2005","Not Working","(1a) inadequately completed","14","","",""
"2 on scale 1-7 ","2005","Not Working","(1b) general elementary school","206","0.177958402125789","0.15590054877268","0.200016255478898"
"2 on scale 1-7 ","2005","Not Working","(1c) basic vocational qualification","512","0.174556216333516","0.160498882873467","0.188613549793564"
"2 on scale 1-7 ","2005","Not Working","(2b) intermediate general qualification","40","0.169347358768867","0.118377273224017","0.220317444313717"
"2 on scale 1-7 ","2005","Not Working","(2a) intermediate vocational","225","0.195362342892403","0.172276074493708","0.218448611291099"
"2 on scale 1-7 ","2005","Not Working","(2c_gen) general maturity certificate","73","0.241032696207078","0.194023368104826","0.28804202430933"
"2 on scale 1-7 ","2005","Not Working","(2c_voc) vocational maturity certificate","83","0.215948508524834","0.174412494922439","0.257484522127228"
"2 on scale 1-7 ","2005","Not Working","(3a) lower tertiary education","95","0.203915763008652","0.167176366774671","0.240655159242633"
"2 on scale 1-7 ","2005","Not Working","(3b) higher tertiary education","121","0.220463642822336","0.185530622567103","0.25539666307757"
"3 on scale 1-7 ","2005","Full Time","(0) in school","","","",""
"3 on scale 1-7 ","2005","Full Time","(1a) inadequately completed","14","","",""
"3 on scale 1-7 ","2005","Full Time","(1b) general elementary school","59","0.191262155030623","0.149999821693288","0.232524488367958"
