"party","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"PDS/Linke","1984","1-pers.-HH","West Germany","","","","","5"
"PDS/Linke","1984","1-pers.-HH","East Germany","","","","","5"
"PDS/Linke","1984","(Married) couple without C. ","West Germany","","","","","5"
"PDS/Linke","1984","Couple + C. LE and GT 16","East Germany","","","","","5"
"SPD","1984","Single parent ","West Germany","151","0.479197734791296","0.421898281830094","0.536497187752497","2"
"SPD","1984","Single parent ","East Germany","","","","","2"
"SPD","1984","(Married) couple without C. ","East Germany","","","","","2"
"SPD","1984","Couple + C. LE 16 ","West Germany","895","0.50615960654525","0.481722931385371","0.530596281705129","2"
"SPD","1984","1-pers.-HH","West Germany","341","0.442711271424276","0.406947821506109","0.478474721342444","2"
"SPD","1984","1-pers.-HH","East Germany","","","","","2"
"SPD","1984","(Married) couple without C. ","West Germany","791","0.472110059039565","0.447724738246211","0.496495379832919","2"
"SPD","1984","Couple + C. GT 16 ","West Germany","505","0.457177621282703","0.426725125800645","0.487630116764762","2"
"SPD","1984","Couple + C. LE 16 ","East Germany","","","","","2"
"SPD","1984","Couple + C. GT 16 ","East Germany","","","","","2"
"SPD","1984","Couple + C. LE and GT 16","East Germany","","","","","2"
"SPD","1984","Couple + C. LE and GT 16","West Germany","336","0.366537678191486","0.331866719962617","0.401208636420354","2"
"AfD","1985","Couple + C. LE 16 ","West Germany","","","","","7"
"AfD","1985","(Married) couple without C. ","East Germany","","","","","7"
"AfD","1985","Single parent ","West Germany","","","","","7"
"AfD","1985","Single parent ","East Germany","","","","","7"
"AfD","1985","1-pers.-HH","West Germany","","","","","7"
"AfD","1985","1-pers.-HH","East Germany","","","","","7"
"AfD","1985","(Married) couple without C. ","West Germany","","","","","7"
"AfD","1985","Couple + C. LE 16 ","East Germany","","","","","7"
"AfD","1985","Couple + C. GT 16 ","West Germany","","","","","7"
"AfD","1985","Couple + C. GT 16 ","East Germany","","","","","7"
"AfD","1985","Couple + C. LE and GT 16","West Germany","","","","","7"
"AfD","1985","Couple + C. LE and GT 16","East Germany","","","","","7"
"CDU/CSU","1985","1-pers.-HH","West Germany","254","0.418433026331037","0.380712455897916","0.456153596764158","1"
"CDU/CSU","1985","1-pers.-HH","East Germany","","","","","1"
"CDU/CSU","1985","(Married) couple without C. ","West Germany","639","0.45336320763729","0.42792337086282","0.47880304441176","1"
"CDU/CSU","1985","Single parent ","East Germany","","","","","1"
"CDU/CSU","1985","Couple + C. LE 16 ","West Germany","480","0.390444974859569","0.364926723327563","0.415963226391575","1"
"CDU/CSU","1985","Couple + C. LE 16 ","East Germany","","","","","1"
"CDU/CSU","1985","Couple + C. LE and GT 16","East Germany","","","","","1"
"CDU/CSU","1985","Couple + C. GT 16 ","West Germany","424","0.454159228249985","0.423678648996152","0.484639807503818","1"
"CDU/CSU","1985","(Married) couple without C. ","East Germany","","","","","1"
"CDU/CSU","1985","Single parent ","West Germany","95","0.423544342233461","0.362047240869726","0.485041443597196","1"
