"party","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Full Time","West Germany","1179","0.444404541396213","0.426644255001246","0.46216482779118"
"CDU/CSU","1984","Full Time","East Germany","","","",""
"CDU/CSU","1984","Part Time","West Germany","381","0.418838988421481","0.38827550583752","0.449402471005441"
"CDU/CSU","1984","Part Time","East Germany","","","",""
"CDU/CSU","1984","Not Working","West Germany","1050","0.471499539490314","0.451647841702257","0.49135123727837"
"CDU/CSU","1984","Not Working","East Germany","","","",""
"SPD","1984","Full Time","West Germany","1576","0.471407572770795","0.453565712950519","0.489249432591072"
"SPD","1984","Full Time","East Germany","","","",""
"SPD","1984","Part Time","West Germany","485","0.45392373642052","0.423081266587702","0.484766206253338"
"SPD","1984","Part Time","East Germany","","","",""
"SPD","1984","Not Working","West Germany","1114","0.43382895642943","0.414119827584021","0.453538085274838"
"SPD","1984","Not Working","East Germany","","","",""
"FDP","1984","Full Time","West Germany","88","0.0335471013711875","0.0271113505028498","0.0399828522395252"
"FDP","1984","Full Time","East Germany","","","",""
"FDP","1984","Part Time","West Germany","21","","",""
"FDP","1984","Part Time","East Germany","","","",""
"FDP","1984","Not Working","West Germany","72","0.0318969843889889","0.0249087102552251","0.0388852585227527"
"FDP","1984","Not Working","East Germany","","","",""
"Grüne","1984","Full Time","West Germany","149","0.0461999937726378","0.0386970620224231","0.0537029255228525"
"Grüne","1984","Full Time","East Germany","","","",""
"Grüne","1984","Part Time","West Germany","105","0.0948854043327043","0.0767309774711121","0.113039831194296"
"Grüne","1984","Part Time","East Germany","","","",""
"Grüne","1984","Not Working","West Germany","177","0.056191154769853","0.0470329503359961","0.06534935920371"
"Grüne","1984","Not Working","East Germany","","","",""
"PDS/Linke","1984","Full Time","West Germany","","","",""
"PDS/Linke","1984","Full Time","East Germany","","","",""
"PDS/Linke","1984","Part Time","West Germany","","","",""
"PDS/Linke","1984","Part Time","East Germany","","","",""
"PDS/Linke","1984","Not Working","West Germany","","","",""
"PDS/Linke","1984","Not Working","East Germany","","","",""
"NPD Combination","1984","Full Time","West Germany","","","",""
"NPD Combination","1984","Full Time","East Germany","","","",""
"NPD Combination","1984","Part Time","West Germany","","","",""
"NPD Combination","1984","Part Time","East Germany","","","",""
"NPD Combination","1984","Not Working","West Germany","","","",""
"NPD Combination","1984","Not Working","East Germany","","","",""
"AfD","1984","Full Time","West Germany","","","",""
"AfD","1984","Full Time","East Germany","","","",""
"AfD","1984","Part Time","West Germany","","","",""
"AfD","1984","Part Time","East Germany","","","",""
"AfD","1984","Not Working","West Germany","","","",""
"AfD","1984","Not Working","East Germany","","","",""
"Other","1984","Full Time","West Germany","15","","",""
"Other","1984","Full Time","East Germany","","","",""
"Other","1984","Part Time","West Germany","9","","",""
"Other","1984","Part Time","East Germany","","","",""
"Other","1984","Not Working","West Germany","16","","",""
"Other","1984","Not Working","East Germany","","","",""
"CDU/CSU","1985","Full Time","West Germany","992","0.424000412834254","0.405149154134225","0.442851671534284"
"CDU/CSU","1985","Full Time","East Germany","","","",""
"CDU/CSU","1985","Part Time","West Germany","377","0.407299817887588","0.376553846009133","0.438045789766043"
"CDU/CSU","1985","Part Time","East Germany","","","",""
"CDU/CSU","1985","Not Working","West Germany","956","0.478436141333839","0.457340585349824","0.499531697317853"
"CDU/CSU","1985","Not Working","East Germany","","","",""
"SPD","1985","Full Time","West Germany","1393","0.475100756906996","0.456051547237081","0.494149966576911"
"SPD","1985","Full Time","East Germany","","","",""
"SPD","1985","Part Time","West Germany","471","0.463663026184255","0.432457343456914","0.494868708911597"
"SPD","1985","Part Time","East Germany","","","",""
"SPD","1985","Not Working","West Germany","944","0.416317672510149","0.395500298877839","0.437135046142459"
"SPD","1985","Not Working","East Germany","","","",""
"FDP","1985","Full Time","West Germany","88","0.0379551443538405","0.0306659570148122","0.0452443316928687"
"FDP","1985","Full Time","East Germany","","","",""
"FDP","1985","Part Time","West Germany","24","","",""
"FDP","1985","Part Time","East Germany","","","",""
"FDP","1985","Not Working","West Germany","86","0.044190118724596","0.0355110408789258","0.0528691965702662"
"FDP","1985","Not Working","East Germany","","","",""
"Grüne","1985","Full Time","West Germany","153","0.0564982035820724","0.0476910653492634","0.0653053418148813"
"Grüne","1985","Full Time","East Germany","","","",""
"Grüne","1985","Part Time","West Germany","104","0.0972116887969894","0.0786735642755056","0.115749813318473"
"Grüne","1985","Part Time","East Germany","","","",""
"Grüne","1985","Not Working","West Germany","151","0.0527641886069338","0.0433230596890543","0.0622053175248133"
"Grüne","1985","Not Working","East Germany","","","",""
"PDS/Linke","1985","Full Time","West Germany","","","",""
"PDS/Linke","1985","Full Time","East Germany","","","",""
"PDS/Linke","1985","Part Time","West Germany","","","",""
"PDS/Linke","1985","Part Time","East Germany","","","",""
"PDS/Linke","1985","Not Working","West Germany","","","",""
"PDS/Linke","1985","Not Working","East Germany","","","",""
"NPD Combination","1985","Full Time","West Germany","","","",""
"NPD Combination","1985","Full Time","East Germany","","","",""
"NPD Combination","1985","Part Time","West Germany","","","",""
"NPD Combination","1985","Part Time","East Germany","","","",""
"NPD Combination","1985","Not Working","West Germany","","","",""
"NPD Combination","1985","Not Working","East Germany","","","",""
"AfD","1985","Full Time","West Germany","","","",""
"AfD","1985","Full Time","East Germany","","","",""
"AfD","1985","Part Time","West Germany","","","",""
"AfD","1985","Part Time","East Germany","","","",""
"AfD","1985","Not Working","West Germany","","","",""
"AfD","1985","Not Working","East Germany","","","",""
"Other","1985","Full Time","West Germany","14","","",""
"Other","1985","Full Time","East Germany","","","",""
"Other","1985","Part Time","West Germany","5","","",""
"Other","1985","Part Time","East Germany","","","",""
"Other","1985","Not Working","West Germany","17","","",""
"Other","1985","Not Working","East Germany","","","",""
"CDU/CSU","1986","Full Time","West Germany","969","0.427051711846182","0.40773122015057","0.446372203541794"
"CDU/CSU","1986","Full Time","East Germany","","","",""
"CDU/CSU","1986","Part Time","West Germany","358","0.405789871194314","0.374398897230709","0.437180845157919"
"CDU/CSU","1986","Part Time","East Germany","","","",""
"CDU/CSU","1986","Not Working","West Germany","877","0.46936137550215","0.447603422341224","0.491119328663076"
"CDU/CSU","1986","Not Working","East Germany","","","",""
"SPD","1986","Full Time","West Germany","1302","0.473473446441554","0.453971490044157","0.492975402838952"
"SPD","1986","Full Time","East Germany","","","",""
"SPD","1986","Part Time","West Germany","451","0.454465632004121","0.42263496456241","0.486296299445832"
"SPD","1986","Part Time","East Germany","","","",""
"SPD","1986","Not Working","West Germany","938","0.438602868849484","0.416968921782521","0.460236815916446"
"SPD","1986","Not Working","East Germany","","","",""
"FDP","1986","Full Time","West Germany","88","0.0379782639777004","0.0305123973916817","0.045444130563719"
"FDP","1986","Full Time","East Germany","","","",""
"FDP","1986","Part Time","West Germany","18","","",""
"FDP","1986","Part Time","East Germany","","","",""
"FDP","1986","Not Working","West Germany","64","0.0361855524948702","0.0280435870609552","0.0443275179287851"
"FDP","1986","Not Working","East Germany","","","",""
"Grüne","1986","Full Time","West Germany","145","0.0549090575866256","0.0460113316728479","0.0638067835004032"
"Grüne","1986","Full Time","East Germany","","","",""
"Grüne","1986","Part Time","West Germany","108","0.111583337995982","0.0914557290391546","0.131710946952809"
"Grüne","1986","Part Time","East Germany","","","",""
"Grüne","1986","Not Working","West Germany","132","0.0510916538615857","0.0414920779312014","0.0606912297919699"
"Grüne","1986","Not Working","East Germany","","","",""
"PDS/Linke","1986","Full Time","West Germany","","","",""
"PDS/Linke","1986","Full Time","East Germany","","","",""
"PDS/Linke","1986","Part Time","West Germany","","","",""
"PDS/Linke","1986","Part Time","East Germany","","","",""
"PDS/Linke","1986","Not Working","West Germany","","","",""
"PDS/Linke","1986","Not Working","East Germany","","","",""
"NPD Combination","1986","Full Time","West Germany","","","",""
"NPD Combination","1986","Full Time","East Germany","","","",""
"NPD Combination","1986","Part Time","West Germany","","","",""
"NPD Combination","1986","Part Time","East Germany","","","",""
"NPD Combination","1986","Not Working","West Germany","","","",""
"NPD Combination","1986","Not Working","East Germany","","","",""
"AfD","1986","Full Time","West Germany","","","",""
"AfD","1986","Full Time","East Germany","","","",""
"AfD","1986","Part Time","West Germany","","","",""
"AfD","1986","Part Time","East Germany","","","",""
"AfD","1986","Not Working","West Germany","","","",""
"AfD","1986","Not Working","East Germany","","","",""
"Other","1986","Full Time","West Germany","14","","",""
"Other","1986","Full Time","East Germany","","","",""
"Other","1986","Part Time","West Germany","5","","",""
"Other","1986","Part Time","East Germany","","","",""
"Other","1986","Not Working","West Germany","10","","",""
"Other","1986","Not Working","East Germany","","","",""
"CDU/CSU","1987","Full Time","West Germany","1088","0.443838657145802","0.425119031602166","0.462558282689437"
"CDU/CSU","1987","Full Time","East Germany","","","",""
"CDU/CSU","1987","Part Time","West Germany","418","0.432453787312058","0.402300880867116","0.462606693757"
"CDU/CSU","1987","Part Time","East Germany","","","",""
"CDU/CSU","1987","Not Working","West Germany","913","0.471714404368321","0.450261288556496","0.493167520180145"
"CDU/CSU","1987","Not Working","East Germany","","","",""
"SPD","1987","Full Time","West Germany","1274","0.428642387991714","0.409996384482364","0.447288391501065"
"SPD","1987","Full Time","East Germany","","","",""
"SPD","1987","Part Time","West Germany","442","0.399631134000536","0.369818698845798","0.429443569155273"
"SPD","1987","Part Time","East Germany","","","",""
"SPD","1987","Not Working","West Germany","902","0.412968888546088","0.391809376406208","0.434128400685968"
"SPD","1987","Not Working","East Germany","","","",""
"FDP","1987","Full Time","West Germany","138","0.057892961722098","0.049093680393893","0.066692243050303"
"FDP","1987","Full Time","East Germany","","","",""
"FDP","1987","Part Time","West Germany","39","0.04206044630374","0.0298434426412461","0.0542774499662339"
"FDP","1987","Part Time","East Germany","","","",""
